author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,ranking,visibility_status
Leesa,/gp/profile/amzn1.account.AHLMY67DFZJD7Q4YEJP63TGGGT6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 7, 2020",0,0,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=7,4.0 out of 5 stars,"I decided to try a new battery for my laptop. This fit perfectly and it was well worth the money. I guess it lasts a bit longer than my previous battery but it does still drain rather quickly. However, I will add that my lap top is fairly old so it is doing what I wanted=prolonging my laptop life.",Fit in my laptop,Verified Purchase,,27,59,1456694,Public
Rosario Tavarez,/gp/profile/amzn1.account.AHV5RFQ3TMLCRC4J4GPMQVP3ZI3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 12, 2020",2,0,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=7,1.0 out of 5 stars,"This battery is no good. It does not charge any more and I got it in May. I had a feeling when I opened the package that it may of been used or refurbished. I was looking for a brand new HP battery for my laptop and I ended up with someone's old and dead battery. You took my money and I want it back. It is wrong to take advantage of someone and sell them something old, used, and that does not work. If you don't have the product take down your listing.",It stopped charging in 2 month.,Verified Purchase,,1,14,28754744,Public
Bre,/gp/profile/amzn1.account.AFOF64JJGZ7G3ANSZCJCRBHPZISA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 9, 2020",0,0,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=8,5.0 out of 5 stars,"Just what I needed to get my hp up and running, shipping was fast two day delivery with Amazon Prime, my battery was wrapped and packaged with care I could bearly get my battery out the packaging. I put it in my computer and it came on right away with a full battery I am happy with my purchase.",My computer is up and running thanks to my new battery.,Verified Purchase,,301,108,98765,Public
umeweall,/gp/profile/amzn1.account.AEPCOMCUVBDYDYQ4QGEWHLMRSGJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 10, 2020",0,0,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=8,1.0 out of 5 stars,"I would have returned this item, but I had thrown the box, and battery package away, before I charged it up, and tested in my laptop.  These battery charges up for a whole, whopping, TWO HOUR, usage.  WOW!! What poor quality, for battery usefulness.  I don't like it, and do not recommend it.","Not Recommended, Due To Extremely Poor Battery Life",Verified Purchase,,420,185,150878,Public
Sunday Zuoke,/gp/profile/amzn1.account.AGLS66L5ZPOKPTOIWINGZPN2XTVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 15, 2019",0,0,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=8,1.0 out of 5 stars,The product information states it is for DV6-6000. Thought it would work on my DV6000 but found out later it wouldn't fit. I'm at Port Harcourt and it's a long distance for a return. I have to find a way to dispose of the battery.Piece of advise: MAKE SURE YOU UNDERSTAND THE MODELS LISTED ON THE PRODUCT PAGE BEFORE YOU BUY.,Misleading information Doesn't fit my laptop,Verified Purchase,,8,29,10141543,Public
Fast Finish,/gp/profile/amzn1.account.AGL3NVBRREP6M5SP6ZD5TEQ5LVIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 6, 2019",0,0,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=8,5.0 out of 5 stars,"The way to review a battery is by the life span, so I may update this review at a later date. So far so good as of 2019....",So far it seem to be good,Verified Purchase,2 people found this helpful,143,280,79009784,Public
Jeremy Farmer,/gp/profile/amzn1.account.AEIIKJMUIU5V45CM64MJZPW5N44A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 17, 2020",0,0,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=8,1.0 out of 5 stars,"Received the battery Friday, put it in and Windows wouldn't tell me how much battery life was left.  Figured being new it might need to learn the battery.  I left the laptop on until it died completely and then plugged it back in to charge.  Checked it after a day of charging and Windows says there's no battery installed and if I pull the charger the laptop dies.  Returned for refund.",Bad battery don't waste your time,Verified Purchase,,26,22,1800503,Public
Dean,/gp/profile/amzn1.account.AF3X63BBAWUVHVK7APVOEPKIMDHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 27, 2018",0,0,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=8,1.0 out of 5 stars,Very weakDoes not do the job. Get the highest amp one,Get a higher amp battery,Verified Purchase,4 people found this helpful,66,73,656644,Public
Amazon Customer,/gp/profile/amzn1.account.AEPRQCWZGUQCFCFTJG7PFYWU3FYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 24, 2020",0,0,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=8,1.0 out of 5 stars,Old battery did not last as long as it should.  But I should have kept it.  This one is lucky if you get 10 minutes. Lost out on return window because I didn't replace it right away.  We thought we could rely on amazon to  deal with respectably companies but I guess not.  BUYER BEWARE AVOID THIS COMPANY and I guess start question the trust of amazon.,Why can't I give 0 Stars,Verified Purchase,One person found this helpful,3,9,13531989,Public
Mom3lestche,/gp/profile/amzn1.account.AGUOZGEUAAB7QGLMSNR2YEOAVAVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 4, 2019",0,0,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=8,1.0 out of 5 stars,Only lasted about 2 months before it would start dropping a charge extremely fast and I hardly used it in the past couple months.,Does not last long,Verified Purchase,2 people found this helpful,16,25,2328472,Public
Semper Fi,/gp/profile/amzn1.account.AEDUJWD4P6ZC3OCA3JRIUYJKREIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 25, 2020",0,0,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=8,3.0 out of 5 stars,This item arrived today broken unable to use. UPDATE: The first battery arrived broken I contacted the seller. The seller sent an RMA to me and I returned the broken battery. A new battery was sent to me and it arrived in excellent condition and works great. I got the HP Notebook up and running.,The first one arrived Broken,Verified Purchase,,4,42,78283018,Public
TCHILD,/gp/profile/amzn1.account.AEEEJZL3LDJWEX3KI5MKLYNWBVCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 12, 2019",0,0,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=8,1.0 out of 5 stars,Bought this battery last week already quit working. Unfortunately I got rid of old battery now have to sit here on laptop with it plugged in all the time. I don’t usually give a bad review but I don’t want anyone else STUCK like I am.,Bad buy,Verified Purchase,2 people found this helpful,4,23,5919400,Public
Amazon Customer,/gp/profile/amzn1.account.AGQMZHCDHGVGTBHJD5OLGELC6UAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 22, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=9,1.0 out of 5 stars,"I heard a loud splat noise outside my front door. Turns out an Amazon delivery driver tossed a small box labelled as lithium batteries onto the concrete. By the time I got the door open, the van was gone. Concerned that the battery pack may have suffered from the impact, I opened the box to inspect the contents. The new battery was in a thin bubble envelope lying loose on the bottom of the oversize box. Atop the battery were six air-filled cushions installed to protect the integrity of box at the expense of the product. The battery was installed in my computer and seems to be working. Since the six separate internal lithium cells are lightly soldered together, such abuse may have shortened its useful life.",Poor packing and handling.,Verified Purchase,,0,0,62593673,Public
Chris Seabeck,/gp/profile/amzn1.account.AEKTQTNANORL2RT7K56AOTR2UPOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 27, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=9,2.0 out of 5 stars,I bought this battery because the original would hold a charge for about an hour of just surfing the internet. This new one last about 2 hours...My other laptop has the original battery that last about 5-6 hours of use. So I'm rather disappointed with this one.,Not Great,Verified Purchase,,23,51,4488581,Public
M. Califano,/gp/profile/amzn1.account.AFHUGC7BKHXMVVL44UZYT6AXJ3GQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 14, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=9,1.0 out of 5 stars,We've barely had this battery for 3 weeks and it just stopped working. Our laptop no longer recognizes the battery and says it is dead. The battery will not hold a charge and does not allow the computer to stay on. We checked the compatibility before purchasing.,Lasted two weeks and just quit,Verified Purchase,,84,69,1234311,Public
Mary Ann,/gp/profile/amzn1.account.AHFN4HQUKUT35DTCJ22UAFSVMTCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 1, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=9,3.0 out of 5 stars,Description said 100% New Direct from Manufacturer. Problem was that it is not the same. It works on my computer but now my computer lays flat which makes my computer hot underneath so I have to keep a board under so my CPU won't burn out. I would not purchased again.,Not what I expected. Does not work the same as my original even though they said it was compatable.,Verified Purchase,,224,143,78884071,Public
LISIMACO VERGARA,/gp/profile/amzn1.account.AFLXYIUAGWGN2YDUY5DW6VIILQXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 8, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=9,5.0 out of 5 stars,Este producto me resultó muy bueno una batería con una sencillez para instalar y la verdad que encajó perfectamente según el modelo de mi computadora el desempeño de la batería fue excelentes su longevidad y su duración Fue bastante buena bastante aceptable Así que espero que cuando estén en busca de una batería tomen muy en cuenta este modelo ya que es de tremenda calidad y excelente precio,Batería,Verified Purchase,,2,22,38181418,Public
Brian,/gp/profile/amzn1.account.AE3AY4GJVOD7JQZ7XP6ASBFVZJDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 20, 2019",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=9,5.0 out of 5 stars,"We use our laptops on a near daily basis and keep them for longer these days; much as our cars. As a result, the batteries weaken over time after repeat use. Been using this battery as a replacement for my HP Pavilion since the last cheap one bought on eBay stopped working 3 months in. Haven't experienced any shutdowns out of the blue since I installed it; so far so good.",Good OEM replacement,Verified Purchase,,20,25,2697192,Public
RAM NARAYAN,/gp/profile/amzn1.account.AGV4JI4W4HBOTNSZCR4IID3ZGDOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 5, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=9,1.0 out of 5 stars,I wanted to replace the battery. I bought the recommended model. The battery does not fully charge at all and discharges within a short time. This makes me another battery pack not knowing how the new battery is any better than what I have. This is a piece of junk.,LAPTOP BATTERY,Verified Purchase,,12,43,13617438,Public
Tiffany Easterly,/gp/profile/amzn1.account.AEZSWFWXJNK3EOJ4VEQUSV5JFJIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 12, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=9,5.0 out of 5 stars,I bought one for myself and it got here on time and worked. I purchased again for my daughter for an hp laptop as well. It was way late and wasn't hp compatible. This is so important for her education and my online appointment's to have working laptops.,Late as wrong order,Verified Purchase,,83,99,168001,Public
Garrick,/gp/profile/amzn1.account.AHVNBIA27E4OXKIVHAZ2MKVJBSWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 7, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=9,2.0 out of 5 stars,"I have an HP DM4 3050us laptop. This battery fits in the slot and powers the laptop no problem, but each time I power on, I get a warning message from HP saying that the battery pack is especially low. I wait a bit or hit enter and things boot up normally. However, the battery isn't registering on the OS and doesn't charge when plugged in. It charges without issue when the laptop is turned off.",Computer doesn't recognize battery,Verified Purchase,,8,16,,Public
Lisa Engvall,/gp/profile/amzn1.account.AE4YNQJ62HZD5ME2JF6ZWSXNDEHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 4, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=9,1.0 out of 5 stars,"When the First battery arrived and the computer would not recognize it, I should have known.  So I contacted the company and they said ship that one back, they would replace. The Second battery arrived and I installed. It seemed to work OK, but now months later with light use the replacement battery will only charge to 41%, while the original OEM HP battery from 2011 works better than this ""new"" one.  I have since purchased a HP OEM Battery for not much $ more,  that one performs like the original HP battery back in 2011.  So look elsewhere for your replacement Battery needs. I should have known!",I should have known!,Verified Purchase,,3,1,56403598,Public
NE,/gp/profile/amzn1.account.AFXMGOHZGPPWLT3XXWQ3HNQWJTBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 21, 2019",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=10,1.0 out of 5 stars,This batter quit working yesterday.  I just received it in the mail.  I am returning it for an exchange.  I hope the new one lasts a long time like the first one I ordered from a different company,Quit working within just a couple weeks.,Verified Purchase,One person found this helpful,20,38,1722773,Public
Leon Cox,/gp/profile/amzn1.account.AFYSBGH2RD2OP53DAPJWTYEPE6WQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 12, 2019",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=10,1.0 out of 5 stars,The first one would not charge so I got it replace.  The second battery did the same as the first would not charge.  I am in the process of returning the second battery.  Amazon is selling a lot of junk so try your best to research before you buy.,Do not buy,Verified Purchase,,24,57,3014413,Public
big daddy,/gp/profile/amzn1.account.AH4ESIL6UBXAY2EIDKI4KT5SPQ2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 30, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=10,5.0 out of 5 stars,"I bought this for an ancient laptop I still have in service.  The battery works just fine, and seems to do everything that it should. I can't speak to longevity as I haven't really had it long enough and off wall power enough to speak on it.",Seems to work,Verified Purchase,,454,573,66410,Public
MV,/gp/profile/amzn1.account.AE7HJFQKE4ZC5KDRPDAB3XOZWJAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 5, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=10,2.0 out of 5 stars,Will not hold charge. Charged to 100% first time. Now varies between 32% and 82%. Only at 100% after calibration then goes down from there but never back to 100% unless I go thru another calibration. Verified charger is good. Have calibrated battery per HP instructions for my laptop.,Not holding Charge,Verified Purchase,,10,31,9809326,Public
Stephen,/gp/profile/amzn1.account.AGTDGTGEZDMSR6Z3YBZMFY4E5GSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 5, 2020",1,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=10,1.0 out of 5 stars,The battery was either defective or of poor quality. See photo. At boot the Laptop says storage capacity very low. Charge lasts at most 2.5 hrs. Battery meter doesn’t recognize remaining life (ie won’t calibrate).,Storage capacity ‘very low’. Not as rated.,Verified Purchase,One person found this helpful,10,22,9450113,Public
blazingsun,/gp/profile/amzn1.account.AHPCWKHWZCMP7EZ5FBXFED4XATQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 5, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=10,5.0 out of 5 stars,"I've tried an after-market cartridge and it did not operate at all. I've purchased HP original cartridges and they operate well, but are pretty spendy. This arrived in an HP box, accompanied by their usual recycling supplies and information and installed as simply as any other HP original. I can't speak to longevity, at this point, but am so far very satisfied.",Excellent Quality,Verified Purchase,,26,20,4709216,Public
Amazon Customer,/gp/profile/amzn1.account.AEEGADEX3JZYXRPBC2G6BMODDPGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 22, 2019",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=10,5.0 out of 5 stars,"The 3rd party replacement battery for HP Pavilion used to be in $50+ range. I was skeptical when seeing this under $20, but it works like a new OEM in terms of battery life. After replacing with SSD drive and a new battery, the 7yr old laptop with Windows 10 feels like new again. Definitely deserves a 5 star.","This replacement battery works, and good price",Verified Purchase,,59,50,744050,Public
Antonio D.,/gp/profile/amzn1.account.AGQI3ETQYLKW576H2VKXW4OUIQHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 19, 2019",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=10,1.0 out of 5 stars,not working after 2 weeks of using this crap.,2 weeks of use its dead!,Verified Purchase,2 people found this helpful,16,36,3364884,Public
Mrs.G,/gp/profile/amzn1.account.AGDYVKRZDPPLDEXAUBWHE3PDZ75A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 29, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=10,1.0 out of 5 stars,"The battery installed like the OEM battery.  My pc recognized it and started charging to  100%.  That good news only lasted few weeks.  I started to notice the battery drainning faster and not charging as fast, and worst of all not taking a charge.",It does not last. Dont buy!,Verified Purchase,,31,38,2819291,Public
ro,/gp/profile/amzn1.account.AEXKBB74ER5CSD2P5KSC7CL2NOFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 30, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=10,4.0 out of 5 stars,"I havent had the battery very long, but so far it seems to be just fine. It fit directly into my laptop exactly the same as the original. Also the price was slightly lower than others offered, but with a slightly higher amp/hour rating so it should hold a charge a little longer.","So far, so good.",Verified Purchase,,17,27,1791686,Public
JL,/gp/profile/amzn1.account.AH5XRSJFQYSFZE6KBDWCUZVA5TFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 1, 2019",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=11,1.0 out of 5 stars,"Looks great, fits perfectly, but not worth a darn for performance. Don't expect more that an hour of life, even after a full charge. Frankly, a waste of time and money.",VERY SHORT LIFE AFTER FULL CHARGE,Verified Purchase,One person found this helpful,16,48,2104506,Public
Mr. O.,/gp/profile/amzn1.account.AHLBG3VYU3635O5AACMGHJC4Y3MA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 11, 2019",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=11,1.0 out of 5 stars,I don't know if this battery is just old but it does not last a day (2-3 hrs) and it completely dies. The original battery lasted days. 😥,Not a reliable battery.,Verified Purchase,One person found this helpful,14,36,3694029,Public
Velma Sikes,/gp/profile/amzn1.account.AGFDNKG72RVFVHMWQWWZ5RQLS4XQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 3, 2019",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=11,1.0 out of 5 stars,It did NOT work on my laptop!!....came in poor packaging....wanted to return it but was too much of a hassle!,I WANT MY MONEY BACK!!!!,Verified Purchase,3 people found this helpful,7,20,4112351,Public
William,/gp/profile/amzn1.account.AGOZUFPU5F3OKISR4ZGUZDTGBXXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 16, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=11,3.0 out of 5 stars,My old laptop battery stopped charging all together.  I bought this as it was a great price.  The charge does not last hours and hours - I feel I get about an hour and half out of it.  It did fit into the laptop just fine.,Replaces an old not working battery,Verified Purchase,,143,231,117539,Public
Gina Teti,/gp/profile/amzn1.account.AFL6YY3TA4ZJ3FZU76N7OUFXRLZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 27, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=11,5.0 out of 5 stars,Excellent communication with seller. Quick delivery. My original purchase battery wasn't working@100 but seller quickly sent me a replacement at no charge and no hassle. I will definitely purchase through the seller again.,HP battery replacement,Verified Purchase,,80,71,451165,Public
larry kasparowitz,/gp/profile/amzn1.account.AEA2YL5DGJARWKMY7RNOJDHAH7CA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 10, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=11,5.0 out of 5 stars,I bought the HP recommended spare battery for $15 recommended in the HP Laptop battery info. Thought it might not be that great due to low price but it is giving me several hours of cordless computer time before having to recharge. Good buy for the price if it lasts.,Inexpensive but so far it's working well (it was recommended by HP laptop info),Verified Purchase,,5,25,4555721,Public
Gidget,/gp/profile/amzn1.account.AECZWAZTCOOF75GHQEWEJZJI6IOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 10, 2019",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=11,5.0 out of 5 stars,"It did no work.This is a update: It works very well. I found out that I had let it charge for some hours then use it. I put in laptop without letting it charge first. Some time had passed and I wanted to try it again , but time like I said I let it charged before turning on my laptop and this time it worked.",Updated. It does work very well.,Verified Purchase,,68,50,3720655,Public
Vanessa,/gp/profile/amzn1.account.AHWRT2VKTAREJVC3QMI2E3OUIWPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 5, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=11,2.0 out of 5 stars,"This battery is not working well with my laptop, I’m going have to send it back .I have to take the battery out to make the laptop turn on just being  plugged in to outlet.I received another battery and it is working fine.",Battery does not work well,Verified Purchase,,7,48,3415081,Public
Arpad101,/gp/profile/amzn1.account.AHBUUMBIWXWMBYEYJCOQPQVQO5GA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 20, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=11,5.0 out of 5 stars,"Arrived a bit late but understandable in these times.  Excellent condition and a perfect fit.  Ran through several charge/discharge cycles and now get approximately three hours in max. battery saver mode on an older HP Pavilion laptop with a 17- inch screen.  My only issue is that neither ""HP Support Assistant"" nor ""HP PC Diagnostics"" will run now (Both programs crash, requiring me to remove/replace the battery to reboot.  Anyone else experience this?  Any ideas/suggestions?",Reasonably priced.,Verified Purchase,,0,7,41347874,Public
