author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,ranking,helpful_votes,total_review,visibility_status
Kindle Customer,/gp/profile/amzn1.account.AFNOTPIQADUKPW6GPYZEATWI33WQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 2, 2018",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews,2.0 out of 5 stars,"Owned the Coleman version of this item for 2.5 years with no problems until a tree branch fell on it crushing the pump/heater.  Decided to purchase a complete new package and saw this was somewhat cheaper than the Coleman.  The pumping units are identical, except for the air lines to provide the bubbles.  About 25% of the circumference does not produce bubbles, that is a negative.  The big negative, the inflatable tub is cheap thin plastic/vinyl.  The Coleman version is thicker and solid and held up to years of wear, cats walking on it, dogs looking over it when we were in it etc.  This lasted 2 days before the first hole appeared, another hole the next day.  Think of the cheap inflatable rings you use in a pool you can get for $1.00, this is slightly thicker.  Inflated to the recommended pressure the bottom boughs out when filled with water as the cheap liner is not rigid enough to support the weight.  If you have no kids, no animals, and use care when entering and leaving if your wearing jewelry,  this item might be okay for you, otherwise I would highly recommend one of the other models I mentioned for slightly more money.",Inflated to the recommended pressure the bottom boughs out when filled with water ...,Verified Purchase,,,20913313,4,9,Public
hates to shop,/gp/profile/amzn1.account.AG627IXSWFG4XHWL4VGJO54I5FKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 7, 2021",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews,2.0 out of 5 stars,"Easy set up. My unit was missing part of the cover. Took a bit of work to get business to send it. The water took a bit longer to heat, maybe because I didn't have the full cover to help keep heat in. Cover came with snap buckles, but are installed backwards so it's not practical to snap down unless I use the cover upside down which gets water in the cover and makes a mess taking it off.The heater maintains temp with cover on, but once cover is off and in use, temp drops 4 degrees in less than 30 mins. Tried using the energy saving feature,  but instructions not clear and gave up when I couldn't get it to function in energy saving mode.It does hold air better than I thought.","Not thrilled, but making the best of it",Verified Purchase,,,9750931,0,14,Public
Michael Ashton,/gp/profile/amzn1.account.AGTCVTL7L5OTKAONQKFPPVHI7JWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 9, 2019",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews,1.0 out of 5 stars,Absolutely awful! This had missing parts and I was very unhappy,Garbage,Verified Purchase,3 people found this helpful,,162374,170,223,Public
Audriana Ok,/gp/profile/amzn1.account.AEEYMPBJPPDHF5HTQX6IQKPYQ6BQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 23, 2019",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews,5.0 out of 5 stars,"Oh my god!! What an awesome lil spa for the price!!  I love it’s lil compact size considering I have a smaller backyard. The only thing I found confusing and annoying was that there are NO WRITTEN WORDS WITH THE INSTRUCTIONS ON HOW TO ASSEMBLE THE THING. Had to go to YouTube to figure it out. I am also quite annoyed at the Maximum heat levels it offers, it seems to SUPER SLOOOOWLY GET TO MAX TEMP. Especially if it’s cold outside!! Other than that... it’s awesome!!",NO WRITTEN ASSEMBLY INSTRUCTIONS PROVIDED. Only picture guides.,Verified Purchase,One person found this helpful,,484495,49,123,Public
DZ,/gp/profile/amzn1.account.AHQBX7JY5JXHTOUUIPIKTLJKNKHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 12, 2021",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews,2.0 out of 5 stars,"I know I've given the itemized qualifiers five stars and overall only two stars - which may seem a bit contradictory. The detailed items are indeed five star. However, what they don't ask about is the OVERALL function. It's a great hot tub while it lasts, but don't expect it to last long. After one winter of use the motor quit working and won't filter/heat the water anymore. When I researched the error code I was getting, ends up this is VERY common, nearly impossible to resolve, and replacement motors are impossible to find. So, I now have a very nice small bubbling swimming pool on my patio for summer use. I'd say find another option for sure if you want it to last more than one season.",Don't buy this unless you want a bubbling swimming pool for summer use,Verified Purchase,,,84461745,1,13,Public
Ken,/gp/profile/amzn1.account.AGFOEC62S5FHVGC6W4WVB25TG5TA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 28, 2019",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews,5.0 out of 5 stars,"Great product.Had this hot tub almost a couple of months, and it's worked great since day one.It heats the water up at about 2-3 degrees per hour. I turn the temp down when I'm not using it. But if I want to use it during the evening after work, I turn it up to about 100 in the morning so it's ready to go.Not the easiest to setup due to poor instructions in the box. Videos on YouTube, or instructions online are a must.Overall, a great product.",Perfect hot tub on a budget,Verified Purchase,,,1073642,50,59,Public
Melanie E,/gp/profile/amzn1.account.AFOMKORW6HSM7KIA4MOFLVXUW3HA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 30, 2020",1,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews,5.0 out of 5 stars,"Overall happy with the product. It is a much more affordable options than a standard hot tub. The water can take a while to heat up, especially if it gets down more than 3 degrees. However, when it does reach max temperatures, it is very hot.  My fiancé did most of the set up and he said it was relatively easy but he also has experience working with pipes and assembling products.  The size is small for four people but works really well for two people. The cover works well and is very helpful in keeping bugs and debris out. However, because it’s black, it attracts a lot of heat on sunny days and might take the temp over 104. I paid $400 for this product and I am pleased at that price.  I am 5’5 and the water tends to go up over my face when sitting down (sitting on my knees makes it more manageable) but my fiancé is 6’1 and it’s right at his shoulders when sitting down.We’ve had the hot tub for about a month. I suspect there might be a small leak somewhere (possibly in to the inflated section) but there has been to water leakage spots noticeable on the ground. I would refrain from sitting on the sides or edges to prevent excessive wear and tear to the tub itself.",Product matches or surpasses price,Verified Purchase,,,10018157,6,3,Public
paul,/gp/profile/amzn1.account.AHBYSUWHSADTJZ55O7CHRKUHBQZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 11, 2020",1,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,5.0 out of 5 stars,"Ok, I've only had it for a week, but I love it!  Set up was easy, despite pretty poor instructions. Nothing said you need to keep your finder on the control buttons for 3-4 sec before they respond. I called Bestway Customer Service for help, but it seems you can only get a call back within 48hrs. Good news, is that I figured out my issue and they did call me back. So far, I'm impressed by the quality. No jets, but it bubbles ""vigioously"". Heating has been slow, but I expected that. We'll see how it lasts. I plan to pack it up in the summer (just too hot in FL to use). If I can get 2-4 years out of it I will be very happy. But, so far has exceeded my expectations. BTW, an underpad really does help a lot.",Wish I'd bot it years ago!,Verified Purchase,One person found this helpful,,7422503,8,6,Public
Christopher Koch,/gp/profile/amzn1.account.AGO6RFM6QIA3LWO6MRKTW3DVNEBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 1, 2018",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,5.0 out of 5 stars,$325.00 FOR A HOT TUB THAT IS EVERYTHING ADVERTISED.  Easy setup in my basement.  NO leaks!  Installed a https://smile.amazon.com/gp/product/B06XH73LJB/ref=oh_aui_detailpage_o04_s00?ie=UTF8&psc=1 to record power usage.  Filled with 100 degree water from my natural gas tankless.  I am amazed!  Negative reviews...  I do not understand.  Called Customer service about warranty registration and they took care of me immediately.,GREAT SURPRISE,Verified Purchase,One person found this helpful,,84027,640,206,Public
Julestheamazon,/gp/profile/amzn1.account.AG3RFYOC45JAEDT5QCIIH3KWNTXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 28, 2021",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,1.0 out of 5 stars,The pump doesn't work. I have gone to the website and it was impossible to report the nonfunctional pump. I need to replace the pump. I wish I could talk to someone to resolve this issue. It won't heat or filter the water. Timer function didn't work due to bad pump.,I need help,Verified Purchase,One person found this helpful,,1659578,58,153,Public
MP,/gp/profile/amzn1.account.AHTZM5FA2P6IY3GJRYLL7MQSJL5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 9, 2021",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,3.0 out of 5 stars,I don't like that it loses heat pretty quickly. I live in AZ and even with the nights being in the 80's right now...it goes from 104 to 98 in like an hour. I have it covered and am using the insulator under my cover. Also I don't care for the fact that when you need to add air it's a bit of a pain because you have to block off the water intake/outputs and then undo the part where air comes out from the pump and connect tubing into the part that fills the air then fill up and unconnect/unblock everything again. There should have been a separate designated port to use for this and this alone.,It's ok,Verified Purchase,,,8453874,1,16,Public
Frank White,/gp/profile/amzn1.account.AH5PCASLBOKZBJVCTN4Q4K77PHRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 17, 2021",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,1.0 out of 5 stars,Since we purchased the hot tub we have been having problems with the filters. We purchased the filters online that we were told by Bestway to purchase. They did not work. Kept giving us an error message. They then told us to go to our local swimming pool store and purchase them. We had a very hard time finding them but eventually purchased the ones that they told us to get. They also did not work leaving the same error message. When we contacted Bestway again through the  online portal they told us to set up they said that they would get back to us in a certain time frame and that is where we are very frustrated. Seems as as if they are frustrated with us trying to get the proper filters and now they treat us as if they do not care. They do not call us back like they say and when we bug the crap out of them about finding the proper filter they just keep putting us off. We have paid over $600 for this to work for us and we are NOT at all satisfied with the customer service. The hot tub is awesome when working properly but it's been down more than up because of the filters situation.,Terrible Support and Customer Service,Verified Purchase,,,14776693,1,2,Public
Corey Schutzman,/gp/profile/amzn1.account.AHPQ4GQK3DB6I4VZNIY7HNLLE33Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 24, 2015",6,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,5.0 out of 5 stars,"Background: I've had the hot tub for about a week now and I'm loving it!!!  I've been debating for a long time whether I should buy one of these or just save up and get a real one.  I AM SO GLAD I DIDN'T WAIT ANY LONGER!!!-Packaging: The box came a little beat up, but I can't say who's fault that is.  On the inside, everything was in great condition and was brand new, so I can't fault that.  The kit weighs approximately 60lbs total.-Assembly: It took me about 15 minutes to set it up and start filling it with water.  It comes with everything you need to inflate it and didn't require any tools to put together.  You simply inflate the tub and then inflate the top, then connect the pump/heater unit to the tub.  There are velcro straps around the edges of the lid to keep it on the tub when not in use.-Chemicals: This was my first tub so I was a novice when starting to use the chemicals.  I recommend contacting a local pool or spa supply store for more information in this area.  I shocked the tub to start it up and am using bromine tablets in the floater (in the box with the hot tub)-Use: It's a dream.  It maintains 104 degree temperature during 20-30 minute sessions in the evening when it's 60-70 degrees outside.  I imagine it will cool off a little faster during colder nights, but I think the heater does an excellent job keeping up with use.  The ""Lay-Z-Massage"" system was the biggest surprise to me.  I was expecting some light bubbles, but I was wrong!  The bubbles are strong and create a very nice massaging sensation across the entire spa.  I was very happily impressed with this.-Construction: Its built much like an inflatable pool, but with much more solid construction.  My biggest fear prior to recieving it was air leaking out, but it's just as full now as it was on day one. The pump appears to be solid and well built.-Concerns: None at this point.  Will update if something changes-Summary: I'm upset with myself that I waited so long to buy this.  You can buy 20 of these for the cost of a basic normal hot tub.  If this even holds up for 2 years I would be completely thrilled and will be ready to buy another one!**********************************UPDATE - 8/12/2016**********************************It's been over 2 months since my spa stopped working.  It was under warranty, so I contacted Bestway and asked for service.  They had me cut the power cord off the pump and send them a photo along with some other information.  They told me they had the pump in stock and would send it out right away, but didn't have the liner so I might have to wait for that.  The pump was the major issue anyway so I was thrilled.  I did what they requested 30 minutes after getting off the phone with them. I then waited a month without hearing a word from their service department.  When I called in they apologized and admitted that they had dropped the ball and would send a pump out as well as some complimentary filters for the trouble, unfortunately the pump was no longer in stock.  The representative apologized and told me they would have some new pumps in soon so I should check back in 2 weeks.  That was over a month ago.  Called in today and they're still out of pumps.  They refuse to do anything else and according to their phone representative, not a single person at the company knows when the pump will be in stock.  This is the worst warranty service I've ever received.",I can't believe I waited so long to get this!  This is the best money I've spent in a while.  NOT!,Verified Purchase,72 people found this helpful,,46102430,72,4,Public
Carolina Granny,/gp/profile/amzn1.account.AE3MVVHPSCM5IQN5GYOGY24NJ4UA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 9, 2020",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,1.0 out of 5 stars,"I got the thing out of the box and all laid out and ready to pump it up.  The electronic control panel did not work! I tried several outlets, but it was the control panel itself.  I tried all day to get hold of someone at Bestway to no avail.  It was a terrible job trying to get it all back into the box.  I will never buy an expensive item like this from Amazon again.  Too much trouble.",Don't waste your money!,Verified Purchase,2 people found this helpful,,20279034,2,4,Public
diana,/gp/profile/amzn1.account.AFBITXYB4RJGLDADO4XP53SZZCUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 25, 2020",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,1.0 out of 5 stars,I love this hot tub but I paid 600 for it 2 months later the pump went out they have sent me another but I don't know we will see just make sure u register it u can't speak to anyone in and they want pictures of everything what PISSED me off is that now I gotta empty the tub clean it and set back up again fill it with water again water bill here is high at this point I m about to get rid of it ...THANK YOU BESTWAY for 600 down the drain,Pumps need to be better made,Verified Purchase,One person found this helpful,,1412004,14,33,Public
cazhab,/gp/profile/amzn1.account.AHUHNOBTFGUBMVKZKXOET52XHLJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 9, 2019",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,1.0 out of 5 stars,"Loved unit unit it started to leak air.  Company is not compassionate about the product once it is yours.  They don't care that the unit lasted only months.  The Colman La z  spa lasted for 3 years, the saluspa lasted 8 months is now useless.  Stern email that the unit was out of warrantee, no effort to make us happy with a solution or fix.  They are not my friends.  Sorry I bought this, but I can see the future and will learn from this failure.","poor fabrication.  silly 3 month warrantee on tub.  can't handle heat, stress leakage occurs.",Verified Purchase,4 people found this helpful,,32634781,4,2,Public
Jasmine Johnson,/gp/profile/amzn1.account.AHYHTDVD5WORNTNJAQGF3IMRN4TQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 19, 2021",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,4.0 out of 5 stars,"I bought the older model of the Miami salu-spa a couple of years ago and it had a couple of design flaws which ultimately led to the untimely demise of the inflatable tub.  I decided to order a new one and was pleasantly surprised to see that they had made changes to fix the previous problems.  Way to go Bestway! I appreciate the changes. I recommend this product.  Easy to set up and it reaches a nice, hot temp.",New and improved design!,Verified Purchase,,,356797,47,81,Public
Dan,/gp/profile/amzn1.account.AGBRJZRLBIG54BPB5YYS7FP5SIXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 10, 2016",1,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,5.0 out of 5 stars,"Bought this almost 1 year ago.  Wanted to really get to use it before writing a review.  LOVE IT.  Heats up nicely, filters out the water nice and clear.  I could spend hours in it.  After 6 months of continuous use the heat pump burned out.  The company replaced the entire pump at no charge with minimal questions.  Pump came brand new with all new hoses and filters.  Definitely worth the money.",LOVE IT. Heats up nicely,Verified Purchase,11 people found this helpful,,1954370,53,39,Public
Michael G,/gp/profile/amzn1.account.AGIMX5RMOW72L3ERWU7R7JA2PGQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 1, 2020",1,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,5.0 out of 5 stars,"3/1/2020 I set this tub up last weekSet up: very easy to set up, instructions are pretty terrible, but it is not hard to figure out. The tub actually inflated itself! Seems very sturdy, well put together, pretty happy so far.Plugged into a standard outlet it heated up to 102 deg. in about a day or so, it has stayed right at or within a few degrees of its setting. Like others mentioned every two days you have to reset the heater and temp or it shuts off for safety. (Wish I could override that somehow)The bubbles work really well, far better then I probably expected!So far so good, will update after more use!",So far so good!,Verified Purchase,,,2559710,6,23,Public
Kenneth,/gp/profile/amzn1.account.AFVS3QZJXORH5E3DV7UWPFTD72AQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 8, 2018",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,3.0 out of 5 stars,"Pros: It heats water like nobodies business, the jets are nice, it has a lock feature to prevent errors when using it, it has the dual filtration system, and the pump is strong. So it beats the Intex model I had before this one on performance.Cons: Even without using the timer function it will shut down after a couple days, the drain is on the floor and does not lead out of the side, it has an extra hose outside of the hot tub for the filter, you cannot use a universal filter and there is no lock on the straps to prevent kids from getting in.Even with the flaws I would highly recommend this hot tub.",The good and bad,Verified Purchase,One person found this helpful,,46796964,1,2,Public
Amazon Customer,/gp/profile/amzn1.account.AFPOI3FGJGXY7YUDVWMVB3SBK64A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 21, 2018",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,1.0 out of 5 stars,I have tried everything to get it to heat up...it stays hot for 1 day at the most. I used it once.. just drained it . I have YouTube everything and cant get it hot.. set up in AUGUST.  Let alone using in October...fall is when you want a hot tub.... my worst Amazon purchase ever,Wont heat....,Verified Purchase,4 people found this helpful,,17379355,9,2,Public
7703136061,/gp/profile/amzn1.account.AGYOH4GZ6HUVMW2KETDR2N2HEEQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 4, 2018",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,5.0 out of 5 stars,"I live in Texas so I don't need a year round hot tub. So it is amazing to have a hot tub I can deflate in the summer and get out of the way.This hot tub works great!! It gets up to 104.I will say this inflatable hot tub was the cheapest on amazon but that is becuase it DOES NOT come with a ground pad...I put my hot tub straight on gravel and now I am trying to find where the hot tub is leaking because the air keeps deflating. So I would say if you are putting it straight on the ground, it would be worth it to get the more expensive (I think it's like $20 more) that comes with the pad.",Love this hot tube!,Verified Purchase,One person found this helpful,,8063418,7,7,Public
LJS,/gp/profile/amzn1.account.AHTOCASYU6C2HTZBFNE5NJLBJJFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 24, 2015",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,4.0 out of 5 stars,"We love this so far. I haven't seen the results in our electrical bill yet. hoping it isn't too bad. We use it mainly on the weekends and keep it in the 70's during the week. It was easy enough to set up, but you do HAVE to read everything to make sure you do it correctly. It was a bit tricky for us getting the right chemicals as we had never done this before. There isn't really a good explanation in the manual about what you need. We went to a pool store and told them what we bought and they made suggestions of the chemicals we need. It's a perfect size for 2 people, or even 3. The bubbles are great, tons of them, and it feels wonderful. It's quite noisy with all of the bubbles going on, but not a big deal to us. The only thing I don't like is there aren't any jets between the 2 filters inside of it, and so if someone sits there, they don't get the benefits of it, that's why it's better for 2 people if you want the bubble massage.  Not sure why they didn't put bubble holes in that area, but there must be a reason. I would recommend it. It was a really good price for what you get.",We love this so far,Verified Purchase,2 people found this helpful,,6840923,11,26,Public
emmett kerby,/gp/profile/amzn1.account.AFBDZTQ2PDPYMJE2DULOHQQOMTIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 10, 2017",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,2.0 out of 5 stars,"The hot tub is awesome but, the pump only last for maybe 4 to 6 months. I've bought 2 of these now same thing goes wrong water pump.  You can't by just the water pump o no you have the whole egg. That's where the get over on people. The new egg cost you $200.00 when they could just sell u the water pump but they wont. Now the tub is worth it if it would just last more than 4 to 6 months. The tub  cost right around $350.00 come on man should last longer. We're taking our bisiness some place else.","The hot tub is awesome but, the pump only last for maybe 4 ...",Verified Purchase,6 people found this helpful,,11087826,8,6,Public
Milagros V. Gonzalez,/gp/profile/amzn1.account.AEGHXALXDMDILVF76XEKMIRYOPDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 14, 2020",3,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,3.0 out of 5 stars,"Your browser does not support HTML5 video.           I got this on july 2020.. i made sure to put it away and keep it in good conditions,  now April 2021 pump doesn't work and lining doesn't stay inflated...so sad.PLEASE FILL OUT THE WARRANTY SLIP OR U WILL HAVE NO WARRANTY!!!!!  I CONTACTED BESTWAY and they were nice enough to send me a new pump and i pay for the lining...funny thing is that the lining is $149  and pump $199  so $350  but i paid $680 here ....smh",Nice while it lasted,Verified Purchase,,,854753,37,75,Public
Catherine Van Meter,/gp/profile/amzn1.account.AEHDR32RDO4YU6AAYPMA7NGLZA3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 22, 2018",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,5.0 out of 5 stars,"We have had the spa for two months and it has exceeded our expectations.  We use the spa almost daily and have not had any error messages or leaks.  It’s just right for two people and when set at 104 degrees it feels as good as any real jacuzzi.  However, you must be willing to rinse the filters every few days, test and treat the water frequently and use a skimmer if you want it to stay in good condition.  There is a clear water tube connection on the outside between the two filters that we insulated with a foam pool noodle and this really helped to keep the water hot.  Finally, change the water and reinflate the pool about once a month.  Sounds like a lot of work, but it’s worth the effort.  We got it on sale for $299 and if it lasts a year we will be totally stoked.",It’s just right for two people and when set at 104 degrees it feels as good as any real jacuzzi,Verified Purchase,One person found this helpful,,51421133,1,3,Public
danny fureigh,/gp/profile/amzn1.account.AEJBWGSEXAAQXU4X4T5VU4ODXICQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 20, 2017",1,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,1.0 out of 5 stars,Loved it but unfortunately 13 months is all the outer mesh cover held up. Without that it is rendered useless and the top doesnt fit and its now unusable.,Only lasted 13 months with only 6 months of actual useage,Verified Purchase,10 people found this helpful,,7998626,11,16,Public
Cassidy,/gp/profile/amzn1.account.AE73D2FGANWVB26PAYVGBEGFUUJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 6, 2021",3,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews,1.0 out of 5 stars,I can admit I was so excited that when I only paid 300 for this. Not to mention it was the money that I got from my grandparents when they passed away. Always wanted one of these so of course I used the money for that so I can relax. 3 months In...I had issues with the heater. Eventually I emailed best way company and got a new heater. Did not use this for 4 months because I needed to orders the part and wait for it to come. So then I get it and I am starting to use the hot tub again...then it starts ripping in the hour tub where you should have your back on. Eventually again I get a hold of best way and let them know what's going on. This time I am denied and yes I understand but I am mad because the price keeps going up and yet it did not last for a year so I say don't buy this product. Not worth it.,Not worth to buy this.,Verified Purchase,,,12752364,0,6,Public
John Montana,/gp/profile/amzn1.account.AG7UTCSX34DGLVDLWXMOKXAVGWYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 1, 2015",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews,5.0 out of 5 stars,"I dont typically post this kind of stuff... but if you have chronic pain problems like I do... this thing is AWESOME!  Looks like they have jacked the price up another $100 since I got it on sale.  Still, it setup in 10 minutes, filled it with water, let it heat for a day... and this thing rocks!  Having had a ""real"" hot tub in the past... this one is SOOOO much more comfortable to lean up against the sides.  Have no idea how long it will last or anything else.  I can tell you that its the best $250 I have spent in a long long time.  4am... cant sleep... bones hurting again?  This thing is da bomb.  It does drop in temp as it runs... so this thing is definitely not industrial for lots of people to use.  But for 2 people... this thing is amazing.",TRUE LOVE!!!,Verified Purchase,2 people found this helpful,,3331956,145,60,Public
