author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,Unnamed: 11,helpful_votes,total_review,visibility_status,ranking
RobinGB,AFLZ3DR2DVQW7BYGPKC7GQ3NRGFQ,"Reviewed in the United States on April 25, 2020",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=11,5.0 out of 5 stars,"Everyone in my family has the Contigo water bottles (because I've bought it for them) and our lives have never been the same. I don't drink hot beverages but bought these are gifts for others. They LOVE this mug. It can keep either hot or cold for a ridiculously long amount of time. The water one is only cold. This one also is easier to clean the part that seals. Also Contigo are either 100% (or very close to it) leak proof. The metal makes beverages taste as they're supposed to--not that weird plastic taste. I like that they come in different colors but sometimes plain silver is better because if you drop it, the color can chip off (I still LOVE all the colors though)PROS:- ALMOST EVERYTHING--I LOVE THESE BOTTLES SO MUCH--LIFE WOULD BE WORSE WITHOUT THEMCONS:- Because it's metal and not plastic, it's heavy- Because it's metal it can get dented when dropped (but at least it almost never breaks)- pricey...but that's what you pay for when you want the bestIf you want the perfect water bottle or mug, look no further than Contigo.","If it's Contigo, it's great",Style: No HandlePattern Name: MugColor: Dark PlumVerified Purchase,One person found this helpful,,1528,323,Public,7027
C. G.,AFGRU4FOY6FZESGBPQEZ62BGXONQ,"Reviewed in the United States on August 21, 2020",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=11,5.0 out of 5 stars,"I’ve waited about a year to review this, as I wanted to see how well it performed and to date it is still the best coffee cup I’ve ever owned. I’ve never once had a spill with this cup. I take it to work everyday in my bag, the same bag I carry a computer and a iPad and papers etc within. That’s how confident I am. I am sure to always lock the button before I leave for work. I drive 40 mins both ways commute, but it’s usually empty on the drive home. I’ve kept coffee in it for 3 hours before taking a drink and still manage to burn my lips, just a little bit but not scald, it’s the good kind of burn from coffee, the kind that wakes you up a bit and gives that kick but doesn’t hurt. Basically it keeps it at the perfect amount of hotness for coffee.Pros: lightweight, easy to carry and store in a bag. The lock prevents inadvertent leaks when in a bag. Holds warmth to an excellent degree. Interchangeable lids, you can use the same lid for different coffee cup sizes of the same brand. 16,20,22, 24 oz coffee cups of this brand all share the same style lid so I never have to guess. We have 3 of these cups, so we also have 3 lids. Dishwasher safe! Holy cow this is a big one! Top shelf only folks, keep that plastic safe from the dishwasher heater. Easy to hand wash mostly, except for very inner part of lid, not a big deal as the mechanism folds out of the way to wash the important parts.Cons: not many, I guess one con is it’s only top shelf rated for dishwasher..that’s kind of not a hard thing since I have 2 dishwasher shelves. The only real con, which is a super nit-noid dumb con is that because of this cups excellent sealing properties, when it is empty slight changes in pressure can cause the opening gasket to make weird noises. Like a kind of hissing noise because the air is trying to stabilize due to pressure changes in the atmosphere. It’s a dumb con but honestly it’s the only one I can think of.Definitely would buy and will buy again in the future. No more worries about coffee spills or stains getting in or out of the car or at work or when walking while holding the cup. 5 stars! Highly recommend!",basically a perfect coffee cup,Style: No HandlePattern Name: 1 20 OunceColor: Stainless SteelVerified Purchase,,,1741,127,Public,22654
Discworldfan,AHWS6A4KS6YHKZUWDAFPERTM6YEA,"Reviewed in the United States on June 30, 2017",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=11,2.0 out of 5 stars,"I really did like this for my coffee and occasional cold water at my desk, but then a nasty little problem crept up.About a week ago I noticed a really funky smell coming from the plastic top; a strong chemical, weird plastic unk that also started to affect the taste of my coffee.Yes, I had been washing the mug regularly, yes I was using soap and hot water, no o didn't leave the mug in my locker full of crap.So, I really dig into cleaning this thing; hot water soaks, scrub brushes, tons of soap, q-tips, etc. No luck, the smell was still there and seriously making the coffee inside taste like crap.After a week of this, I finally had to toss the whole thing out.Maybe I did something wrong, but this isn't my first travel mug, and never had this problem before.Update: I bought a second one. And ended up tossing one as well. No telling where that funky smell was coming from, no way to eliminate it.",Liked it. For about a month,Style: No HandlePattern Name: 1 20 OunceColor: LatteVerified Purchase,8 people found this helpful,,818,284,Public,57073
themak,AG6QJWWWB3IO3S6UJFU36JTEKCNA,"Reviewed in the United States on February 12, 2020",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=11,5.0 out of 5 stars,"It fits underneath every keurig I have used without removing the drip tray.I can clean it without having to use a bottle cleaner.its just the right size.I wish they had a plain stainless steel - the black on outside looks like its paint and can chip - but so far - even with a couple drops, its been solid - luckily the inside is simply stainless steel.Oh and it keeps my coffee hot for a couple hours - perfect for my commute. Tip: keep your coffee hotter longer by heating it with hot water first.  Only downside - not double walled.",Finally a 10oz mug from contigo!!!,Style: No HandlePattern Name: MugColor: Matte BlackVerified Purchase,4 people found this helpful,,1134,133,Public,158867
Beerian,AGFTJK5EKDXQBD73SRZ2O4FYMIGA,"Reviewed in the United States on December 8, 2020",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=12,5.0 out of 5 stars,"I bought this because I have had Contigo mugs for over 10 years, and it’s the perfect size for my super-automatic espresso maker (delonghi magnifica S). I honestly have lost about 6 or more in the past 10 years, and have only thrown out 1 because I dropped it from a shelf above my head and the lid threads broke.Pros:-Perfect size to fit a “double long coffee” with some cream and sugar-locks and is leak proof-easy to clean-keeps coffee hot for a very long time-easy single hand push button drinking-Best design of all of the contigo mugs (in my opinion)-dishwasher safe lid that has an easy flap seal to clean without risk of losing partsCons-you aren’t supposed to wash the body in the dishwasher if it’s colored.-eventually if you ignore that and put them in the dishwasher the color will flake off. Not taking any stars away for that.Overall best mugs I’ve ever had and will continue to buy more as I lose them more than they get worn out!",Best mugs ever,Style: No HandlePattern Name: MugColor: Matte BlackVerified Purchase,One person found this helpful,,3,20,Public,9329326
Sarah,AGKP7F46Q33RZIK7E3YSQ5QSJ2SA,"Reviewed in the United States on December 11, 2019",3,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=12,5.0 out of 5 stars,"I love these Contigo mugs. I use them for tea at work, and they keep my drinks piping hot for hours! I’ve accidentally forgotten about my drink in my car for an entire day, and it is still hot at the end of an 8+ hour work day. They have been leak proof for my uses, but they stay upright on my desk for the most part. I haven’t tried throwing them in a bag or backpack, so I can’t attest to just how leakproof they actually are.I had a previous version of a Contigo mug and the cap was a pain to wash. This version is much easier to clean, since most of it can be popped open. This allows me to get into some of the nooks and crannies that weren’t previously accessible. See picture for how the cap “pops” open easily.My first mug arrived with a chip, but I was able to get a replacement quickly and easily with Amazon. Be careful if you get one of the colored mugs...the body is NOT dishwasher safe! Don’t even try. The paint will peel off! But it doesn’t all peel off, so you end up with a really ugly mug. This is speaking from experience. The top / cap is dishwasher safe in the top rack.",Keeps drinks hot for hours!,Style: No HandlePattern Name: 1 16 OunceColor: BlackVerified Purchase,One person found this helpful,,288,74,Public,87023
Roy,AEFTDIHYE6N4JUPJXMS4AVG45P7A,"Reviewed in the United States on October 8, 2018",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=12,1.0 out of 5 stars,Bought it for the laek/spill proof idea.... Well it leaks through the button you press. Does it on both units. So that means still get coffee on me and in the holder. Other than that it is good. But that is a major flaw. So sad....,Leaks!!!,Style: No HandlePattern Name: 2 16 OunceColor: Stainless Steel/MonacoVerified Purchase,13 people found this helpful,,26,50,Public,86501945
Amazon Customer,AFCESB4H5C3WOOTFF4FFJ3MIW6MQ,"Reviewed in the United States on March 6, 2017",1,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=12,1.0 out of 5 stars,"I rarely ever write reviews, but felt compelled to do so in order to save anyone else from having this thing drip all over them.  The mug does do a good job of keeping liquids hot for a long time, but the real problem has to do with the button/seal.  Every time I push the button to take a sip, liquid leaks right out the front of the mug from the area where the button is.  I'm not sure if I just got a defective one or if they are all like this, but it basically makes the cup unusable as I'm constantly wiping coffee off of it and my desk throughout the day (and yes, I'm making sure the lid is on extra tight).I gave it a chance, used it multiple times over the course of a couple weeks and multiple washes hoping that maybe it just needed some time to get broken in, but still no luck.  Spend a few extra bucks and get a higher quality brand; with the extra dry cleaning bills you'll end up spending the money either way...",Leaky Button/Seal,Style: No HandlePattern Name: 1 16 OunceColor: MonacoVerified Purchase,15 people found this helpful,,22,5,Public,9944423
K williams,AG35K2RQFXCRUQULPR5VQYFA7UTQ,"Reviewed in the United States on January 15, 2018",2,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,4.0 out of 5 stars,"What I like best is that it doesn't leak, even when it's tipped over.  My mug is currently filled with hot water, and laying on it's side while I type this review.  No leaks (so long as you make sure the top is screwed on completely).  I am a little worried that the flow button could accidentally be pushed if I throw it in my bag, so I'm a little careful there.  I also like it's ease of cleaning.  I purchased the stainless steel model expressly so that I could stick it in the dishwasher once a week or so to give it a sterilization, but it's easy to clean by hand in the between times.The mug will keep my tea HOT for at least an hour, and warm for several more.  I can make tea in the morning, and it's still at least warm at noon (if I haven't finished it by then).Almost too big for small hands.  Why I gave it only 4 stars is entirely subjective and fit-based.  I am a small woman, with small hands, and the mug is almost too big for me to hold in one hand comfortably.  I really appreciate the silhouette profile - the inward dip right where I hold the mug makes it possible for me to hold it and activate the pour button with one hand.  I also have a little trouble with the top of the lid.  The top is pretty much flat, which means I stub my nose every time I go to take a drink.  This is likely only a problem for people with longer noses (like me).  I've included two photos of me holding the mug, so you can see what I mean about the size and grip.As a consummate review-reader, I know how important fact-based reviews are.  I try to make my reviews as useful as possible.  If you find this review helpful, please let me know by clicking the ""Yes"" button below.  Seeing that people have liked my reviews helps encourage me to keep writing (and taking weird review-oriented photos).  If you have a question, leave a comment and I'll let you know if I know the answer.",Easy to clean and doesn't spill,Style: No HandlePattern Name: 1 16 OunceColor: Stainless SteelVerified Purchase,87 people found this helpful,,1069,82,Public,78527
MVJ,AH6CZZ2IB6LFAON3I247ZRRQYHCA,"Reviewed in the United States on January 22, 2017",5,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"This review is about the condition in which the two mugs arrived...not about the utility of the mugs themselves.When I took the Cantigo box out of the Amazon box in which it arrived, I noticed it was pretty banged up...but that's not too big of a deal. What IS a big deal is this: when I opened the box and took out the mugs and opened the tops to clean them (the instructions state to clean all the pieces before the first use) they were used, dirty and wet inside. Additionally, the tops don't match and one of the tops clearly has tea or coffee stains in the notch where the liquid comes out. Gross!! Check out the pictures; this is exactly what they looked like right after taking them out of the box. I am definitely returning them.",Arrived used and dirty,Style: No HandlePattern Name: 2 16 OunceColor: Stainless Steel/MonacoVerified Purchase,204 people found this helpful,,239,7,Public,3804154
Justin G,AH75LC5R3BATR3D4PBGR76ZPFQVA,"Reviewed in the United States on July 21, 2018",2,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=4,1.0 out of 5 stars,"I was hoping to find contact info on the product page to find out if I'm an idiot who doesn't know how to use this travel mug, or if mine's defective, to not avail... so we'll see if a one-star review gets me started.When the lid is in the lock mode, I can confirm that it does not spill. Hooray! However, after I drink from it (unlocked, obviously), I get a lot of drips of water. I got more water on my desk and on my shirt in one day of using this than in years of other mugs combined. It seems as though there is water that is dripping out of the button somehow.Also, is this supposed to require me to tilt my head back to drink from? The flow is so slow. Yes, I am pressing the button that lets the beverage come through.I'm hoping that this is a case of me being a dunce who hasn't figured out how to use this thing... but right now, I hate it.","Either mine's defective, I don't know how to drink from a travel mug, or the 5-star reviews are for something else",Style: No HandlePattern Name: 1 16 OunceColor: BlackVerified Purchase,16 people found this helpful,,91,26,Public,2783542
Paul,AF3JV6K5DTUAVXXPSEWI25PSZGNQ,"Reviewed in the United States on October 6, 2017",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=4,5.0 out of 5 stars,"I cannot say enough good things about this mug, I've owned quite a few over the years and have purchased them for family members. Even though I now work from home, when I was commuting, they were great because I could just lay it on the passenger seat without worrying spilling a drop. I have a pretty strict policy about liquids at my desk and this mug is perfect for us nervous, read clumsy, IT folks worried about a spill into a laptop or keyboard.My beverage stays hot for many hours, often I will forget about my coffee and when I finally reach for it, I am very appreciative that it is still hot.Cleaning is a breeze and much better than the first generation of the mug.My one suggestion is to NOT hold the mug up to your lip when you first pull the trigger. I've experienced pressurization with coffee and tea and when you open it, there is a sometimes a small blast from the holes on the backside of the lock switch. I always give it a quick-burp before putting up it up to my face.",Great Mug For Commuters And The Clumsy,Style: No HandlePattern Name: 2 16 OunceColor: Stainless Steel/MonacoVerified Purchase,18 people found this helpful,,169,57,Public,935240
James Gockel,AHUYC4554MOSQED5OZ24EM5YTLMQ,"Reviewed in the United States on June 12, 2017",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=4,3.0 out of 5 stars,"Alright, so I went based on reviews of this thing.It's got three stars! The technology is great, no leaks, keeps hot hot, and cold cold. GREAT!But that's where the greatness stops.Day 3, and rust is already showing on the rim of the steel. WTF? Ok, I'm not really concerned, I used it for water over the weekend. As long as it doesn't inhibit functionality, I'll be ok.Day 4, Coffee in the morning, and water in the afternoon. I work in the desert I need water, but I need coffee in the morning. The intent was to have  coffee for my morning drives, and clean it at work. I decided I want water in this too... The coffee smell just won't come out of the lid. I washed it for 15 to 20 minutes trying to get the smell out. Nope... water with a hint of coffee smell is what it's now going to be.It's a great tumbler. But these two things must take off 2 stars. Because now I need to buy one just for water, and keep one just for coffee.However, this holds 4 ""cups"" of coffee (labeled by my coffee maker's caraf, or ""2 human servings of coffee""). And the ""autoseal"" is great absolutely no leaks. Air return is around or in the lock button. Press the button and the mouth seal opens, release the button and the seal closes.Don't close the seal while you're drinking or still have it up to your lips, as it creates a wierd pressure difference and you'll spit a bit on your upper lip.","I like it, but now I need another. =(",Style: No HandlePattern Name: 1 20 OunceColor: Stainless SteelVerified Purchase,20 people found this helpful,,374,134,Public,40078
Amazon Customer,AG2ALYVXJYAHBSXAQE4AYLOEGNRQ,"Reviewed in the United States on November 3, 2019",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=13,5.0 out of 5 stars,"I bought Contigo mugs 4 years ago and both mugs are still going strong and not leaking a drop. I just make sure the button is on ""lock"" and drop it in my purse or backpack.  It also keeps the liquids hot and warm for hours...pretty amazing.  Got a set for my skeptical late 20s daughter the following year; she shrugged as if to say ""sure, Mum"" but then a month later she offers ""hey, those mugs you gave me are really good!"" So, there's your proof.  This last set of mugs I bought recently have a slightly different design in the mouthpiece, and I got them as a gift for my sister who was visiting.  We headed out on a week-long road trip and my brother in law kept commenting on how great the mugs were, keeping things hot and leak proof.  Therefore, it's been verified by three different sections of my family and we love Contigo mugs!  The only caution is not to wash the colored mugs in a dishwasher as the color film peels off (my somewhat red mug is proof) - wash by hand (silver mugs have no color foil so they are fine in dishwasher, as are the tops). Highly recommend!",Best mugs around,Style: No HandlePattern Name: 2 16 OunceColor: Stainless Steel/MonacoVerified Purchase,One person found this helpful,,151,101,Public,492637
J. D. Edwards,AGQHDKVM72D5GJWW2ZNBUDB6QHMA,"Reviewed in the United States on October 2, 2021",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=13,1.0 out of 5 stars,"I really wanted to like it.  I even put it away for a while so I could try again.  I give up.  Although it does seem to be well insulated for lasting heat, and I am a fan of either steel or glass linings for coffee, the design, though innovative, just is not effective.  As others have pointed out, cleaning is certainly not simple.  More frustrating, though, is the design for regular usage.  I simply could not, even with practice (and it's unbelievable I actually need to use the world ""practice"" with a coffee vessel) I could not consistently drink from this while driving (or standing still, no matter) without dribbling coffee down my face or dripping it onto my clothes.  It simply is not an intuitive, effective design, especially if the beverage is very hot and you only want a small amount at a time.  I actually threw mine away.",Bad Design,Style: No HandlePattern Name: 1 20 OunceColor: Matte BlackVerified Purchase,,,1584,68,Public,77494
Andy J,AFGW45CMZJ6VGOKRLKIP23GPLUZQ,"Reviewed in the United States on July 25, 2017",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=14,1.0 out of 5 stars,"The primary function of a travel mug is to be able to drink from it, and this mug fails miserably here. You can't drink from it without making a mess. The opening at the top is awkward with no lip to catch the liquid during and after you take a sip, so you are left with constant dribble on your chin and lap. You basically have to put your whole mouth around the opening and seal with your lips, after which point you must learn the skill of slurping up the last few drops as you remove your lips. On top of that, you have to tilt the mug much higher than normal mugs to get the liquid to flow and basically dump it into your mouth. Not ideal for scalding hot coffee, nor for drinking in a car with a low ceiling (kept hitting the ceiling with the mug before I could get any liquid to flow). Never had so much difficulty drinking from a travel mug. No clue how this thing has so many positive reviews. I didn't even evaluate the other features of the mug (heat retention, sealing ability, etc) because this thing is quite simply a non-starter.",Fails miserably at its primary function,Style: No HandlePattern Name: 1 16 OunceColor: BlackVerified Purchase,5 people found this helpful,,270,58,Public,1713366
Utopiac,AHMPGHAKWRSEHEXCBT5IHD24NNLQ,"Reviewed in the United States on February 7, 2021",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=14,5.0 out of 5 stars,"My fault, but I wasn't paying attention to the size and thought I was getting a replacement for my old Contigo 20 oz travel mug.  I love Contigo mugs - they keep stuff hot for a long, long time, and they don't leak.  They hold up when you drop them, and they come in really amazing colors.  This time though, I decided to go with the plain stainless steel. Was I ever surprised when I opened it and found it was t 24 oz mug!  It was like a mini thermos or something!  It's enormous - not like one of those Bubba mugs that makes you look like you walked out off the Beverly Hillbillies or something - but it's BIG.  I almost sent it back, but thought why not?  It took a little getting used to, but it fits in my cup holders and I have a lot more coffee or tea than in the 16 or 20 oz mugs.  (obviously).  Don't get this one if you have to wait to go to the potty, or if you have to go frequently.  This is a large one, and I really like it!  Contigo does what it says it will do - keeps hot stuff hot and cold stuff cold and it doesn't leak.  Period.",Really REALLY Big Travel Mug...,Style: No HandlePattern Name: 1 24 OunceColor: Stainless SteelVerified Purchase,,,28,42,Public,12814992
JustMe,AEGW7LLRNSY3J7PO4EH4P5NKOSIQ,"Reviewed in the United States on May 17, 2021",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=15,5.0 out of 5 stars,"I got the 24 oz stainless steel with no handle.  Really like it so far.  I know from having similar lids before that the best thing to do is clean it out pretty quick after finishing the drink.  If it sits and gunks up, it's going to be difficult.  Their instructions say to soak for 10 minutes or something like that, I just rinse with hot water soon after finishing drink, get some soap in there too, and let it dry.  If that doesn't sanitize it well enough and I get sick and die, at least I enjoyed my huge cups of hot coffee on my way out.  I've still only had a couple weeks but it seems like it doesn't leak.  The width is perfect for me, it fits in the standard smaller size cup holders in cars.  I don't know if it actually stays hot for as long as it says because I don't take that long to drink it, but I've had it for a couple hours and it was still pretty hot.",Not That Hard To Clean,Style: No HandlePattern Name: 1 24 OunceColor: Stainless SteelVerified Purchase,,,64,46,Public,527783
Venturin,AEYJGSSI3RPLB43LSBCPIGIV4KFQ,"Reviewed in the United States on February 7, 2020",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=15,5.0 out of 5 stars,"I am very active and work outdoors. I also hike an average of 5 to 10 miles each week. I wanted a spill-proof insulated travel mug so I bought.... another brand.It leaked. I’m not happy.Then I saw the Contigo mugs and decided to buy one. LOVE IT. Works terrific, does not leak, and the insulation works well enough for what I need. I have 3 total Contigo travel mugs, one just for coffee, one just for cold drinks and hiking and a third to give as a gift.They’re tall and narrow, so not as stable standing on their own perhaps, but work great in any cup holder. I really like these Contigo travel mugs!","If you want a great , insulated and spill-proof travel mug, this is it! (Consider 24 oz size tho)",Style: No HandlePattern Name: 1 14 OunceColor: Black ShellVerified Purchase,2 people found this helpful,,843,341,Public,179986
jhowie,AHIQONLYUJPYSPG6VXQXXKJQQDKA,"Reviewed in the United States on March 31, 2018",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,1.0 out of 5 stars,"A great concept.  Even the video by the manufacturer was promising.  BUT: the plastic on the lid has an overpowering taste of PLASTIC and when drinking hot coffee, the COFFEE TASTES LIKE THE PLASTIC.  I removed the lid and drank the coffee and it tasted close to normal, but then what's the use of using this product?  The plastic taste does not leave even after repeated washings.  Which leads to the question: what type of plastic is this?  Is the plastic BPA free?  The manufacturer says that it is.  But where's the BPA free/ triangle recycling symbol?  It is not on this product.  Or is there another BPA free/recycling symbol that is used in China where it is made????  I should have read the 1 star reviews and not gone with the hype.  A waste of $16.  I'll just continue to use the freebie travel container that the car dealer gave me.  It's simpler to clean, the triangle recycling symbol is clearly displayed and hot coffee does not taste digustingly like plastic.",WHY DOES THE PLASTIC LID MAKE HOT COFFEE TASTE LIKE PLASTIC?!,Style: No HandlePattern Name: 1 One Size (Pack of 1)Color: Matte BlackVerified Purchase,20 people found this helpful,,21,33,Public,3141304
nategator,AGFZUOWPFCCYPZD73ZNFEV6NOT4Q,"Reviewed in the United States on June 26, 2016",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=5,1.0 out of 5 stars,"Mug worked fine until the lid stopped working.  I put in a claim for the guarantee, including having to take a photo and attach it to my request, and the company failed to acknowledge my request -- let alone honor their lifetime guarantee.  Very disappointed!",Company did not honor lifetime guarantee,Style: No HandlePattern Name: 1 20 OunceColor: Stainless SteelVerified Purchase,75 people found this helpful,,42,45,Public,2015788
Rickey Lawhorn,AE6T3QJYHVWXGL4DLHOBJOCJS46A,"Reviewed in the United States on February 11, 2018",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=5,1.0 out of 5 stars,"These are no good at all, mine leaks all the time and for the price super unhappy what's more embarrassing I gave one to my roommate as a christmas gift...was wondering why he stopped using it..I have others so I just used mine for the first time yesterday,,leak,leak,leak..no matter how tight you tightening the lid... it leaks through the button you push to dispense the fluid.. found same set at Sams club for half the price and they had grips...still have not tried those ones yet as I gave one to my other roommate for xmas and he doesn't use his either... skip this product unless you like using a sippy cup cuz that's about how much it dispenses at a time, can't be driving down the road and drinking outta these, very dangerous.",These are no good at all,Style: No HandlePattern Name: 2 16 OunceColor: Stainless Steel/MonacoVerified Purchase,14 people found this helpful,,81,18,Public,5361446
Lacey,AHOENUBGH72QHG3PLCQMZCASCBVQ,"Reviewed in the United States on June 23, 2021",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=5,5.0 out of 5 stars,"So many ""leakproof"" mugs are not...but this one locks so you can't accidentally push it in your bag. I love my leakproof Contigo water bottle, and this is my favorite coffee mug now too. The color was a little different than I expected (it isn't quite as dark as the photos), but I'll chalk it up to computer screen vs reality --color was a bonus not a main feature for me anyway. I can put this water bottle in my backpack and not worry about getting my notebooks wet and coffee stained, and it lets me get coffee and not drink it until I get to class but it's still hot. This is my go-to travel mug now. It IS hard to clean. My suggestion is to always at least rinse it out when you're done. I have a latte machine at home, so mine always has milk in it. I'm always out of the house all day, so when I'm done with my coffee I just rinse the mug out in a bathroom sink somewhere making sure to rinse water through the lid (the hardest part to clean). Then, at the end of the day I have some little dish brushes (mine are OXO and awesome) and use those to clean the cap with soapy water. This keeps the lid from getting gross. the little silicone lip spout can be popped off to clean between the plastic and the silicone piece to make sure there's not milk debris and bacteria trapped in between, but I usually only do this every couple of days because the rinsing helps keep anything from getting stuck. Highly recommend if you can handle getting into the habit of rinsing it when you're done, or you don't put perishable liquids in it.",Love the lock,Style: No HandlePattern Name: MugColor: ChardVerified Purchase,3 people found this helpful,,36,30,Public,3280837
