author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,,helpful_votes,total_review,visibility_status,ranking
Joan D,/gp/profile/amzn1.account.AEJ3SDNHHQKMVZDA5NSOND756YIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 20, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,4.0 out of 5 stars,"I'm not sure why this game is so addictive but I will say ""just one more time"" and keep going until I'm stopped.  The game has built in time limits, which is good.  Not sure I like the idea of having to buy more time and other ""help"".  This sounds like trouble for children to have access to.  The goals are clearly stated unlike some of these things I've tried that I still have no idea what to do with or why things happen as they do.  If you want some mindless entertainment this is your game.",addictive fun time waster!!!,Verified Purchase,2 people found this helpful,,,43,20,Public,16719867
Tiffany C.,/gp/profile/amzn1.account.AF6PNKCV67PMJDMEFXMPNONKKN6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 13, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,5.0 out of 5 stars,Love this game! Love that it's on my Kindle also!,Hours of Fun!,Verified Purchase,One person found this helpful,,,64,235,Public,5234470
red51,/gp/profile/amzn1.account.AHVC6BMXTYJ6QNJPGVZRNRDPBKTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 27, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,5.0 out of 5 stars,Seems simple at first until you realize how you increase your points is by looking for the patterns of larger groups and finding ways to increase them or combine them.,Very Strategic,Verified Purchase,,,,26,15,Public,82889562
tcohen,/gp/profile/amzn1.account.AFNN3UBTP25G3K4HPYNLOMFRT26A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 27, 2016",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,5.0 out of 5 stars,Waiting in Dr office perfect entertainment,great fun while bored,Verified Purchase,One person found this helpful,,,3,5,Public,59354842
TxTornado4,/gp/profile/amzn1.account.AEZJKHLKPZUITVP7D4RLGELTRPAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 8, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,5.0 out of 5 stars,Very addictive!  Great download!,Great download!,Verified Purchase,One person found this helpful,,,29,98,Public,15451495
pat henderson,/gp/profile/amzn1.account.AECKVSAYDQPE6QMR4GGFUGIMQFJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 7, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,5.0 out of 5 stars,"I really love it, I get to playing and I forget anything else is going on.I have to make myself put it up",I'm totally hooked on it.,Verified Purchase,,,,1,16,Public,47030350
Ponch,/gp/profile/amzn1.account.AFBU62WKV4A4I32GB7XNWI4CNQQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 6, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,4.0 out of 5 stars,Pretty fun game.  Don't realize how long you've been playing.,Fun,Verified Purchase,,,,320,714,Public,456764
Deb Brunsberg,/gp/profile/amzn1.account.AE6IV34GQTP4POR6J7HL2XKDCDEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 25, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,5.0 out of 5 stars,Fun!,Fun!,Verified Purchase,,,,202,106,Public,122927
Mik,/gp/profile/amzn1.account.AEFFZW3GWGZ52LDJ7R25FJUBNTHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 28, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,4.0 out of 5 stars,"Candy Crush Saga is an enjoyable pasttime that you can play anywhere you go.  It is addictive, so you may find yourself spending a lot of time playing level after level.  The only reason I didn't give it a 5 star rating is because you have to wait too long to obtain additional free lives or play free challenges to open the next level.  Sure, you can pay to continue playing, but this is supposed to be a ""free"" game.",Addictive Fun,Verified Purchase,5 people found this helpful,,,19,25,Public,4707743
Kindle Customer,/gp/profile/amzn1.account.AEQSSKRGUEXYO55NAI3MO4FMQ3YQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 26, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,3.0 out of 5 stars,Fun game keeps you occupied. They do want you to spend money.,fun enough,Verified Purchase,,,,92,38,Public,1683125
Nina Dunn,/gp/profile/amzn1.account.AEYRS2RPER4FTMYNZU75JFVOT76Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 5, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,5.0 out of 5 stars,"Very challenging, logic and luck, fun to compete with family and friends, and you can pick up where you left off on almost any device. Only bad thing is it uses battery quickly.",Love it!,Verified Purchase,,,,225,20,Public,5380060
Mrs. Urban,/gp/profile/amzn1.account.AEC3S2KW76CJCKNDW2LSKIXVKS7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 2, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,5.0 out of 5 stars,Addicting,Five Stars,Verified Purchase,,,,18,30,Public,13686947
Carolyn Clark,/gp/profile/amzn1.account.AE5JX2H2G7MVBZQWZJP2FXQNPX3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 1, 2016",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,5.0 out of 5 stars,"Exciting, fun-filled game. The boosters really are the ""bomb"".",Awesome!,Verified Purchase,,,,25,14,Public,82659778
sunshine,/gp/profile/amzn1.account.AHPT4ESER6DEJILBNJ2ONZB7VOSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 20, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,5.0 out of 5 stars,I use to be a candy crush addict. I bought a new kindle fire HD & the app wasn't available so it wasn't fun playing on my phone & didn't want to carry around my laptop. So thank you king.com & kindle for finally making this game available on kindle fire HD!!!!!!!!!!!!,the wait is over,Verified Purchase,,,,4,7,Public,60902678
barbara ellerbrook,/gp/profile/amzn1.account.AGOTA5R6OETUA5X44LQGVNRZ22CA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 11, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,2.0 out of 5 stars,"Liked app until I reached highest level in about 15 minutes, before I couldn't go any further without purchasing additional levels. Not worth it.",poor,Verified Purchase,,,,18,15,Public,82655227
Denise Adkins,/gp/profile/amzn1.account.AGRACBMNY4SOKV7Q4DUMR6XI2OYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 11, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,5.0 out of 5 stars,This is a fun game. Denise,dee,Verified Purchase,,,,8,21,Public,52251153
A. Johnson,/gp/profile/amzn1.account.AHK3BHWHRX5GILSOYHTFYXH3X4KQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 28, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,5.0 out of 5 stars,Very addictive game which can hours of enjoyment as well as frustration.,Addictive,Verified Purchase,,,,13,27,Public,21772680
andrea,/gp/profile/amzn1.account.AGJ6NT2XZCCX32P6EZFQBWKCO6TQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 23, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,4.0 out of 5 stars,Can't put this game down.  And I get frustrated when I have to wait the &#34,timeout&#34,.  Definitely a sign of a terrific game (fyi I an in my 60's!).,addicting,Verified Purchase,One person found this helpful,4,18,Public,10125203
L W,/gp/profile/amzn1.account.AHE6FRDVMZSCI4AMEEGBLYSAAG3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 29, 2016",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,4.0 out of 5 stars,It's very addictive!,Crush addict,Verified Purchase,,,,9,16,Public,10943669
Barbookbar,/gp/profile/amzn1.account.AHENFIGRLB2RNAGA6VOXB3HRKCRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 12, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,5.0 out of 5 stars,love candy crush,Five Stars,Verified Purchase,,,,91,214,Public,83473537
Robert  Isner,/gp/profile/amzn1.account.AFYKG5AEBPKGNOUBZAMELLBVDBVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 4, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,5.0 out of 5 stars,Fun and addictive game. Great sound and graphics.,Fun game.,Verified Purchase,,,,14,33,Public,82647491
Lori A. Bussin,/gp/profile/amzn1.account.AE4UH3RJD7BTBKKK5ZY3HYLCE3PA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 25, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,4.0 out of 5 stars,"This is a great game and would have given it a 5 star rating, however, you get stuck on levels too long.  I was stuck for over a month on one level as a result it becomes boring and you just want to quit.",Good game but........,Verified Purchase,,,,19,8,Public,70624559
Lulu43,/gp/profile/amzn1.account.AEL47EHYQPIYHE4Z2AJ4BJIAWECQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 2, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,5.0 out of 5 stars,Fun and addicting.,Five Stars,Verified Purchase,,,,191,279,Public,96189
MARIO E LOPEZ,/gp/profile/amzn1.account.AEDDSEHMK7LBXTU3D32DVWEA5NXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 9, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,5.0 out of 5 stars,"Great game,could play it all day long.",Great game,Verified Purchase,,,,18,31,Public,15171004
Carrie L. Yeager,/gp/profile/amzn1.account.AHSO3MLVEZSOOLXCEGJMKDUOHQYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 18, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,4.0 out of 5 stars,Fun game. Some levels are very hard and may take a couple of weeks to finish unless you spend money.  Fun time waster.,Fun waste of time,Verified Purchase,,,,44,21,Public,7226362
Lori Flud,/gp/profile/amzn1.account.AGCVTI4MPX2CCQ3FEI4XEWHRRYXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 22, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,5.0 out of 5 stars,For years I've been getting request to play and ignored them.  One day I decided to try it out. What fun this is. I to connect with family and friends to play.  You got me!,I'm hooked.,Verified Purchase,2 people found this helpful,,,8,7,Public,23519041
S. Wooten,/gp/profile/amzn1.account.AHPWOZJ2HV2AIXJMT7UKIKYZ6NRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 19, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,5.0 out of 5 stars,"I love this game. It's very addicting. I wondered why we couldn't get it on Kindle when everyone else had it. Thank you Amazon for finally giving this game to us. Yay!  The only thing I don't like about the Kindle one is that it doesn't just bring up your Candy Crush playing friends to ask for more lives.  It gives ALL of your friends to ask, and I can't always remember which ones play and which ones don't.  Other than that, this is absolutely great!",It's about time,Verified Purchase,,,,68,57,Public,4730921
Diana H,/gp/profile/amzn1.account.AGA4MC5ZPGRRYYGYQLDTQTZWTJMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 5, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,3.0 out of 5 stars,Good game to pass time,Three Stars,Verified Purchase,,,,223,109,Public,893795
Punk Rock Ruck,/gp/profile/amzn1.account.AFVFLIMZPBUBWCRTHJKUEYM6KRLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 23, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,5.0 out of 5 stars,"I love this game.  Match the candies and complete the level.  How hard can that be?  Extremely hard one you get up in the 500+ levels.  Then they added Dreamworld.  Otis is so freaking frustrating.  Don't let him fall off the mood.  UGH!  As long as you don't get roped into buying lives you can keep this game under control and only play a little bit at a time.  But watch out, get to that level you just want to beat and you are addicted.",The most addictive game ever,Verified Purchase,One person found this helpful,,,1878,459,Public,405091
donna,/gp/profile/amzn1.account.AHSOOSKLQDN25YBKXBA4SAINSDXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 17, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,5.0 out of 5 stars,"What can I add...this game is fun, addictive, and frustrating all at the same time.  I consider it a "" must have app"".",fun!,Verified Purchase,,,,21,27,Public,82676338
Laura,/gp/profile/amzn1.account.AEICL3KGZMF7HLSMOU7XMENWM5AA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 28, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,3.0 out of 5 stars,I would give it a higher rating but I get really annoyed with the fact that I must continue to buy life.  This is a fun game and good for kids.,not bad except for the short life and time outs.,Verified Purchase,,,,14,16,Public,30532803
Amazon Customer,/gp/profile/amzn1.account.AEZDKQQHAUZAX5FC5VI2E24NCS3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 30, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,5.0 out of 5 stars,An easy way to wind down at the end of a long day as long as you don't get hooked.  :),Mindless fun,Verified Purchase,,,,180,54,Public,1043593
Robert V.,/gp/profile/amzn1.account.AHKDS3GUW4GWZ7N54V4OVOZCJZUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 22, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,4.0 out of 5 stars,resisted but downloaded and got sucked into it. thoroughly am enjoying it. great way to pass the time. highly recommend to anyone. moves fast and is great entertainment.,Better than i thought it would be,Verified Purchase,,,,4,18,Public,5477217
Lisa,/gp/profile/amzn1.account.AECYTBVYFK6CXRTMHNFIAUTDGE6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 29, 2016",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,5.0 out of 5 stars,I love this game.  It is challenging and addicting!,super fun,Verified Purchase,,,,2,11,Public,61845102
Happy customer,/gp/profile/amzn1.account.AFFJ2M2Q5I5325Z67RRSKT35REIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 15, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,5.0 out of 5 stars,looks like a very popular game -tried it liked it --lot of wins not really a lot of changes in how its played.,Candy crush saga,Verified Purchase,,,,5,29,Public,11234111
BL,/gp/profile/amzn1.account.AELTVRYRJOND3TQQZ43PR2E3P5KA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 2, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,5.0 out of 5 stars,Love it!,Five Stars,Verified Purchase,,,,12,35,Public,45390160
LEIGH,/gp/profile/amzn1.account.AFZH7GSB5SCWTU7ZUTG2ZZ74643A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 13, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,5.0 out of 5 stars,addictive,Five Stars,Verified Purchase,,,,8,48,Public,19473961
Marsha Gillespie,/gp/profile/amzn1.account.AFX4IEYZPG7XWXKQEI6UW7HOSESQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 28, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,5.0 out of 5 stars,"This game has kept me from housework, laundry, cooking and I'm not even sorry. I Love this game. I should have started a long time ago. The house, kids, clothes can wait. LOL",VERY ADDICTIVE for this woman. Never had so much fun playing on the kindle before. Thankx CCS.,Verified Purchase,,,,233,11,Public,57637488
Charlotte E. DiLiberto,/gp/profile/amzn1.account.AEGTHZGOPB2HD2EWX2VZOS5VK42Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 12, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,5.0 out of 5 stars,"This is a great game. The game is colorful, always looking for new ways to gain points and get a round, very challenging, and I just love to win.",Fantastic!,Verified Purchase,2 people found this helpful,,,4,16,Public,82514592
T. Hornbeck,/gp/profile/amzn1.account.AH3EF3QMKT7GFA74RRZ3K6O2RTOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 29, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,4.0 out of 5 stars,"Addicting! Fun game to play but I haven't played in a few months because I am stuck on a level and after a month of trying to beat it, I have given up!",Fun game to play but I haven't played in a ...,Verified Purchase,,,,1,19,Public,27681653
Serg1980,/gp/profile/amzn1.account.AFSMIXEP4VWGMBWOXFCSFCRHFCSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 29, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews,5.0 out of 5 stars,"I love love love this game and I'm just on the fifteenth level.I would suggest that king.com should make a second candy crush saga.this game is amazing,magnificent,perfect,fun,addicting,and cool  Riley,  Shoun",love,Verified Purchase,,,,0,7,Public,45007383
Christine E. Knoble,/gp/profile/amzn1.account.AHMW4HXUDZBZITNSREUGKPTEU7RQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 10, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews,5.0 out of 5 stars,Love this game,great game,Verified Purchase,,,,33,20,Public,10971040
B Lazar,/gp/profile/amzn1.account.AGD6ROXY3A4MLWXTIOFEIC24KKDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 11, 2016",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews,5.0 out of 5 stars,"It's addicting, challenging and fun. I just can't put it down!",It just keeps getting better,Verified Purchase,,,,3,18,Public,46767385
Lisa,/gp/profile/amzn1.account.AFYUYAUWCN3RW2VZJ64BVOFUYEGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 20, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews,5.0 out of 5 stars,This is a very addicting game. Even the younger kids love it. So this is a good family challenge game also.,LOVE IT,Verified Purchase,,,,44,28,Public,82683158
Nonni Biscotti,/gp/profile/amzn1.account.AFWWYSZPHW7YFW2RPQ5MGQOHHHLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 28, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews,4.0 out of 5 stars,Many games should have extra actions.,"fun sometimes, frustrating most times",Verified Purchase,,,,63,126,Public,902917
Sunshine,/gp/profile/amzn1.account.AH7DZWHUI2ZWHDZ4G62J4AIWUNEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 28, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews,5.0 out of 5 stars,Enjoyed playing new to this game.,Five Stars,Verified Purchase,,,,8,59,Public,9406051
Theresa S.,/gp/profile/amzn1.account.AECPWMHP7NHC5Q4IFZXJMPBH7XIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 13, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews,5.0 out of 5 stars,"This game is fun and challenging,definitely a great way to pass the time!  Hours of fun . Give it a try!",Challenging,Verified Purchase,,,,30,16,Public,41988432
Erica Alexander,/gp/profile/amzn1.account.AGR3SC2KG3P4DDQZXGW2QZ6PZ2QQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 4, 2016",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews,5.0 out of 5 stars,Good way to pass time.,Time,Verified Purchase,One person found this helpful,,,1,4,Public,60408036
Hannah Harrington,/gp/profile/amzn1.account.AFZRF4Y7USC56RTQCFFUR4E5Q6HA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 8, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews,5.0 out of 5 stars,extremely addictive and once you get up into the 50s etc there are challenging parts that make you really think.,cool,Verified Purchase,,,,3,16,Public,12496109
Debra Sidbury,/gp/profile/amzn1.account.AEJP7JKSSD7TMP55MTEUTDEJ2DHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 3, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews,5.0 out of 5 stars,"Love the game. My kindle is not as fun as my pc, cause the screen is fairly small, but still I can indulge my addiction",play a quick game anytime,Verified Purchase,One person found this helpful,,,6,26,Public,8795542
Patricia Martina,/gp/profile/amzn1.account.AHPNAKVR3EFYVVKWXUWBQG4AFRXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 25, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews,5.0 out of 5 stars,"Keeps me thinking gives me stress at time, enjoying it...",Five Stars,Verified Purchase,One person found this helpful,,,36,91,Public,1189991
