author,author_profile_url,date_of_review,image_num,num_of_comments,rating,review_content,title,verified,votes_helpful
Jacob,/gp/profile/amzn1.account.AGAEA4SJPZWRGVEUOWQRKEKKFBTQ,Reviewed in India on 9 June 2020,0,0,5.0 out of 5 stars,"I was very confused on buying Mac Air over other Gaming laptops which offered better specs. But somehow it made sense over the time. I am writing this review after 1 year of usage. I bought the Mac Air (2017 version) on Jan 2019 for around 61K.Experience:About 121 GB will be available for your usage. System is super speed and responsive. Absolutely seamless performance. Display is a beauty. I know some would complain about its viewing angle, but when you start to use it, no one will care about such technical details. Its the most lightest and slimmest machine, don't worry weight. The best part is, Battery Backup. Its so long that you'll even forget when was it last charged. Even on straight usage, minimum 8 hours is guaranteed. I think its more than that.If you are a software developer, trust me, it will perform way more than any other i5+8GB machine, plus you get the Linux flavor.But.......1) Don't buy if you are gamer. Please don't buy. This is not meant for that.2) Don't buy if you are a big fan of windows and use too many 'unpopular' software. Although Mac OS will support all enterprise level and popular software, you will not find software for every crappy thing.3) If you are a careless user of laptop, like smashing keyboard and dropping laptop kinda guy/girl. Mac is somewhat sensitive and cannot withstand your strong emotional outbursts.4) Don't buy if you need a dedicated Graphics card or high performance systems. Like for Data Analysis, Machine Learning (Basic stuffs can be done though), computational chemistry or too heavy stuff like that.My advice:More than the specs, Seek a machine that seeks you.",Good for Work :) Not so good for games,Verified Purchase,3 people found this helpful
Lokesh Naik,/gp/profile/amzn1.account.AEN4VJCGI5KWLH7DMT6FNEHQV76A,Reviewed in India on 30 September 2019,0,0,1.0 out of 5 stars,"Be careful while buying electronic products through Amazon.I bought this macbook for 56k on March 2018. After 1.5 years of usage, the display stopped working for no reason. The device never had any accidental drop or shock while I was using it through these years. The service center guy told me it would cost around 41k for screen replacement. Now I'm left with no option.If you are buying, I suggest you to buy it along with a protection plan or any extended warranty.",Display not working,Verified Purchase,5 people found this helpful
ARUN Kumar  Agarwal,/gp/profile/amzn1.account.AF7F3A75Z7KYXA6CHUIXXAKJ5ORQ,Reviewed in India on 5 September 2018,0,0,1.0 out of 5 stars,charger not workingservice center not available to replace charger,charger,Verified Purchase,10 people found this helpful
PeasInAPod,/gp/profile/amzn1.account.AGBGQLBYM5IMYGAHKHAC7JAAWNCQ,Reviewed in India on 4 June 2020,0,0,5.0 out of 5 stars,"Honestly, there's nothing like a Mac. It works so fast and so smooth.My work requires multiple windows each containing 20-40 tabs open at a time.Not once has it slowed down or lagged.I work really fast and keep switching tabs and apps and I have no issues.If you're working from home, this is definitely worth it. You don't have to wait for things to load.I've been using Mac since 2015 and I can't go back. I bought this one in Dec 2019 at Rs. 57000. Totally worth it.",Totally worth it.,Verified Purchase,One person found this helpful
MADHU,/gp/profile/amzn1.account.AHAPSYXQ2OIWKJWR6XMWQQ4EEBHQ,Reviewed in India on 24 September 2020,0,2,1.0 out of 5 stars,This seems to be a common problem for the MacBook sold by Amazon. Bought my MacBook Air from Amazon in Mar of 2019. Mac completely stopped working after a year and a half. Authorised service centre says Logic board is the problem and Apple recommends a the complete logic board to be replaced which costs Rs 35000/-. How illogical is that when Amazon is selling the MacBook Air at Rs.65000/-. The question is if Amazon is cheating us in India?,Logic board crash,Verified Purchase,3 people found this helpful
Suyash Vijay,/gp/profile/amzn1.account.AHFQTL5H3FGZVGCX5ZHRGBTVKSEQ,Reviewed in India on 13 July 2019,0,0,1.0 out of 5 stars,"I bought it with very high expectation, but its logic board got damaged in 1.5 years only. The repalcement charges for logic board is around 40500INR. I am very dissappointed with the product and I am switching back to windows.",very bad experience,Verified Purchase,6 people found this helpful
sukhwinder singh,/gp/profile/amzn1.account.AHVSVAPP3XFEJZZYQDZGIXT43ZBA,Reviewed in India on 25 January 2020,0,0,5.0 out of 5 stars,"Bought this during Diwali sale. Apple is amazing. I was confused between Dell/HP touchscreen laptops and Macbook. Then after going through every single detail, I must say this is very powerful machine. If you dont require so much softwares , then definitely go for it. Being a researcher and student, whatever i need is easily available through softonic or other websites. and it has good substitute of MS Office. Battery Back up is very good. I use it for 7-8 hours a day and normally it can be used for upto 15 hours.",Go for it,Verified Purchase,2 people found this helpful
Mahesh Kumar Prajapati,/gp/profile/amzn1.account.AERBHFLEBWZ62H7PEUF22TTFS4JQ,Reviewed in India on 2 October 2019,0,0,1.0 out of 5 stars,This is the worst  apple product I have ever seen ...6 month After purchase of this fake book ...some of its keys of keyboard  stopped working ...So the service center  replace my keyboard with the new one ...But after some months with  the new replaced  keyboard some of its key again stopped working .All these things happen in one year and 3 month timeline which is roughly 1.5 years of original purchase date ... ...When I spoke to the service center they told me that the warranty is over you need to pay 12000 rs ...So I don't have any option. The cost is too high. ..So now I m working with the external keyboard which cost me merely 200 rs ... My friend bought the same macbook from the showroom and i must say its really working good and it doesnt show any fault at all .Till now .i wish i also bought this macbook from the showroom ....,Please must read before purchase,Verified Purchase,3 people found this helpful
Jm,/gp/profile/amzn1.account.AETJIZ2XRSSASA242S5C4WQSMOKQ,Reviewed in India on 20 February 2019,0,0,2.0 out of 5 stars,"Very handy laptop, light weight and portable. Mac OS is super cool. Battery backup was good. Defective product recieved,within 2 months of use, laptop gets switched off suddenly while on battery. Requires power input to restart again.Contacted service centre, they told its motherboard problem and replaced motherboard under warranty, but problem still persisting. Laptop still at service center. Earlier i was using toshiba laptop, satellite 340,lasted 8 yrs without any problem. Paid a premium for macbook air very dissapointed with apple quality of products. And to repair it outside warranty, parts cost as much as the laptop itself🙄","Very dissapointed,bad quality product recieved",Verified Purchase,4 people found this helpful
Kaushal,/gp/profile/amzn1.account.AG366C7IEBH4OAKLIL4FLILVOVIA,Reviewed in India on 6 February 2019,5,5,5.0 out of 5 stars,Pros:1. Light weight and super fast response time2. Highly optimize which avoids any kind of process lag.3. Beautiful looks and feels like a prime product.4. Long battery life and awesome sound clarity5. Purchased during Amazon sale cost around 52k.Cons:1. Not enough memory2. Limited softwares available3. Operating system is not that user-friendlyProbably one of the best option for 50k+ laptops,Justified Apple Product,Verified Purchase,202 people found this helpful
Romeo Menezes,/gp/profile/amzn1.account.AEEKGGQ7F3R4XTWVSWU2CJVNHZHA,Reviewed in India on 30 December 2018,0,2,1.0 out of 5 stars,"I am very upset about the product as I checked my MacBook 15 days back in December, it didn’t start. It was luckily in warranty . I took it to the service centre and they informed me the mother board and battery collapsed. If it was not in warranty I had to pay 47000/. I asked for replacement of the product and I was refused. They got it fixed for me. I don’t know why should I pay 57000/ for Mac quality. If this is the quality and the service, then I have to go to other product. In January my product expiry was due. They have give an extension of 3 months warranty when I had asked for 1 year. Very disappointed.",MacBook motherboard and battery collapsed.,Verified Purchase,118 people found this helpful
Anvit shetty,/gp/profile/amzn1.account.AH6CT7UHWDZFAHQJDRGIQDFYENPA,Reviewed in India on 15 May 2019,0,0,1.0 out of 5 stars,"Bought this product recently on 5 April, was working perfectly fine for few days and on 16 April the Mac working charge or turn on. Apple service centre says they can’t fix the product under warranty and amazon in try to come up with a solution ever since , no solid answer . I m stuck with a dead mac after using it for 10days. Request seller , Amazon or apple to take full responsibility.",Dead mac book air,Verified Purchase,107 people found this helpful
Jason,/gp/profile/amzn1.account.AFVN23RF56LNNBSR7E55TP2CI43Q,Reviewed in India on 31 January 2019,0,2,4.0 out of 5 stars,"I have been a Macbook pro user for last 2 years. I came across the new Macbook air and got a chance to put hands on it. So here is a brief review on my first impressions. Basically i will be comparing this with a regular laptop of similar price range and Macbook PROAir benefits compared to Non Apple laptop:# Slim and light weight for daily travel# 10-11 hours battery backup on normal usage# Apple touch pads are awesome, smooth and responsive compared to any premium laptop# Audio quality on speakers is good, but not as loud as my Macbook Pro 13# Apple front camera works the best in low light, best for low light skype calls# SSD - Apps launch very fast despite the low power processor# Metal body construction# Mag safe charger- If you are really careless this helps very much.# Ambient light sensor that adjusts brightness automatically ( Many people are not aware of this feature)# Keep your Air closed or leave somewhere idle and check back after 2 or 3 days, you will see battery has dropped less than 3 or 4 %# The best part - Mac OS, contains all that you need, a neat calendar, Todos app, notes, Quicktime, Mail app etc. Hassle free OSAir demerits compared to Non Apple laptop:# Performance is on lower side# Good for basic usage only, internet, movies, video calls, spreadsheets, mail# You will get better display(Full HD) if you buy a 999$ Ultrabook from US (In India they come at premium)Should you consider Macbook PRO? - PRO advantagesI know a lot of people might be confused whether to go with PRO for some additional bucks. So listing benefits of pro from my experience# Force touch - More comfortable touch pad, less finger pain compared to buttons on Air, Adjustable pressure# Retina display - More pixels, Better viewing angle. Air is 1440x900 while PRO is 2560x1600 pixels# Better performance - Pro CPU is actually about 50% faster than AIR, but in real world tests, apps launch at similar speed in both PRO and Air. The difference is notable only when you run CPU intensive tasks like Programming, Video encoding, Photo editing, Raw conversion etc. Those who are not into this can go with Air and save some money.# Newer CPU - Macbook air has not evolved much compared to PRO. The 2017 Air uses the same fifth generation CPU as the previous version (2015). But with a little upgrade in CPU speed. ie 1.6 GHz to 1.8 GHz. The newer PROs come with 7th generation Intel processors. The difference is mainly with the energy consumption.# HDMI port - You don't need display port adaptor# New keyboard - The 2016 PRO has the same keyboard as the ""Macbook"". Keys are less deeper and more wider. This makes it little more comfortable to type. Air comes with the same old keyboard as 2015 PRO# Wider touch pad - Not a big deal. But if someone loves that, its a bonus# Color options - Yes, Air is only available in Silver, PRO comes in 3 color optionsIf you think, all the above justifies the price difference between the PRO and Air, go for the PRO. The only benefit that Air offers is battery life. PRO offers 8-9 hours only, while Air offers, 11-12 hours battery.Whom Air is for?Macbook air is not a gaming machine or for hard core users. Its for people who love to watch lot of movies, work on documents, browse and some basic programming. When i say programming, Xcode works fine on Macbook air. But Software like Android studio, Photoshop seems to struggle a little on Air. But if you are once in a while user of intensive apps, you can ignore this.I will update my review with more details after a few weeks of hands on testing and usage. If you have any queries leave a comment below. I will try to answer in a day or two.Thanks for reading! Hope this helps.Also, Get 10% Cashback by Ordering through vqr .in/24",Perfect product!,,111 people found this helpful
saurabh chauhan,/gp/profile/amzn1.account.AGTCLZSPNPZ5FACJQEIZP7GHKQNA,Reviewed in India on 8 February 2019,1,3,5.0 out of 5 stars,"Best Laptop under 60k. If you don't want any accounting softwares like tally or busy then go for it, better than windows in every term. I just love it's battery life with sleek look 😍Now talking about MS officeIt's available on app store, free for 1 monthAfter that you will have to pay.You cannot install pirated version but if you install Windows 7 or any other version then u can use Ms office for freeBut in MacBook there are other apps which are good substitute for Ms office appsNumbers for ExcelPages for wordKeynote for PowerPointAnd you can convert your numbers file to Excel file or csv fileSame for the pages & keynoteSo no need of Ms office for me.Cons1. U cannot play games, your laptop will just heat up, battery will drain* U cannot play pubg mobile on emulator if you are pubg lover😁2. Storage 128gb, it will work fine but if you want to store movies or TV shows u can't, u have to buy external hard disk","My first apple product: fully satisfied- here are some answers regarding MS office, games",Verified Purchase,218 people found this helpful
Kaushal,/gp/profile/amzn1.account.AG366C7IEBH4OAKLIL4FLILVOVIA,Reviewed in India on 6 February 2019,5,5,5.0 out of 5 stars,Pros:1. Light weight and super fast response time2. Highly optimize which avoids any kind of process lag.3. Beautiful looks and feels like a prime product.4. Long battery life and awesome sound clarity5. Purchased during Amazon sale cost around 52k.Cons:1. Not enough memory2. Limited softwares available3. Operating system is not that user-friendlyProbably one of the best option for 50k+ laptops,Justified Apple Product,Verified Purchase,202 people found this helpful
Romeo Menezes,/gp/profile/amzn1.account.AEEKGGQ7F3R4XTWVSWU2CJVNHZHA,Reviewed in India on 30 December 2018,0,2,1.0 out of 5 stars,"I am very upset about the product as I checked my MacBook 15 days back in December, it didn’t start. It was luckily in warranty . I took it to the service centre and they informed me the mother board and battery collapsed. If it was not in warranty I had to pay 47000/. I asked for replacement of the product and I was refused. They got it fixed for me. I don’t know why should I pay 57000/ for Mac quality. If this is the quality and the service, then I have to go to other product. In January my product expiry was due. They have give an extension of 3 months warranty when I had asked for 1 year. Very disappointed.",MacBook motherboard and battery collapsed.,Verified Purchase,118 people found this helpful
Rumi,/gp/profile/amzn1.account.AFTSM4SUV4J6DNSFC7372AEVKEFQ,Reviewed in India on 1 August 2019,0,0,1.0 out of 5 stars,I bought it last year from Amazon during Sale. It worked well for on year and then suddenly stopped working. I am unable to switch it on. I took it to service centre and they told that the logic board has to be replaced. The cost is around 45000. I am helpless. I dont want to invest more into that. I used the laptop very carefully but I think Amazon sent a defected piece on sale.,Worked for one year only,Verified Purchase,48 people found this helpful
Vivek,/gp/profile/amzn1.account.AEUHJIFZ7HOLKPKIA3BAITHHRWLA,Reviewed in India on 29 October 2018,1,0,5.0 out of 5 stars,All are Gud.. For now..,Gud One.. Awsm.. Love.. It..,Verified Purchase,64 people found this helpful
Raj,/gp/profile/amzn1.account.AFQDFA76F7HTDJJKRNZUYJOYTAUA,Reviewed in India on 13 August 2019,0,0,1.0 out of 5 stars,"Bought this MacBook for 51K in 2018 and 2 weeks back my laptop stopped working without the adaptor even at 100% I went to the Apple Store and they informed me that the logic board had corrosion and it would cost me 42K to get it replaced. Just after my warranty of a year expired, this issue came up. Highly not recommended. This was a defective piece and very conveniently Amazon/Apple sold a product that would last more than a year (the warranty) time just to have customers pay almost just as much to fix the laptop. I was major fan of Apple and its products but now I am really disheartened. I hate what happened. Cannot spend a dime on any Apple product ever again. PLEASE read this review before buying the product. Amazon/Apple PLEASE SELL BETTER PRODUCTS AND DO NOT PLAY WITH CUSTOMERS AND THEIR MONEY","Defective piece, got played by Amazon/Apple DO NOR BUY",Verified Purchase,42 people found this helpful
Ravi Rao,/gp/profile/amzn1.account.AH6LMXTC7N4EZNCFG2SEBOWTJFUQ,Reviewed in India on 14 July 2019,0,0,1.0 out of 5 stars,"For a full year until the warranty was valid, this MacBook Air worked like a charm. Then it died. No response to power button. No internal mechanical movement. The laptop is just dead. I gave it for repair at an Apple authorized service center and they told me it was a failed Power Section and IC. I paid Rs. 13,300 for replacement and service charge of these parts only for the laptop to run fine for a couple of days and then die out in th same way. The dealer says I would have to pay the same amount to get the parts replaced again with no guarantees that the issue won't turn up again. Never trusting an Apple product again. For such a rich money hogging brand, they offer the shoddiest quality of service and products ever.",Dead MacBook exactly a month after Warranty ended with no help from Apple Service,Verified Purchase,24 people found this helpful
Abhra Roy Choudhury,/gp/profile/amzn1.account.AFJGRXKY5QXLUXOS2NHDW3FKNSEA,Reviewed in India on 13 January 2019,1,0,5.0 out of 5 stars,"There's a reason why people vouch for Mac books and I doubt it out now.... Excellent build quality, not only if the laptop but also of the accessories, the battery life is good, and sound is awesome. The look and feel of the product is just excellent. A 5 star in every aspect.",Worth every penny,Verified Purchase,27 people found this helpful
Amazon Customer,/gp/profile/amzn1.account.AFHZNNIZKIJEO2GOY3BWIQUJCYVA,Reviewed in India on 27 September 2018,0,0,1.0 out of 5 stars,In 3 Days of Use The Laptop stopped working and not powering on.,Worst,Verified Purchase,33 people found this helpful
Shariq Ali,/gp/profile/amzn1.account.AHOE6Z73XYSV4NRND5RXZFKZNSJQ,Reviewed in India on 11 November 2019,0,0,1.0 out of 5 stars,"General observation, Do not buy expensive electronics from Amazon as thy have no quality control in place/checks on their vendors. Mostly, vendors pass on defective items to customers. It is true across categories.",Faulty laptop,Verified Purchase,5 people found this helpful
Ganapathy,/gp/profile/amzn1.account.AFBESFEKXB5J6CVOIOH2HO2EOJHA,Reviewed in India on 9 January 2020,0,0,2.0 out of 5 stars,"Apple Products are usually good, perform well and noncomplicated. I bought this laptop in Sep 2017 through Amazon. Today, just over two years the thing is dead and Apple Support says pay Rs.50,000.00 to change the motherboard. I bought it for Rs.60,000.00.  No guesses for anyone whothinks whether it is worth repairing. The propriety thing with Apple just goes a little too much. I did contactApple support asking them to reconsider their warranty terms.They said ""just too bad"" or word to that effect. I am now reconsidering buying any of their products. Just too bad.... So there you are. anyone thinking of buying apple products keep in mind the huge costs.... not to forget the likely short life of ""great Products"". O",Died in 2 and a Half Years,Verified Purchase,12 people found this helpful
Tushar,/gp/profile/amzn1.account.AG5ELZEAQ2BNLBHZYWRPTCOSMZ2A,Reviewed in India on 20 October 2018,0,0,1.0 out of 5 stars,Do not go after brand. You can get pretty good configuration in this price. My MacBook is dead after 1 year when I kept it in cupboard for 2 weeks without use. Don't know how much I have to spend now ..,Laptop dead after 1 year,Verified Purchase,21 people found this helpful
Abha Tiwari,/gp/profile/amzn1.account.AGEZW5JHSZ7A6I6MSVGDOWKZF2CQ,Reviewed in India on 8 November 2018,0,0,5.0 out of 5 stars,"Your browser does not support HTML5 video.           There is nothing to dislike about this machine. I'm sold by her looks, sleek and grace. It is not user friendly specially because i've had my hands on the black laptops forever but i'm getting around. I purchased Apple MacBook last year in December and it's been a pretty awesome experience. I love the MacOS applications. The keyboard is a delight to work in the dark. I have no issues with the sound quality! As a single user machine ,she never disappoints. Battery life is as mentioned. But to be very honest , I bought this machine because it adds to my collection of awesome gadgets. And I bought it because I could, I am so grateful! I love Apple products. They make for good show off, they look unique and stand out. This machine has been one of my best investments and technology acquired. So proud of her.",Apple MacBook Air - She's a beauty.,Verified Purchase,14 people found this helpful
suhail,/gp/profile/amzn1.account.AHH6FATHAIOWSV6NVDAEGSXWCWOA,Reviewed in India on 21 May 2019,0,0,4.0 out of 5 stars,"well I have been using a windows laptop in the premium category for quiet some time.most of my time was spent dealing with driver issues with oem manufacturers, colossal problem with heating, os stutter in a 16 gb ram machine.i decide the pros and cons and again switched back to MacBook Air .1)the trackpad works like a dream.not like horrible windows with lag and stutter.multi gesture is a dream2) admittedly the display is not hd.but trust me much better than the much touted hd displays of horrific windows laptops I have used.in the same price range3)I am not a video editor but I am sure high end editing on 4k etc will be a challenge.but routine like image editing etc will be not an issue.if vfx pro etc is your daily grime look the Mac book pro4)routine work is a breeze..like..so cool the intuitive..experience...more so if you are in to the experience of apple ecosystem..airdrop etc...is very easy to comprehend5)the built quality and the battery is simply superb.here the low res display helps in easily 10-11 hours of usage.and 2 weeks of standby6)it is lighter and slimmer even than the new MacBook Air.7)no other MacBook has the glowing apple logo if it means much to you.maybe a collectible later:-)8)daily tasks are a breeze..however high end gaming will take a hit..tip:try and go for the extended warranty...at an apple store/apple protection plan",best value for money!beats windows still! don't believe reviews,Verified Purchase,7 people found this helpful
Faiyazuddin Shaik,/gp/profile/amzn1.account.AF5P4KJ45F47BGWHTA32F5S4GGWA,Reviewed in India on 14 August 2019,0,0,1.0 out of 5 stars,"I brought this mac air on sep 2017. From past 1 week I am not able to turn on my mac, went to apple store and after troubleshooting they said it is having motherboard problem and need to replace which cost 50k, I was shocked and said how come in less than 2 year mac will have this issue. So kindly please beawre on this big bug mac air.",Mac air not turning on,Verified Purchase,10 people found this helpful
rajesh,/gp/profile/amzn1.account.AFDNUZQVX476NHBG4B7HJ2JOW5YA,Reviewed in India on 12 June 2020,0,0,4.0 out of 5 stars,"Pros:Build: Metal material so still looks modern and rich.LightweightExcellent battery life (around 8-9hrs)Backlit keyboard(although all macbooks have it)OS. (Smooth Lagfree)Apple icloud storage: 1$/75Rs. a Month for 50GB of cloud storage.( Not an advantage but You will need this if you typically store photos, videos)Keyboard: excellant keyboard with haptic feedback keys.Cons:Display: 720p display. But its still pretty cool!Processor is bit old but it still runs efficiently.Storage: 128GB SSD will only leave you with 85GB of free space.( I suggest you invest 75Rs/Month and get extra 50GB icloud storage which works seamlessly)",Good laptop,Verified Purchase,5 people found this helpful
Mukherjee,/gp/profile/amzn1.account.AHBOVF63V6A27P4CR3TDV4EG6RRQ,Reviewed in India on 21 August 2020,0,0,2.0 out of 5 stars,"I bought two pieces of this , because I really heard good comments about it but unfortunately just after the 2nd year both of them have faced problems, one faced mother board problem and another one screen problem. I am sorry but if your looking for long lasting laptops then don’t buy this model. It’s waste of money. This model of Apple is not good at all.",Not a good model of Apple.,Verified Purchase,One person found this helpful
Amazon Customer,/gp/profile/amzn1.account.AEIHI4POZILLPWDU3SCLGX7T3NYA,Reviewed in India on 14 August 2018,0,0,3.0 out of 5 stars,"I wanted to purchase the product in no cost EMI as what was displayed, but due to amazon internal error I had to purchase it on one go, so bit unsatisfied with amazon. Rest the product was good.",Product is awesome but unhappy with amazon,Verified Purchase,11 people found this helpful
Abc,/gp/profile/amzn1.account.AFUTWM6LJX3Q26CRDHJHWUWDWTNA,Reviewed in India on 13 November 2019,0,0,1.0 out of 5 stars,My MacBook logic board dead with 8 months...apple replaced my logic board and fixed my laptop. But within a year the logic board is dead again and cost of repairing the same is 40k+Plz don't buy it if you cannot afford to repair the same. Not sure what to do with my MacBook Air....it cost more to repair than a decent windows laptop.I will never buy any apple product in future...the cost to repair are extremely very high..,Expensive!!!,Verified Purchase,6 people found this helpful
Nilabh,/gp/profile/amzn1.account.AFSWMNT66D4REIDJHDOA5TFDOOOA,Reviewed in India on 7 February 2020,1,0,2.0 out of 5 stars,"I was a big Fan of Apple products and have been using the same for past 8 years. However the recent incident with my Mac Air that I brought through Amazon last October changes the perception towards Apple took a deep dent.Few months ago I had some issue with my MacAir screen, there was no accidental fall or mishandling on my part, which is quite evident as there are no physical damage not even a scratch which says that there was any mishandling on my part.At the time it was still under warranty period, So I took it to one of the Authorized apple store nearby, At the service centre the technician just by looking at the screen told me that it won’t be covered under warranty and I’ve to pay  Rs. 43,000/- towards replacement, which came as a shock to me as, first there was no fault of my own, and secondly the whole thing cost me Rs. 54,000/- so I don’t know how Apple justify such unfair pricing. Thereafter, shocked and helpless I follow up with Apple Support repeated calls and chatting but all in vain, but apparently I found out that there is nothing on their hand, whatever the Authorized Apple Service center says is the final. I was told it is pressure damage, which won’t be covered under warranty and will cost me as much the cost of Original Machine. I was unaware and shock to find that Organization like Apple will indulge in such fraudulent and unfair trade practice for unfair monetary gain.When I look for more information online it came to my knowledge that this is not an uncommon thing with MacAir, it so fragile that MacAir is prone to pressure damage, a designing and manufacturing flaw, and there are many users who has suffered the same, and Apple has refused to address.Currently my Mac is unusable and just like that without any fault of my own my entire saving of Rs 54,000/- gone to waste. There is no question of repairing at an unjustified cost when few thousands more will get me a new one and there are better options avalible other than Mac .Pro: Atheistic, premium feelingCons: Shocking replacement cost,  Poor Post sale Support, Fragile and prone to screen damage",Prone to screen damage,Verified Purchase,5 people found this helpful
Shubham Mishra,/gp/profile/amzn1.account.AEITNZEFBM5B2Z7HPU6WY4CMQ4GA,Reviewed in India on 21 August 2020,0,0,1.0 out of 5 stars,"I bought this at end of November 2019.It worked good for 7 months till June 2020 and then screen started blinking.I went to Apple store for repair. They took 3 weeks to repair it. They repaired screen but battery life came to 3-4 hours which earlier was 10-11 hours and the usage was same. Also the fan sometimes automatically started running very fast and automatically stopped. Even switching ON after shut down, the fan started to run fast.When I brought back after repair, the charger got damaged after 4 days and I took MacBook as well as charger for repair. They exchanged the charger with the new one which doesn't look like Apple original, as when I plug in the charger, I get small amount of current over my MacBook.And they inspected MacBook and did something and said that Fan issue has been solved.After 1 week I'm still getting same Fan issues and the battery life has literally fallen a lot as compared to before the repair.So there is one year warranty for this, and I spent 3 months of it only in repair. And the problems started arising after 1st screen repair.It seems they knowingly put these so that you have to buy 2 year extra warranty.Everything started only after when I took my MacBook to repair.",Very bad service,Verified Purchase,3 people found this helpful
Jhuma Sen,/gp/profile/amzn1.account.AEYKFKNWDVJ3DI4EBSFPYKL4RMZQ,Reviewed in India on 3 May 2020,0,0,1.0 out of 5 stars,"I have been a Mac user for more than a decade now and a Mac Book Air user for about 6 years in that time. Deeply disappointed in this purchase. The camera does not function. Unfortunately for me, I did not use camera for all these months (I am more of a zoom/skype from my phone person) and realized this glitch only about a month back. Have already spoken with Customer Care at Apple and they have also confirmed that my camera indeed does not work and advised me to take the laptop to local apple store. That surely isn't happening now owing to the lockdown that we are all currently in.",Camera not installed- Defective Product,Verified Purchase,3 people found this helpful
debashis panda,/gp/profile/amzn1.account.AGFEQCWOCATGPMCEUVM4RGSOCKHQ,Reviewed in India on 3 August 2020,0,0,1.0 out of 5 stars,"works for 1 year and then one fine day doesn't turn on! Hopes intact I rush to a service centre and thanks to the awesome business strategy.  Motherboard gone battery's gone. 56000 laptop now requires 52000 to be repaired.  Hope shattered, take to a private shop and spend 18000. Guess wat, my laptop finally wakes up to go to sleep again after 2 days.",The blood suckers in the market!,Verified Purchase,4 people found this helpful
ilamuhil,/gp/profile/amzn1.account.AEEHTAKQTLKLO2JXSCK4UVCUQJOA,Reviewed in India on 10 May 2020,0,0,5.0 out of 5 stars,"Cons :low storagedoes not open windows softwares.Difficult to connect with android phones without appHas butterfly key board which doesn't feel too great.not ideal for gamingStarts making noise after long heavy usage.Magnetic charger heats up drastically if plugged in and work simultaneously.But this is only on very heavy usage.Repairing beyond warranty period will cost you a fortunepros:battery last 10 hours with moderate usagebrilliant for browsing, media (a brilliant display), reading ,simple codingMac os is extremely convenient (ex:work space ,three finger swipe , pinch gestures etc.Trackpad feels amazing,making presentation with key note feels wonderful )Get regular updates for the os.",Most convenient for moderate usage and day to day activities,Verified Purchase,One person found this helpful
kamal kapil,/gp/profile/amzn1.account.AHLYZQJXDB4ZELA2VK2TTB5TRINA,Reviewed in India on 17 November 2020,4,0,4.0 out of 5 stars,"This MacBook is low on price and very nice to use. First of all, it's apple and the product is excellent. I have been an apple user bit never used a MacBook before. The quality is 1st class but in case of display if you look closely you can see pixels but not big of and issue. It is working nicely and fast but one thing is clear... *IT IS NOT FOR GAMING* games will lag but you can still play apple arcade or play games from browser... A thing is apps like netflix and ms teams, Pinterest, Spotify etc. U can not find in app store but you can get em from the web browser. Lemme tell u battery life is OUTSTANDING it litterally charges in 5 mins trust me and lasts long ✌️😋Overall I'll give it 4 stars for display and games but if you are thinking to buy it, go for it don't think twice 🤗 thank you for reading this and *GO FOR IT*","Low on price, best on performance",Verified Purchase,2 people found this helpful
Kalpana Rajvansh,/gp/profile/amzn1.account.AEVNH3SCG34ACCAV4UFSPVVS4MUQ,Reviewed in India on 13 June 2020,0,0,1.0 out of 5 stars,"Amazon delivering defected products amazon made delay in delivery of appx. 4days even after continue follow ups CC, they guys are also trained in giving fake/wrong information. After that it stop working automatically i visited Apple Store three time within 2 weeks of purchase it still not working properly. Even on twitter apple is not responding buying apple products is just wastage of money. Amazon n Apple this time made a best combination cause they proved these both are worst.",Best combination of worst,Verified Purchase,3 people found this helpful
Saxenas,/gp/profile/amzn1.account.AFLOTBXE75JSE4FOPLXGE3XXCGOQ,Reviewed in India on 28 September 2019,0,0,5.0 out of 5 stars,Defective keyboard. Manufacturing defect. Had to return.Update:For it replaced. New product. Working very well.,"Defective configured keyboard, got replacement. So no grievances.",Verified Purchase,5 people found this helpful
Amit Kumar Singh,/gp/profile/amzn1.account.AHCH6RJLGGWJLL247HJN3CINIZZA,Reviewed in India on 13 July 2019,0,0,1.0 out of 5 stars,Well the product's logic board is dead in less than 2 year. I am a regular user and only use it for routine office work. So much of apple quality.,So much for Apple's quality!!!,Verified Purchase,7 people found this helpful
kkpathak,/gp/profile/amzn1.account.AGBQ2K4Z7OG5RJQKYMFMIDQQGEGQ,Reviewed in India on 31 August 2020,0,0,5.0 out of 5 stars,"Battery life ~ not goodGaming~ worstScreen quality~ average , it's been 2 year the screen has gone.Worst laptop you can buy under ~50000Go for Asus laptop they are better and more durable.",Not a good product,Verified Purchase,3 people found this helpful
Jagdeep Sharma,/gp/profile/amzn1.account.AFQNTMB2SMMZIR5OPCZIIEARETRQ,Reviewed in India on 16 December 2018,0,0,1.0 out of 5 stars,"Hi, Think thousand time before buying. One calm night i was cuddling in jaipuri blanket while enjoying youtube on this expensive machine. Cold night and little excitement created electrostatic charge which spike though spaceBar button. that's how it went to deep sleep forever. Nothing can bring it back and i am in no mood in spending another fortune on this machine. Apple, of you (i)care, this is the least of security feature included in all electronic devices. And the best part, it was a week after Warranty expiration date.",Takes six figure out of your pocket and then dies just after the expiration date,Verified Purchase,83 people found this helpful
