author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,ranking,total_review,helpful_votes
Customer007,/gp/profile/amzn1.account.AHGT67EYAXQBE2AXZWAIXCZZS2HQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 11, 2019",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_65?ie=UTF8&pageNumber=65&reviewerType=all_reviews,5.0 out of 5 stars,"Take a while to charge, however, that’s expected considering the size. The charger, despite taking long to charge, still charges faster than other portable chargers I’ve bought. Battery lasts A WHILE. In case that was emphasized enough, it’s last A VERY LONG TIME. I’ll charge the portable charger and won’t have to worry about charging it again for another 2-3 weeks. Given, I don’t rely on my portable charger. If you phone fast charges, the portable charger is capable of fast charging your phone and you can get a lot of charges out of it before you have to recharge it.",Great portable charger. Price matches quality,Color: BlackVerified Purchase,One person found this helpful,,608,318
eluvittar,/gp/profile/amzn1.account.AEWPGG3FIXJQWP3FNL7HMWC7GKRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 22, 2017",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_65?ie=UTF8&pageNumber=65&reviewerType=all_reviews,5.0 out of 5 stars,"Anker makes best in the market product. High Quality and works as advertised. I have become a big fan of anker over the time.  It might not be the cheapest, but definitely the best in quality. This battery pack , packs a punch. i used this quite a bit during my backpack travel in Europe and would charge my fast charge samsung phone really well and quick, without heating up the phone or so. definitely not small in size, but i could keep it connected and in my jeans front pocket comfortably. 20,000 mAh - don't expect it to be small :) Get the 6300mAh if you want small candy size. I got that one too :)",Worth every penny! Solid build and works great,Color: BlackVerified Purchase,,,8,4
Shawn Bauerschmidt,/gp/profile/amzn1.account.AESCIY2JQ52BF2CUIR7SQJGA3VJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 1, 2020",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_65?ie=UTF8&pageNumber=65&reviewerType=all_reviews,5.0 out of 5 stars,"This product works well. It charges quickly. There was one issue where we needed to get a new charger due to a part that broke. We contacted customer service via email and got a quick response. Within a day or so, a new unit was sent out. The customer service representative at Anker kept in constant contact with us and followed up to ensure that we received the new unit. I was impressed with this. This speaks volumes as far as good customer service. The new unit works well and would recommend it.",Great customer service,Color: BlackVerified Purchase,,,52,115
BC1997,/gp/profile/amzn1.account.AEAYPY2W2FNRW4G3YN6H2DY7RESQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 8, 2015",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_65?ie=UTF8&pageNumber=65&reviewerType=all_reviews,4.0 out of 5 stars,Little on the heavy side I would guess it's about two pounds. I have a Samsung S6 and its about an inch longer than my phone so that should give u some idea of how long it is. It's also about twice as thick as my phone to. My one con to this battery is it takes quite a while to fully charge. It took about 10 hrs to completely charge the battery. The good is that it will charge my phone about 4 times before needing to be charged. I bought this on sale for $28 so for the price not a bad deal. It would have come in very handy on vacation this past summer being in airport and sightseeing. I carry the battery in my front or back pocket  letting it charge my phone while I continue to use it.,Not bad for the price I got it on sale.,Color: BlackVerified Purchase,,,68,71
Rohit,/gp/profile/amzn1.account.AHDVRCRVTGZ7OUGQOFNCIGS4OMCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 4, 2020",0,1,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_65?ie=UTF8&pageNumber=65&reviewerType=all_reviews,2.0 out of 5 stars,"It was wonderful power bank which i had and charging was also pretty fast.  I was using this from last 2 years and had no issues. All of a sudden, it has stopped charging. Mostly i have used this at home. This was very light and really liked the product. I just wished it would have lasted longer. Now i have to figure out whether to buy the same product or go for another one.",Stopped Working!!,Color: BlackVerified Purchase,,,129,446
DV,/gp/profile/amzn1.account.AEOT4UTTLP4J7TDEVCG5YGRIIDJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 4, 2019",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_65?ie=UTF8&pageNumber=65&reviewerType=all_reviews,5.0 out of 5 stars,"This is our second one of these purchased from Amazon as we wanted one for each of us. Can recharge an iPad quickly and is a lifesaver. Liked the option of bright blue to match the extra cords we got so “we” don’t “accidentally” take the others to work and the Bermuda Triangle of lightning cords.  I can buy him the battery, but I can’t make sure he keeps it charged....",Works perfectly,Verified Purchase,,,79,152
Todd Hall,/gp/profile/amzn1.account.AF4WDAFQ5ERKOB3JHIPON75QR55Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 5, 2016",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_65?ie=UTF8&pageNumber=65&reviewerType=all_reviews,4.0 out of 5 stars,"I really like the item so far, it has been working great while charging devices & from my rough calculations it should be able to support a 5w led light bulb for more than 16 hours off a full charge.  I use the Anker 24W Dual USB Wall Charger (PowerPort 2) to charge the PowerCore (20,000 mAH).  When the device is nearly depleted, I plug it in & walked away.  Today I started charging at 9am, at 4pm it has only reached 2 of 4 lights and the third blinking signaling the rate of charge.  In 7 hours time, this device should have only an hour left to recharge.  I feel as if I have a bad battery but will update with the final hours taken to reach a full charge.","Good powerhouse, slow rate of charge",Color: BlackVerified Purchase,,,52,38
Jeffrey,/gp/profile/amzn1.account.AFQEDDXGPXR5SNBJHRQRXLNXXRSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 14, 2017",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_65?ie=UTF8&pageNumber=65&reviewerType=all_reviews,5.0 out of 5 stars,"I am a Soldier deployed to Afghanistan and the trip here took several days.  I took this charger with me and used it to fully charge my Galaxy Tab S2 twice and my Galaxy S7 three times.  I am amazed at the amount of power this thing has.  It was relatively fast charging, my only issue was my own confusion.  I thought it was compatible with my phones fast charge tech, but I was mistaken.  This was an issue with my lack of research and not the product.  All in all, a great product; plenty of power and sufficient recharge speed to keep you going while using your devices.  I'm new to Anker but I'm a becoming a full-on customer.",I am amazed at the amount of power this thing has,Color: BlackVerified Purchase,,,5,0
Gene,/gp/profile/amzn1.account.AGTZIWTCDVA5BD4M545HG7P6EYJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 17, 2018",0,1,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_65?ie=UTF8&pageNumber=65&reviewerType=all_reviews,4.0 out of 5 stars,"Defected item. After 12 hours of charging only two of the LEDs are solid and the third blinking. Tried different outlets. Fails to charge iPhone.This is an issue other customers have had before.Edit:Received a message from them very swiftly. They offered to send a replacement, which arrived just as quick. The first one is bricked and completely will not work while the one sent after as a replacement works great. Holds a good charge and keeps my phone alive and well when I'm not able to get to another power source.While this is great, initial quality checks are important. Regardless, I understand that a few can slip through and it's great that they offer replacement.",Quality checks?,Color: BlackVerified Purchase,,,36,58
GP,/gp/profile/amzn1.account.AHBBNEQW6O7VHUHBQRRVHWSQUJNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 13, 2020",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_66?ie=UTF8&pageNumber=66&reviewerType=all_reviews,5.0 out of 5 stars,"I’ve had this Anker Powercore charger for over a year now And it still charges my phones and tablets without any hesitation. I’m glad that invested in this portable charger as it has helped me out during times of great need. I’ve used this charger during business trips, vacations, and camping.",Best charger,Color: BlackVerified Purchase,,,7,11
Jae Lee,/gp/profile/amzn1.account.AHH27AOYX2W2M7CUTR45NMYDTDMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 27, 2017",0,1,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_66?ie=UTF8&pageNumber=66&reviewerType=all_reviews,1.0 out of 5 stars,"1st order - use up the battery, after that when I was charged, never get pass 2 lights.  Return and got the 2nd one.2nd - after 3 wks of using it, charging was great. After the 3wk wk, my iPhone won't charge. I would left it in for more then 5 hrs charging my iPhone and it was still be around 30% charge up. whats the reason why I can't return it, it's only been 30 days today.",Bad chargers.,Color: BlackVerified Purchase,4 people found this helpful,,8,3
Connor,/gp/profile/amzn1.account.AEY5HW44VEG4SX46B74JSTP6E3VA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 21, 2018",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_66?ie=UTF8&pageNumber=66&reviewerType=all_reviews,5.0 out of 5 stars,"My first portable charger. I got this guy on Prime day and it is amazing. I have taken it on numerous trips and it rarely seems to run empty. I decided I needed two so I tried   Portable Charger RAVPower 26800 Battery Packs 26800mAh Total 5.5A Output 3-Port Power Bank (2A Input, iSmart 2.0 USB Power Pack) Portable Battery Charger for Smart Devices (White)           to compare. While having the third port is nice, I think   Anker PowerCore 26800 Portable Charger, 26800mAh External Battery with Dual Input Port and Double-Speed Recharging, 3 USB Ports for iPhone, iPad, Samsung Galaxy, Android and other Smart Devices           wins due to having a better form factor. I highly recommend both but you have to decide on an extra port vs overall size. All in all one of these is required nowadays.",Everyone needs one of these!,Color: BlackVerified Purchase,,,1,1
Ernest Lee,/gp/profile/amzn1.account.AGS6KYFJ7QWGSP7TBGV7WSTRHISQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 14, 2015",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_66?ie=UTF8&pageNumber=66&reviewerType=all_reviews,5.0 out of 5 stars,"I've had this battery pack for several months now, and I absolutely love it. I've owned several battery packs in the last few years and this is by far my favorite one for keeping in my bag. I usually carry a smaller Anker ~5000mah battery pack in my pocket as a backup, but I use this one to accomodate it. The pack is a little on the larger side, but that's totally okay with me, since any time I have to use one this large, I'd be carrying it in a backpack anyway.The change from gloss to matte is also a huge plus for me as well. I love the fact that it's less scratch resistant and it looks very discrete. I like a lot of my gadgets to be black and subtle, and this fits the bill very nicely. The shape is consistent with most of their previous packs and doesn't have those sharp edges and corners like a lot of other ones I've seen from other companies in the past.Operation of the pack is very simple. Four small blue LED lights indicate that it is on, and how much charge is left. Being that the pack is so large in capacity, I think I've only ever run it down to near empty just once. The PowerIQ techonology also makes things a breeze. You just plug it in and forget about it while it does it's thing. The 4.8A output is also a huge plus. It charges your phone rather quickly when you need that extra bit of battery on the go and can't bring it with you later on.",Great pack with huge capacity and simple design,Color: BlackVerified Purchase,,,85,103
Josiah Eubank,/gp/profile/amzn1.account.AE5OH3AUIO23VAFINNBOFH5HXKGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 21, 2018",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_66?ie=UTF8&pageNumber=66&reviewerType=all_reviews,5.0 out of 5 stars,"Saw the overwhelming reviews and I have to agree.  Holds many charges.Only downside is that the phone doesn't recognize it as fast charging, but the charging speed is considerably higher than normal.  Most other products can only maintain my current charge while I am using the phone but this one charges while I use the phone.",Best purchase - not supported fast charge though,Color: BlackVerified Purchase,One person found this helpful,,12,2
Tracy R. Reed,/gp/profile/amzn1.account.AFTMN6MFRCZ45SYFUUXC2OE2CWGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 14, 2019",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_66?ie=UTF8&pageNumber=66&reviewerType=all_reviews,4.0 out of 5 stars,It lasted 3.5 years before it quit charging me devices. It says it is fully charged but when I plug in my phone the phone doesn't say charging anymore. I think the output circuit has failed. Not too bad I guess for 3.5 years.One possible complaint is that the label on the back is black ink on black plastic. Impossible to read.,Lasted 3.5 years before failure,Color: BlackVerified Purchase,,,49,27
Ryan Ciesla,/gp/profile/amzn1.account.AHYKDSQVPMJVGU4XJ3P6M7VRJ6GQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2019",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_66?ie=UTF8&pageNumber=66&reviewerType=all_reviews,5.0 out of 5 stars,"I've had this charger for nearly a year now. At full charge, this bank charges my Pixel 2 XL 4 times before needing to recharge. It's an absolute beast. It charges my wireless SteelSeries gaming headset in about 40 minutes while I'm using them without losing one of it's four battery lights. Highly recommend this for the price. I don't think I'll need a battery bank again for some time.","A Bit Bulky, But Worth It",Color: BlackVerified Purchase,One person found this helpful,,221,270
palabras,/gp/profile/amzn1.account.AEFLARX363IV5O3NEYDCUIIMPJMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 17, 2020",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_66?ie=UTF8&pageNumber=66&reviewerType=all_reviews,5.0 out of 5 stars,I have purchased Anker lightning charger cables for years as they are better than Apples genuine cables. Decided to upgrade my back up power pack with this and it does not disappoint. Charged my iPad and phone very quickly. Holds charge well and has lots of capacity. Very impressed.,Very impressive!,Color: BlackVerified Purchase,,,426,2043
bullrider,/gp/profile/amzn1.account.AGB3Y7ZD6IJQCLDKVZN7JT23R7UQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 10, 2020",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_66?ie=UTF8&pageNumber=66&reviewerType=all_reviews,5.0 out of 5 stars,"I was looking for a charger that was fast and could be used for multiple charges. This charger met the need in size, cost and use. Unfortunately it stopped recharging a few weeks after purchase. I tried all of the solutions I found online (ie changing cords, power plugs) but couldn’t get it to charge. I contacted Anker customer service and within a few days I had a brand new charger!! Customer service is TOP NOTCH!! I’ll definitely be buying Anker in the future!",Great charger! Great Customer Service!,Color: BlackVerified Purchase,,,21,4
P Lunaria,/gp/profile/amzn1.account.AHJIJO6UL72DWC43KFOHXE3CCREQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 20, 2017",0,1,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_66?ie=UTF8&pageNumber=66&reviewerType=all_reviews,1.0 out of 5 stars,"I'm sure this works for some people, but mine legit stopped charging or maybe even holding charge after one full cycle.",Stopped working way sooner than expected,Color: BlackVerified Purchase,10 people found this helpful,,1,0
Nick,/gp/profile/amzn1.account.AFWZXFYIIJBL6ABAXUZGKFYHLQ4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 10, 2019",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_67?ie=UTF8&pageNumber=67&reviewerType=all_reviews,4.0 out of 5 stars,This is a great product excellent for traveling slightly heavy but worth the weight ! I had an issue after 10 months with the charging capability. Kaya in customer service was exceptional.Response was very quick and the replacement was issued. Email follow-ups were timely and professional. Slight issues can happen especially with electronics but the real test is when you need service. So hats off to Anker for delivering amazing customer service.,The best in customer service,Color: BlackVerified Purchase,,,6,5
auntcindy002,/gp/profile/amzn1.account.AGJWDDKR7PG4WKZT33KSRW3ZJH3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 9, 2020",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_67?ie=UTF8&pageNumber=67&reviewerType=all_reviews,4.0 out of 5 stars,I initially tried to charge this with my iPhone charger.  Only 2 of the 4 power level lights came on even after charging for 24 hours.  I reached out to the seller.  They promptly responded and advised me to try it with an iPad charger which is more powerful.  I did and after 24 hours for the initial charge all 4 power level lights are on and I was able to charge my phone.  Very helpful customer service!,Great customer service,Color: RedVerified Purchase,One person found this helpful,,32,11
Mae. M. Ferrell,/gp/profile/amzn1.account.AFFUVB6Y66TKLYSPL7TWUWEI2GNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 15, 2020",0,1,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_67?ie=UTF8&pageNumber=67&reviewerType=all_reviews,1.0 out of 5 stars,Based on Amazons Choice I went with this portable charger Portable Charger Anker PowerCore 20100mAh - Ultra High Capacity Power Bank with 4.8A Output and Power its horrible DO NOT BUY I would give it 0 stars if it was an option It took approximately 3-4 days to fully charge smh  Im an advid traveler so I always need my phone to be charged after frequent use and I cant have a charger taking 3-4 days to charge its also really heavy for a portable charger cant just throw it in your pocket or bag without noticing weight TOTAL DISAPPOINTMENT,Took about 3-4 days to charge this portable charger,Color: BlackVerified Purchase,,,19,23
Melly,/gp/profile/amzn1.account.AHR2PMV75GVDIXFGDA4SSXCIO3QQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 3, 2019",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_67?ie=UTF8&pageNumber=67&reviewerType=all_reviews,5.0 out of 5 stars,"This portable charger saved me so much. Overtime, the battery doesn’t last as long as it used to, but honestly, still can hold a charge for a couple days with multiple full charges. It is a tad long of a product but it’s always fit in any of my bags or zippered jacket pockets.",Long lasting product! Very satisfied,Color: WhiteVerified Purchase,One person found this helpful,,46,16
Peter Krivejko,/gp/profile/amzn1.account.AHBL2KXCCYDHWOU4W272NYKSWQAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 14, 2017",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_67?ie=UTF8&pageNumber=67&reviewerType=all_reviews,5.0 out of 5 stars,"Love this and use it almost daily.  I have to keep my wife from stealing it.  So I need to buy her one.  On our trip to Disney...I would place this in our small carry packs and charged both of our phones at the same time.  This is very convenient.  I get at least 6 charges of my phone(LG G5 3500mAH).  Usually a little more.  Charge times are just about as fast as my ""fast charge""  which is about 30-40 minutes for a full charging.  I had a friend with an Anker..and I knew he loved his.  So glad I followed his lead...Will definitely buy again.",Get this...it is a no-brainer...,Color: BlackVerified Purchase,,,25,93
MOONSASH,/gp/profile/amzn1.account.AGG6PCLO6FUOORDRCZNNQSHZERAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 30, 2020",0,1,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_67?ie=UTF8&pageNumber=67&reviewerType=all_reviews,4.0 out of 5 stars,"I got two of these for my wife and I because my son got one and he loves his. Ours arrived but they're plain – button on the side, plain black plastic, plain 4 lights. My son's has this nice texture with lights going around the main button in the center of the charger. Ours works just the same, but as as designer, I liked the other design a lot better.","Works great, BLAH design",Color: BlackVerified Purchase,,,13,11
Patty Lou,/gp/profile/amzn1.account.AFBFTBNEOJOJYG5PNOPIUNMMKBWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 29, 2020",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_67?ie=UTF8&pageNumber=67&reviewerType=all_reviews,5.0 out of 5 stars,"My iPhone is getting older, so I often need a charge later in day when I am out in the car or out on my porch.  This is stronger and faster than a car charger. The more I use it, the faster the charge. Got it for power outages , but use it daily for its speed and portability.",Good charger for daily and power outage use,Color: BlackVerified Purchase,,,2,0
ExhaustedMom,/gp/profile/amzn1.account.AH3EBVRP4KDWOQ6ROTEL6JSWU6UA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 18, 2020",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_67?ie=UTF8&pageNumber=67&reviewerType=all_reviews,5.0 out of 5 stars,We had several devices that needed to be charged on our last camping trip and this little power bank did a pretty good job charging without running out of power. The carrying bag holds the cable and device with some room to spare. Great buy!,Perfect for charging phones while camping,Color: BlackVerified Purchase,,,30,15
Anon,/gp/profile/amzn1.account.AH57MPHTZ4VUQ6QF5DKV66LZR4RA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 17, 2020",0,1,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_67?ie=UTF8&pageNumber=67&reviewerType=all_reviews,1.0 out of 5 stars,"Lost its ability to charge just over a year after purchasing (maybe 1 yr 2 months?). I bought it specifically to last longer than the cheap chargers.  I wouldn't be that surprised, but we are talking around 30 phone charges total. That shouldn't be enough to kill a charger like this.  The charge level on the lights also is nowhere near reality.  This is the only ""quality"" charger I've purchased and it's no better than the garbage freebies I've used before.",Shorter shelf life than you think,Color: WhiteVerified Purchase,,,33,16
Sunnie,/gp/profile/amzn1.account.AHB25RTYEGOB6LX67MIHTOJXKOBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 29, 2016",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_67?ie=UTF8&pageNumber=67&reviewerType=all_reviews,5.0 out of 5 stars,"It works great. I've used it to charge my phone, bluetooth speakers, and tablet. It lasts all day and i do multiple charges. I usually use it heavily. When i use it just for my phone it will last me 2-3 days. Again i probably use it more than most people. Im constantly gaming, going on pokemon catching and gyming runs, and much more. So i need to constantly recharge. Especially when there isnt an outlet available. The only down side to this product is that it can take 13-24 hours to charge. I dont know the exact amount of time. i lose track it takes so long. Keep in mind though theres a lot of charge in this sleek model. It will fit in a mans jean pocket, in a purse, or a hoodie pocket. Doesnt take a lot of space. Very happy with my purchase.",Thumbs up!,Color: BlackVerified Purchase,,,4,45
A. R. Barry,/gp/profile/amzn1.account.AGC2V52UYGHYEIZDAPX2ISWE2WCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 3, 2019",0,1,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_68?ie=UTF8&pageNumber=68&reviewerType=all_reviews,1.0 out of 5 stars,"The charger would not charge my iPhone higher than 86%. I tried several times. I recharged the charger several times and it didn't help. Yesterday I had my phone plugged in for several hours and it would only go to 45%. Also, sometimes one USB port worked and the other did not. I'm returning this product.",Would not charge my iPhone!,Color: BlackVerified Purchase,One person found this helpful,,38,11
Six7roses,/gp/profile/amzn1.account.AH4DMQPBAVPSKCHRR3N7OILVWH7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 11, 2019",0,1,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_68?ie=UTF8&pageNumber=68&reviewerType=all_reviews,3.0 out of 5 stars,"I purchased this product in 2016 (it’s now 2019) and admittedly I travel a lot. However recently, after a long flight, one of the USB charger ports stopped working and the battery started feeling hot during charges. I tried to recharge the battery but the battery became so hot I was worried it might spark a fire left unattended. After 5 hours of attempting to recharge the battery it appears it is no longer holding any charge. So the pack lasted me about 3 years with moderate use before becoming unusable. Not sure if this would influence others but felt it was helpful to share.",Careful after repeated air travel...,Color: BlackVerified Purchase,,,3,1
Amazon Customer,/gp/profile/amzn1.account.AHUSTFISQD24XLC5PGXP547JTLMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 6, 2019",0,1,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_68?ie=UTF8&pageNumber=68&reviewerType=all_reviews,3.0 out of 5 stars,"Easy to use, ergonomic battery pack. Charges my Moto G smartphone by ~1.8A current ( apparently this is limitation of phone charging circuitry, not limitation of the power bank output).Comes with a case that prevents the battery from occasional damage.I'm using 2.1 A wall charger and Anker USB cable to charge the bank. Initially, it took about 10h to fully charge the pack , that is pretty close to the time needed to reach max capacity of 20100mA.About 2 months later, all four lights go on after about 5-6 hours of charging, and number of phone charge cycles went down from 7 to 4..5. When 4 or 3 lights indicators are on, everything looks ok, but when it comes to 1 or 2 lights, it discharges very quickly. It is not possible to fully charge used XT1063 phone when only 1 LED is on.Will be looking for battery pack from another manufacturer next time.",Battery degraded after two month of use,Color: WhiteVerified Purchase,,,3,5
Ryan,/gp/profile/amzn1.account.AEJLNJFHXLEX2RHLMAOZ43PHMIHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 9, 2020",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_68?ie=UTF8&pageNumber=68&reviewerType=all_reviews,5.0 out of 5 stars,I’ve had my original one for over five years! I love it so much I bought another one. If you’re on the go or travel a lot this is a great product. This company has several portable chargers to choose from. Great stuff!,I’VE HAD MINE FOR 5 YEARS,Color: BlackVerified Purchase,One person found this helpful,,118,77
Texas Rose,/gp/profile/amzn1.account.AETTD276QLS44SCXWQWUG2L43MUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 21, 2019",0,1,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_68?ie=UTF8&pageNumber=68&reviewerType=all_reviews,3.0 out of 5 stars,"Anker Chargers are usually highly recommended, but this one, the 20100mAh, could be better.  I bought it so there will be an alternative in the event there's a storm caused black-out.  It has four blue ""power available"" indicator lights, but after I charged iPhone X and iPad Pro 10.5, it was down to one.  It takes several hours to recharge (I suppose that's why there's a charger for it too).  So this means that in a storm, I can count on only one full charge for each of those two devices.  It's also heavy to me so I won't be traveling with it. Check weight and capacity before buying; so will I, because I still think it's a good brand.","Ok generally, but disappointed in number of full charges",Color: BlackVerified Purchase,,,2,0
