author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,,ranking,helpful_votes,total_review,visibility_status
Dominguez,/gp/profile/amzn1.account.AFS7EAKOV5O45K34CKSNYFGPFKVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 20, 2021",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,5.0 out of 5 stars,The garden hose works like I expected. It was light weight and the Swivel Grip is very ingenious for a garden hose. Help keep the hose from twisting on itself like others I have purchased before. I recommend this garden hose for residential use. I thing is to buy the length you need. Bought a 100ft commercial garden hose from a membership club thinking the price was a steal. Lasted only one year due to damage. But the weight and the kinks were just annoying.,Flexibility,"Size: 5/8"" (inches) x 50' (feet)Style: HoseVerified Purchase",,,,2662610,157,71,Public
Amazon Customer,/gp/profile/amzn1.account.AF7RNK2KRIXONHJATDKT3PAHN2VQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 23, 2020",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,1.0 out of 5 stars,"I do extensive research on almost everything I buy and this hose was no exception. I bought it specifically because it was ""heavy duty"" , ""flexible"" and ""safe for drinking water"". I planned on dedicating it to fill water storage containers. When taken out of the package, it took me >5 minutes to straighten it out ( 50 ft. hose). When I filled with water, it twisted and took me even more time to straighten it out again; putting it away was no joy either. Wish I would have used sooner given I would have sent it back. Really like the connectors, super nice,  but the hose itself is very difficult to use. Very disappointed - especially given the cost. Not sure how it could have possibly got such high stars and claim no kinks.",Kinks Kinks Kinks - when full,"Size: 5/8"" (inches) x 50' (feet)Style: HoseVerified Purchase",,,,1226460,27,59,Public
Margot,/gp/profile/amzn1.account.AEYA4WCV3NRFQGCZ2WWU6ABTWJOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 29, 2019",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,5.0 out of 5 stars,"This is hands down the best hose I've ever used, and I've gone through quite a few looking for one that's easy to maneuver. I've tried hoses that claimed to be kink free that definitely aren't, even when kink-free is in the name . This hose doesn't kink, not in any serious way like some others I've tried. Any small kinks are super easy and super fast  to release. Seriously. It's lightweight enough for me to haul around, even though it's a 75' hose and I'm female, in my sixties, and not that strong. It's so flexible and easy to use, and the connectors are fantastic.  It appears to be quite strong and I'm pleased with the pressure. I plan to buy a second hose of this brand again for my front garden.  I've had years of dissatisfaction using garden hoses, but this hose is easily worth the extra money. I like the color, as it stands out easily in my large back garden. Besides, green is always a good garden color.",Best hose I've owned,"Size: 5/8"" (inches) x 75' (feet)Style: HoseVerified Purchase",,,,2596498,1235,399,Public
Laura,/gp/profile/amzn1.account.AEEFMBWVJK2JLWTUSNOFVJHHZX2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 20, 2020",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,5.0 out of 5 stars,"Love the swivel handle, we've had a different flexzilla for a year and really like it, so purchased this one.  The swivel handle is great, we had hesitations about it initially but it doesn't slip when you're screwing attachments on because it's molded around the end of the hose.  Super easy to unkink with a flick of the hose end.  light weight and seems to be durable after spending a year out in the hot CO sun on the south side of the house.  Color has faded quite a bit on the old one, no mold issues like mentioned in other reviews.",Great!,"Size: 5/8"" (inches) x 100' (feet)Style: HoseVerified Purchase",,,,1197140,36,52,Public
Sandy N,/gp/profile/amzn1.account.AERW52B22656CD2IE7HFFBS2FRIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 22, 2020",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,5.0 out of 5 stars,"I'm glad I waited to write this review. Had I written it when I first got it I would have given it a 1 star. It came with no printed material: No cardboard cover, no sheet of paper, nothing.  I assumed that I should straighten it out and run water through it when I first used it. Although I was very careful it knotted and kinked. I had a terrible time straightening it out and getting it on my hose winder. The first couple of times I used it, the same thing happened. I was ready to throw it out and buy a new one. However, after a few uses, it relaxed and I love it. It seldom kinks and it doesn't knot. I love it.",I'm glad I waited to write this review,"Size: 5/8"" (inches) x 100' (feet)Style: HoseVerified Purchase",,,,291109,143,180,Public
RLO1016,/gp/profile/amzn1.account.AH3NWOF5NWAFNPICIQWYPYUDJS2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 19, 2021",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,3.0 out of 5 stars,"It has taken many weeks for this hose to relax enough to curl in a large hose holder designed to hold a 100 ft hose, even though it is 75 ft.  And it kinked in the holder.  It is okay stretched out long, but who wants a very loud chartreuse house stretched out to ruin the look of my pretty courtyard?  Should be offered in a brown or dark green color to blend in with the ground.  This hose will probably last forever but I’m sure I will find a more satisfactory one before then.",Not as flexible as hoped,"Size: 5/8"" (inches) x 75' (feet)Style: HoseVerified Purchase",,,,1231102,5,19,Public
Frank48,/gp/profile/amzn1.account.AE2DJE3LQF27IS7LGM37WLDBFRCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 29, 2020",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,3.0 out of 5 stars,"The hose works great and seamed to add additional pressure to the water.  Has good construction and kinking is almost no existent.  Not that easy to handle.  Bought Aug of 2019 over time the hose got really sticky.  I scrubbed it off with simple green and a green scrub pad.  Would like to know if it reacts with chemicals or something to create this stickiness.  Otherwise, this is a nice hose but hard to handle and your hands become covered in goo.  I do not recommend this hose",Hose became sticky.,"Size: 5/8"" (inches) x 100' (feet)Style: HoseVerified Purchase",One person found this helpful,,,4091134,54,64,Public
Justin M.,/gp/profile/amzn1.account.AGQ6H4JBS4INVD2JRMRPFBBWMLKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 30, 2020",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,4.0 out of 5 stars,I like how flexible and relatively light this hose is. It does resist kinking but will kink in certain circumstances. Nothing that a quick flip of the hose won't fix though. And it happens way less often than with my old hose.I like how the end connectors twist freely even when connected. This is nice when using a nozzle and you can twist it where you want it without fighting the hose.,Flexible and relatively light,"Size: 5/8"" (inches) x 100' (feet)Style: HoseVerified Purchase",One person found this helpful,,,10341,23,39,Public
Nancy Ruczynski,/gp/profile/amzn1.account.AH4PHEAK7O6WFXXB3I6CVAXMVYKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 4, 2020",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,1.0 out of 5 stars,"I thought this hose would be good, because I have another one of the same brand, and it is a nice, flexible hose that doesn't kink.  However, the end of the hose that is supposed to connect to the hose reel, as well as the opposite end connecting to the sprinkler, didn't seal tightly.  I tried many times, but water was spurting out around each area that was supposed to connect.  I end up with puddles of water in my yard around the hose reel and the sprinkler.  I kept trying to tighten the connections as best I could, trying to re-thread the connection, but I just ended up getting a bad blister.  It seems like the ends of this hose are not precisely the size they need to be in order to screw into the hose reel or the sprinkler.  (I checked if I had made a mistake and had accidentally tried to connect the sprinkler end to the hose reel end, but no, that was not the problem -- I had done it right.)  I am very disappointed because this product had a lot of good reviews.",both ends of hose don't connect tightly -- water spurting out!,"Size: 5/8"" (inches) x 50' (feet)Style: HoseVerified Purchase",,,,6846814,,,
Amazon Customer,/gp/profile/amzn1.account.AHT6F4FLWNQ6TWTD7KJPMXBNV3SA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 9, 2021",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,5.0 out of 5 stars,"I've owned dozens of hoses these last few decades - some cheaper and some a lot more expensive than this hose.  I never would get excited when I needed to pull those hoses out. There's something so enjoyable handling this hose.  perhaps it's the rubbery/elastic feel that reinforces the knowledge that you don't have to worry about kinks (never have I had a problem with kinks).  Maybe it's that it's so much lighter than other hoses. I don't know the reason, but even after a couple of years of ownership, part of me still gets excited when I need to pull out the hose.",A treat every time I need to use the hose,"Size: 5/8"" (inches) x 75' (feet)Style: HoseVerified Purchase",,,,3346732,2153,311,Public
Daniel J.,/gp/profile/amzn1.account.AGSBSXHNOEYLNJSRNPGWSUVOQ46Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 13, 2020",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,5.0 out of 5 stars,"My German Shepherd tore thru my last 2 leader hoses and have to disconnect this one each time I use it, not pet proof.  Couldn't find a female to female leader hose for my hose cart so this will have to do.  Found an adapter at Lowes hardware for the female connector on the hose cart to use this male to female hose.",Very nice and high quality leader hose,"Size: 5/8"" (inches) x 10' (feet)Style: HoseVerified Purchase",One person found this helpful,,,84097046,,,
Michael J. Murphy,/gp/profile/amzn1.account.AHH62EZG7Y7R2SHXFYYFOBNRPJWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 11, 2020",1,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,5.0 out of 5 stars,"Over the years, most hoses I purchase leaks either immediately or after moderate use.I decided to 'spend extra' to get a hose that 'works right'.I used this hose to connect the box in the picture to the house.Water water runs every hour for about 5 minutes for months, and are not leaking!Highly recommend, for projects like above.For a solid handle to remove on and off, this hose is the right choice, that is why i used it to connect to the house.",Solid hose - No Leaks!,"Size: 5/8"" (inches) x 3' (feet)Style: HoseVerified Purchase",,,,842350,,,
laney,/gp/profile/amzn1.account.AHXY6JN66Z362YL7TXU7AW6RDIBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 16, 2020",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,5.0 out of 5 stars,"I like this garden hose and have purchased a 2nd one AFTER testing my original purchase over a seasonal period.  Stretch the hose out full length before first use.  No kinks, semi-light weight, durable AND comes in many length sizes.  I purchased and paid more for the swivel grip and recommend others do the same.",lexzilla Garden Hose with SwivelGrip,"Size: 5/8"" (inches) x 50' (feet)Style: HoseVerified Purchase",One person found this helpful,,,413944,,,
Bo,/gp/profile/amzn1.account.AGOLWJEHM7PWZKSCBDDF5S6URKOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 26, 2020",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,5.0 out of 5 stars,"I love this hose!  I have gone through several of the shrinking hoses in the last couple of years and they all have failed after a short time.  This hose is both light weight and sturdy.  Yes, it does get tangled occasionally, but not truly kinked like a cheap hose, but the swivel allows for easy removal of the tangle.",Great Hose,"Size: 5/8"" (inches) x 50' (feet)Style: HoseVerified Purchase",One person found this helpful,,,500218,103,101,Public
RD,/gp/profile/amzn1.account.AEP4MZDBN4F5W7LI53ZTAOKKYE3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 23, 2020",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,1.0 out of 5 stars,"The description says it won't kink under pressure, which is NOT true.  My hose kinks in several places making a complete pain to use..  It also is very hard to wind up.  I do no recommend it.  It is a very expensive hose that you spend more time unkinking than doing what you needed the hose for in the first place.",Kinks Terribly,"Size: 5/8"" (inches) x 50' (feet)Style: HoseVerified Purchase",One person found this helpful,,,52035,157,145,Public
Tennessee,/gp/profile/amzn1.account.AFG2YBD3FHOWXXHBP5PZXLGRZDNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 12, 2020",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,1.0 out of 5 stars,Not a very good product. I can’t speak for longevity but definitely kinks all the time. I hang it on the hook in the garage and use it only for washing vehicles. Every time I try to use it I have to straighten kinks for a long time before I can use it. I definitely would not buy again.,Too many kinks,"Size: 5/8"" (inches) x 75' (feet)Style: HoseVerified Purchase",One person found this helpful,,,7408570,,,
Coach CJ,/gp/profile/amzn1.account.AEZHPJUV7EQOJMQMBK6IPPHEHGDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 10, 2020",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,2.0 out of 5 stars,Some of the review mentioned tangle and twist but the good reviews out weighted the bad ones.  Well on initial opening it took almost an hour to untwist the 75-foot hose.  Then when i moves it from one side of the house to the others side 3 kinks.  I guess maybe with a hose reel it wont tangle or kink.  Lets see how it goes through the summer.,Don't ignore the reviews like I did,"Size: 5/8"" (inches) x 75' (feet)Style: HoseVerified Purchase",One person found this helpful,,,814746,,,
Karyna,/gp/profile/amzn1.account.AE2G3XQAREM6V44GOD3CPCRWKDCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 24, 2020",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,5.0 out of 5 stars,"It works great! My favorite part is that I can keep the vent open so I don’t have to unscrew it every time when I want the water to run. It’s been a few months, and the hose did not crack under pressure. My vent is in inaccessible place behind a bush, so I appreciate not having to climb there every time. I use it to clean things I do not want to clean in a sink or tub (litterbox, shoes) outside my walk-up aparment.",Great!,"Size: 5/8"" (inches) x 10' (feet)Style: HoseVerified Purchase",,,,2824900,,,
AmazonCustomer,/gp/profile/amzn1.account.AGKGKYVFN6MILKQ4OSTD3CTDDA4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 4, 2018",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,1.0 out of 5 stars,I received the hose 12/31/17. Today--3/4/18-- the connector broke. I would give it a zero star if that was a choice,I received the hose 12/31/17. Today--3/4/18-- the connector broke ...,"Size: 5/8"" (inches) x 3' (feet)Style: HoseVerified Purchase",14 people found this helpful,,,14042,1,10,Public
Topper M.,/gp/profile/amzn1.account.AGRXYKYP7ZRIVRK6TYMZRGIFBTUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 17, 2019",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,5.0 out of 5 stars,"I wanted a hose that remained flexible in cold weather.  In So. California that's 50 degrees.  Here we water year around.This product performs as described.  The anti kink end handles are great.  1/2 inch hose is reduced to 3/8 at each end.  This does NOT affect water pressure.  It would affect quantity of water flow, but I'm just watering a flower bed, washing the car, hosing the walkway, etc.  The reduction in flow is negligible, I recommend this product which I've been looking for years.  Not found in the big box stores nor the hardware stores I've been to.",PERFECT FOR ME,"Size: 5/8"" (inches) x 50' (feet)Style: HoseVerified Purchase",,,,2225198,25,36,Public
Slimjakes,/gp/profile/amzn1.account.AEUZ7LZ7NHKXNC6V3LBIVDEAZX6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 11, 2020",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,5.0 out of 5 stars,"I spent a bunch of my dollars on all new hoses all around my home.  Even the short supply hose to my hose caddy is a Flexzilla now.I bought the more expensive alternative, because the joint ends swivel, making it less likely to kink and easier to join to another hose.So far, so good.  Ask me in four months and two years if they have survived in the high intensity UV light and heat of Tucson, AZ.  I will tell you straight, because I paid for the best and I expect them to be the best.","Flexzilla hoses, drinking water safe, kink free.","Size: 5/8"" (inches) x 100' (feet)Style: HoseVerified Purchase",,,,10676403,251,73,Public
Kindle Customer,/gp/profile/amzn1.account.AG3WT23GIRWP5KQY2QSULXLT6JPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 30, 2018",1,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,4.0 out of 5 stars,"Very nice hose overall. Incredibly flexible, but the lack of structure means it is really easy to kink. The long green plastic handle/sheath on both ends means it protrudes 5-6"" from where it connects to the hose reel cart. I had to carefully cut that plastic piece off because it kinked and left a weird spot that would not allow it to roll up nicely on the reel. I left it on the other side because I do like that it rotates nicely when you need to hook things up to the hose.All in all, with that modification, I still enjoy the hose. I just wish they'd only put the handle on one side.",Very flexible. Might not work with your hose cart.,"Size: 5/8"" (inches) x 100' (feet)Style: HoseVerified Purchase",One person found this helpful,,,1037648,126,17,Public
CDW,/gp/profile/amzn1.account.AGAWCFXEWMMZNTOJQKGBJ3DWCHTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 28, 2018",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,5.0 out of 5 stars,"Advantages: This hose has large, hand-friendly connecting parts on both ends. These connectors are easy to turn and attach the hose to the faucet or hose-end sprayer, but also they swivel freely, so it is much easier to uncoil the hose without playing ""Twister"" with it!  Another advantage of this ""SwivelGrip"" is that the hose rarely kinks. It is a sturdy hose, and I can see that it will last a long time.Disadvantages: Not a lightweight hose! My fault, I got the 5/8 inch diameter one instead of the 1/2 inch one. It's heavier than I expected when filled with water.",Hand-friendly connectors,"Size: 5/8"" (inches) x 75' (feet)Style: HoseVerified Purchase",One person found this helpful,,,6142556,,,
maria duran,/gp/profile/amzn1.account.AEZPFYN4GTFTNYXVOJNYQRXSFZSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 19, 2019",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,1.0 out of 5 stars,"Love this hose, but unfortunately it was short lived. This hose was babied and sat on covered Suncast reel since receiving it last year. Despite this, a hole was formed about a foot away from the end piece somehow. I do not believe any where else is damaged, so maybe i got a defective hose where wall of hose was thinner in that one spot. All i know is that for over $80.00, i should not have to find a replacement this soon.","For the price, hose should last at least a year...","Size: 5/8"" (inches) x 100' (feet)Style: HoseVerified Purchase",3 people found this helpful,,,771123,23,30,Public
AA,/gp/profile/amzn1.account.AE6PAHGYVHVAQMNAZILQB6TFBBCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 2, 2020",2,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,4.0 out of 5 stars,"It does get knotted - even strong water pressure will not undo it.But if you can flatten it out; which took me forever because I got the 100' length, it seems that it does not stay kinked like a hard rubber hose. So far I like it, and this replaces a ""never"" kink hard rubber hose that kinked and burst. Price wise they seems to be about the same. So hopefully I will have better luck with this one.I have a shorter Flexzilla which is not so forgiving at the connection end, so the swivel grip on this one is a plus.",Does knot up but no hard kinks.,"Size: 5/8"" (inches) x 100' (feet)Style: HoseVerified Purchase",,,,1799562,,,
Nancy,/gp/profile/amzn1.account.AFL35BFERV6JIECJHZ2IITFKVXXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 22, 2020",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,5.0 out of 5 stars,This is the best hose I've ever purchased! It is easy to work with and carry due to its moveabilty and lightness. Seems very durable as well due to the way it's made. The hose moves separate from attachments which prevents a kink. I have advanced arthritis and this hose allows me to use with little or no effort.,BEST HOSE EVER!,"Size: 5/8"" (inches) x 50' (feet)Style: HoseVerified Purchase",One person found this helpful,,,290175,68,31,Public
Phil Leftwich,/gp/profile/amzn1.account.AFQ3BT4OVDMH6SDJMOIYPMTPRXZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 6, 2020",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,1.0 out of 5 stars,"This hose is heavy, stains easily, even after first use, and is very hard to coil. It likes to tangle itself up, and cuts off the flow of water. I do not recommend it! It gets a two thumbs down rating!",Very poor hose!,"Size: 5/8"" (inches) x 100' (feet)Style: HoseVerified Purchase",2 people found this helpful,,,245354,170,78,Public
Crazy Ape,/gp/profile/amzn1.account.AFMCAVUHLHCBD7WD3NIAXGDC6V3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 2, 2017",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews,5.0 out of 5 stars,"Several months of use without a kink or problem.  The hard part is uncoiling it the first time out of the package.  I did uncoil it carefully on a warm day.  I'm experienced with flipping hoses around as they uncoil, when they have a mind of their own, but this was still a challenge for me!  Once uncoiled, though, it's had several months of use and abuse without a problem.I debated about spending more for the SwivelGrip model, but I'm glad I did!  It really does make it easier to attach and disconnect with the arthritis in my hands.",So far so good!,"Size: 5/8"" (inches) x 75' (feet)Style: HoseVerified Purchase",3 people found this helpful,,,47026,,,
LeoG49,/gp/profile/amzn1.account.AF2AHUW5K236UPO3CMD4TAAHPUHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 31, 2020",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews,5.0 out of 5 stars,"It's very light weight and doesn't tangle. Its claim to be drinking safe is a little iffy (it contains no lead, but contains some chemicals). For filling a 55 gallon drum of emergency drinking water it's just fine: just let the water run for a couple of minutes and then fill the drum. I wouldn't use it for carrying drinking water on a regular basis (I'd get an RV or marine hose, but couldn't find a 100' host) but for my purposes, it's perfect.","Very good hose, lightweight, doesn't tangle","Size: 5/8"" (inches) x 100' (feet)Style: HoseVerified Purchase",,,,269985,34,48,Public
shelby,/gp/profile/amzn1.account.AHUDGRF3HURPLR6NE74SBZASM32A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 7, 2021",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews,5.0 out of 5 stars,"This is my second 5/8""x100' hose.  Fits perfect on hose reel.  Not bulky or stiff.  From now on it's the only hose I'll buy.  It will be interesting to see how it holds up to the elements and routine use.","Light weight, flexible.","Size: 5/8"" (inches) x 100' (feet)Style: HoseVerified Purchase",One person found this helpful,,,9161164,,,
Kpeay,/gp/profile/amzn1.account.AF7HGZ2BW4OI2MLF5S4WW3MOTDSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 29, 2021",0,,https://www.amazon.com/Flexzilla-HFZG575YWS-SwivelGrip-Lightweight-Zillagreen/product-reviews/B01E1DANAI/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews,4.0 out of 5 stars,"I like how durable this hose is.  However, it kinks a lot more then expected.  It is not light weight, but I didn’t want it to be.  It is pulled over gravel and stones, so it seems very strong.  Just spirited at how many kinks I have to work out during each use.  Not sure kink free should be a description with this one.I would buy again just for the durability.",Durable,"Size: 5/8"" (inches) x 75' (feet)Style: HoseVerified Purchase",,,,84183840,173,27,Public
