author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,ranking,visibility_status
Amazon Customer,/gp/profile/amzn1.account.AEAKVPC4PAU72VIUSAVIZMX3GEKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 22, 2020",0,0,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=11,5.0 out of 5 stars,Love that this has a remote not only for an off and on but also timer and 3 different light settings great for any room or for camping. You can light up all the candles at ounce or light up as many as you want.They also come in various sizes,Love  candles with a remote to dim or light up a room,Verified Purchase,,6,50,35635068,Public
stefreed,/gp/profile/amzn1.account.AFCLTDPDABIQUNBF43YO5ZK4UEOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 27, 2020",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=12,5.0 out of 5 stars,They look nice...I got them to jazz up my kost boda votive candle holders for the holiday. I have cats who seem to think they are able to go wherever they want in the house- so that keeps me from using real candles. These are just perfect. I didn't realize they have a timer...so am going to try that feature out.,exactly as expected,Verified Purchase,,18,18,6548271,Public
F.E. Arliss,/gp/profile/amzn1.account.AGHBAFX7K7MSLIHUNZD5DKVGA5KQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 31, 2020",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=12,2.0 out of 5 stars,You have to turn these on manually. I bought them for outdoor votives believing they had a timer and would come on each night at be one for 4-6 hours. No such luck. Can you imagine going to each one and turning them on and off each night? Ridiculous.,These don't have a timer or remote control!,Verified Purchase,,1280,597,7050,Public
James C. Lauters,/gp/profile/amzn1.account.AFP4VL6ZTV2FCPDR43XM47EFB2CA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 5, 2020",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=12,5.0 out of 5 stars,"nice warm color light, natural looking flicker ... very pleased with these",works great!,Verified Purchase,One person found this helpful,109,226,386314,Public
CintiBonnie,/gp/profile/amzn1.account.AGELDHPNDOYXQK7MDPA2WAH7JNRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 28, 2017",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=12,5.0 out of 5 stars,For the low price of this item you get a box full of these little lights.  Of course you can tell the difference between real tea lights and these but these last longer and don't present a fire hazard.  These types of light usually go inside some type of decorative candle holder so they don't have to be perfect.  The flickering light shines thru and creates a lovely ambiance.  Very satisfied with my purchase.,Exceptional Value,Verified Purchase,One person found this helpful,869,277,78900506,Public
Akiko Ashley,/gp/profile/amzn1.account.AHN4D4VLW7YN7H4R44BFNMX3HUQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 5, 2017",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=12,4.0 out of 5 stars,"These have a very plastic looking surface that is stark white, would be better if it were ivory color...and does not look like real wax but it does light beautifullly at night when you are looking for that touch of sparkle. I say for the price they are a great deal. During the holidays these are perfect for table decor, house decor and even safe for Christmas trees and for windows as they are flameless.",would be better if it were ivory color,Verified Purchase,One person found this helpful,137,108,166904,Public
LuLu,/gp/profile/amzn1.account.AFZKIGYXWC6NZN5VVK5VYLF7OBNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 21, 2020",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=12,1.0 out of 5 stars,Very small and cheap. Half didn't work at all and the rest died quickly. Junk.,Awful,Verified Purchase,One person found this helpful,18,83,8169995,Public
Norma Jaimes,/gp/profile/amzn1.account.AERUZYX5OMJWSSGMSTFERAE6ZLUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 12, 2020",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=12,4.0 out of 5 stars,"Long lasting, no control included, had to manually turn on and off. Light was very good. i would recommend this item.",Good,Verified Purchase,One person found this helpful,2,22,62593673,Public
Williamsx2,/gp/profile/amzn1.account.AGS5G57ITY5R2UUYNJSDVMMSQGYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 20, 2019",1,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=12,5.0 out of 5 stars,I love that these came in a set of twelve. I needed lighting for my table centerpieces but I was concerned that the item pictured gave off a yellowish glow. I risked it and ordered them anyway.  I wanted bright white candlelight and that's what I got. The fact that these led tealights are a true bright white is just what was looking for. Time will tell about the battery life.,Very realistic,Verified Purchase,,229,88,118201,Public
Amazon Customer,/gp/profile/amzn1.account.AHS6FUFQ4IPANEWES62FUQVQLDXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 3, 2019",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=12,4.0 out of 5 stars,"I don’t think these have a timer and they didn’t come with a remote but I don’t think that was in the listing for them so I don’t know why it’s part of the review, they are a little smaller than most tealight candles. More narrow and taller. I got them for a Halloween decoration so it doesn’t really matter though. The packaging was nice anyway. They don’t flicker like a lot of battery operated candles though, it looks like it tries to flicker but doesn’t really",Works for what I got them for,Verified Purchase,,13,15,78620951,Public
tara t episcopo,/gp/profile/amzn1.account.AEFPETGS2ZTKMYJMAFRALNB7RMGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 6, 2019",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=12,5.0 out of 5 stars,I love these little battery candles. I have two cats so therefore don't like using real candles and having an open flame. These little candles give me the light that I am looking for without the danger. It is a very pleasant clear white light and I have bought additional batteries and they change very easily.,❤ these!,Verified Purchase,,18,44,62593673,Public
Shannon Sebastian,/gp/profile/amzn1.account.AGMTBRBG7VKZHRJKHYLG4RSMR6RA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 30, 2020",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=13,5.0 out of 5 stars,"Love these little lights ! Super bright , and they flicker light real candles ! Mine did not come with a timer option or remote so I can not comment on those features . But I would definitely buy these again !!",Great led candles,Verified Purchase,,76,105,204741,Public
jmasey,/gp/profile/amzn1.account.AGVBTUY5445573KTPIZ35MI6HYDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 23, 2018",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=13,1.0 out of 5 stars,Several of these were already dead when I received them. Not what I was expecting.,Received some out of batteries,Verified Purchase,5 people found this helpful,47,31,2129761,Public
Peter Wagner,/gp/profile/amzn1.account.AGFTDL7G6DKUCEVHOTEMQGL3OZXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 14, 2020",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=13,4.0 out of 5 stars,"They create a very nice atmosphere and the light is every bit as soft and warm as real candles. However, the light intensity is inconsistent across the individual units and the flicker is almost too faint to notice. Over all: the price is right and the product is far more convenient and safe than traditional tea lights. Would buy again.","Pretty nice, needs more flicker",Verified Purchase,,2,24,7657932,Public
Laurenm0606,/gp/profile/amzn1.account.AFMRPTCTRD72W6PPAFL5XVWT225A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 20, 2020",2,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=13,5.0 out of 5 stars,"I didn’t actually realize these came with a remote-I ordered for a baby shower and these were perfect. Truly love that they came with a battery, and love the look of the flameless option. Brightness was perfect, packaging was awesome, great quality product!",Beautiful,Verified Purchase,,8,23,6518359,Public
Dalia,/gp/profile/amzn1.account.AFEGTGT7VMG2E54OQOU2K7FK7MQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 16, 2020",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=13,5.0 out of 5 stars,The review asks about timer and remote controls which the tea lights don’t have so I can’t rate. I will say these were bought as decoration for an up coming wedding and I think they will look great. Can review performance after November.,Nice candles,Verified Purchase,,14,37,2568627,Public
HC,/gp/profile/amzn1.account.AGLIM66PANJPGOM5KS4UAFQTMSIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 4, 2020",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=13,5.0 out of 5 stars,These are my favorite tee light candles I have ever purchased.  The light is brighter and more realistic than others.  They actually look like real candles vs the others that are just flat circles.  They can be used in a holder or alone with no holder and look amazing either way. I will definitely be purchasing more.,Bright and realistic,Verified Purchase,,105,34,1104041,Public
Sonja,/gp/profile/amzn1.account.AHXVX52GWW2OJQ6UDQRYMEAVOWUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 28, 2020",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=13,5.0 out of 5 stars,"These are a bit taller than I had envisioned, but that's because I don't pay close enough attention to measurements given. I love them, though, and they have that glimmer where it looks like a real candle. I've only used them about a week, but they've been on constantly and are still going strong.",pretty,Verified Purchase,,10,12,10561571,Public
Danielle,/gp/profile/amzn1.account.AH5UWBRWII3SCJDMB5S62J677MIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 30, 2020",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=13,5.0 out of 5 stars,Fantastic purchase! Just as described ! I'll prob find some tea light holders to enhance the beauty but it's just fine without it!!!,Beautiful,Verified Purchase,One person found this helpful,55,51,62593673,Public
Sabe,/gp/profile/amzn1.account.AE7N4SORRRDUDIC46SHF23UVIYMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 20, 2020",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=13,5.0 out of 5 stars,I bought to use with Christmas decorations and they lasted the entire holiday season (month of Dec) and are still going. Light is nice and soft.  The product itself is well made and fits well in all my tea light decorations and home décor. Will definitely buy again when needed,"Great, Long Lasting Tea Lights",Verified Purchase,,331,204,37894,Public
Clear Lake Man,/gp/profile/amzn1.account.AG4XDCMPUJOWCIG7LGH2WOMPYYTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 26, 2020",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=13,4.0 out of 5 stars,"Honor the spirits, the ancestors, etc. without burning down your home.",Good way to capture the mood safely,Verified Purchase,One person found this helpful,417,442,13189,Public
Andrea Shipman,/gp/profile/amzn1.account.AG2LHZNP4BZFGPSTOCDOT5XLFZNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 10, 2020",1,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=14,5.0 out of 5 stars,These are perfect! I am so happy with them. Now I just hope the batteries last a good while 😁,Exactly like a real tea light!,Verified Purchase,One person found this helpful,112,73,367403,Public
majellin,/gp/profile/amzn1.account.AEDLPION2OAU5RBJSNLA536OYTCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 23, 2020",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=14,5.0 out of 5 stars,"So much easier to use than candles to light pumpkins.  They are supposedly rated for 100 hours but I have them on all day long in the pumpkins for about a week and they are still going.  They are getting dim so I will replace them before Halloween but, being about the same price as candles, who cares?  And they are wind proof!",Using these for pumpkins outside--why didn't I think of this before?,Verified Purchase,,9,14,4008991,Public
C Kelly,/gp/profile/amzn1.account.AH5F7HMD4MEKLUKYBXBOVN52DSKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 6, 2019",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=14,5.0 out of 5 stars,"Used these for a wedding reception in a barn where real candles were not allowed.  Let one burn all day to make sure they would last the entire time of reception.  They lightly flicker.  Tested one and left it lit for 24/7 and it lasted an entire month before it dimmed out.  In my opinion, this is as close to real as you'll find.",Long lasting,Verified Purchase,,141,135,133335,Public
Diana,/gp/profile/amzn1.account.AEU7YD7CIG62TGBFBH77VL5RN2WQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 11, 2017",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=14,5.0 out of 5 stars,"I am so impressed. The tea lights look like the real deal with a believable wax candle base, even though the reality is plastic. They flicker just like a real flame. I love the fact that I can have candlelight all over my home without worry of a fire caused by a candle that has been forgotten. I am ordering more to enhance the atmosphere of soft glow to all the rooms in my home.",Love this product!,Verified Purchase,One person found this helpful,55,59,1070996,Public
Southern Belle,/gp/profile/amzn1.account.AFN2Q4OA5Q754U4X67R3RTKLM6JQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 21, 2020",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=14,5.0 out of 5 stars,"Excellent product! Flickering flame looks realistic, from a distance looks like a real votive candle. I purchased them for our Halloween pumpkins but I’m finding many other uses for them around the house!",Excellent product!,Verified Purchase,,83,45,1394441,Public
Martha,/gp/profile/amzn1.account.AENBCGKNR7REKK7N6GSAKXBQ2MYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 17, 2020",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=14,1.0 out of 5 stars,"Al instante que me llegó este producto les envié un mail NO OBTUVE NINGUNA RESPUESTA diciéndoles que no recibí lo que en la foto me ofrecieron. No son velas, son veladorcitas súper pequeñas. No me gustaron para nada.",Ofrecen lo que no es!!!!,Verified Purchase,,0,32,,Public
Zanne,/gp/profile/amzn1.account.AHEYBSTAANIY45JXLY2KPRM2RLXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 31, 2019",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=14,3.0 out of 5 stars,"These candles look nice and they flicker, as advertised. When I purchased them, it also said that they had a remote and timer. They do not (it appears the ad has since been updated to reflect). I should have known, given the price, but I did not because it said it did. So I was disappointed.  The light is whiter than I expected as well; I would have preferred a more warm, yellow tone. Oh well. However, they do work and flicker nicely. For the price, they are a good bargain.","No Timer, No Remote, light is BRIGHT white",Verified Purchase,,10,14,12053156,Public
New in Staunton,/gp/profile/amzn1.account.AEAC3E5DSPY5NGJKTBN2CLAGFWKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 2, 2020",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=14,5.0 out of 5 stars,Really liked these for smaller candle holders. Mine didn't come with a remote control or timer function. They really light up the area with a nice glow. Yes I would recommend to a friend and I will be buying bigger ones for some new candle holders I'm getting. Great value and price.,I bought these for a few candle holders around the house. Great for smaller candles,Verified Purchase,,12,24,62593673,Public
Sam VanStraten,/gp/profile/amzn1.account.AHHXIXMJPX5J7ZZTG7WEOLVYEYSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 19, 2017",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=14,5.0 out of 5 stars,"I originally ordered one box of these to test them out. I received them on time and they look very realistic compared to most of the other battery op candles out there. The light is not white but not yellow, right in between, and the flicker pattern is random enough that it's hard to notice the repetition.Because I was so happy with the first box, I ordered 5 more for our wedding. Out of a total of 72 lights, I only had a problem with 1.  I reached out to the seller to see if I could get the faulty one replaced (we needed them all and the budget was tight). The seller contacted be back in less than 12 hours and offered a code for a free box.I was thoroughly impressed with the product for the price and the excellent customer service. I would suggest these to anyone.",Great price. Great look. Great service.,Verified Purchase,One person found this helpful,3,6,10832162,Public
Amazon Customer,/gp/profile/amzn1.account.AE536SIPZ4KELK2T27GRWVJRNHDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 2, 2020",1,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=14,5.0 out of 5 stars,"Perfect for our pumpkin carving party. The lights lasted over a week continuously on with no issues, they probably last longer but I didn't try. Great purchase for the price, will get these every year for our pumpkins","Small but mighty, good purchase",Verified Purchase,,24,29,2191439,Public
Amy Jay,/gp/profile/amzn1.account.AHBFBBRABZQ22SXEOSQKOSSGNCJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 19, 2020",2,0,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=15,5.0 out of 5 stars,Great value! Some other brands of LED battery lights look very fake with the weird center plastic flame and can be very orange colored. I liked these better since the edges are higher and the light is a nice color. These also flicker softly and fit perfectly into my hurricane glass tea light votives that I will be using at my wedding reception. I like the pack of 12 - others are packs of 6 or less and the costs add up. Very excited to that I found these! I definitely recommend.,"Great value, nice flicker, soft color light",Verified Purchase,,6,6,62593673,Public
Owen from CT,/gp/profile/amzn1.account.AEEJUEBWBWZNTUCNINOUFCQL6D3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 28, 2020",0,0,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=15,4.0 out of 5 stars,"These are decent, not spectacular. Good not great. They do the job of making the room/area look nice. But they feel like cheap Chinese plastic in the hands of a discerning consumer",These will do,Verified Purchase,,601,112,30730,Public
Svenska,/gp/profile/amzn1.account.AEX76ZKQDPCXAUUTHZIB6EZMBYWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 21, 2018",0,0,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=15,5.0 out of 5 stars,"LITTLE CANDLES ARE IDEAL. USE IN HOLDER OR BY THEMSELVES. NOT BIG . TURN ON BY HIDDEN BASE SWITCH, THEN AFTER ''LIGHTING & WARM-UP''...IT FLICKERS REALISTICALLY.  ORIGINALLY WANTED ONE FOR A VALUABLE,  ANTIQUE SHIP'S MASTHEAD COPPER/BRASS  OIL-LAMP  FOR A MORE DYNAMIC DISPLAY, NOT STATIC.  AMAZING REALISM BEHIND THE GLASS. GOOD CHOICE, NOW ENOUGH UNITS FOR OTHER DISPLAYS, TOO.  COOL.",TRUE DESCRIPTION,Verified Purchase,,124,126,269265,Public
Karen N.,/gp/profile/amzn1.account.AEM3PWWDEHAJYZJED5KWPXQVPWKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 3, 2019",0,1,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=15,2.0 out of 5 stars,"I wanted to use these tea lights in a decorative candle holder that I purchased for a gift.  I used one for a similar type of décor at my own home first, and I was very disappointed. Yes they have good battery life, seem durable enough and are very easy to use.  However, they are very dim and don't show up very well at all.  I won't be able to use them :(",Very Dim Tea Lights,Verified Purchase,,374,386,22796,Public
jetmmm,/gp/profile/amzn1.account.AFUN2SMAEOYXNILNF42GVA3PGYHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 6, 2020",0,1,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=15,3.0 out of 5 stars,"I ordered these after much personal back and forth.  Got them today and they are not what is pictured, the ones I received are snow white not the cream color I ordered as pictured and needed.",Snow white in color not cream color which is pictured,Verified Purchase,,117,124,224486,Public
Raechel,/gp/profile/amzn1.account.AF7PCLN7WXJASO5MFTFCYHKX6K5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 4, 2020",0,0,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=15,3.0 out of 5 stars,"I just received a twelve pack of these tea lights. I planned to use them in mercury glass tea votives - which will disguise how unrealistic these look. From the photos and description it call this a soft white light, but in reality it is stark white for the body and clear bulb. They do flicker slightly, so it looks okay inside of a votive, but does not match the other soft white battery operated candles I have purchased to use for wedding décor. Overall, I would give a 3/5. Definitely not recommended if you plan to use as a stand alone candle.",Not Realistic Looking - But Okay For Use In A Votive,Verified Purchase,,0,1,62593673,Public
sbzesq,/gp/profile/amzn1.account.AH7EP6MD5SCKCRQKKNW2TRO4Q33A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 6, 2020",0,0,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=15,4.0 out of 5 stars,"These were decent for the price. A couple of them were faulty and didn’t work. I didn’t realize how convenient remote controls are for flameless candles, but honestly they’re a must. I bought larger candles from another seller and those came with the remote.",Decent for the price,Verified Purchase,,115,199,401009,Public
S2k,/gp/profile/amzn1.account.AEFQNBF2ZTIMJCOQK5GE4H4QXE5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 13, 2018",0,0,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=15,5.0 out of 5 stars,"Awesome product, its brighter than it looks. When on it doesnt look cheap at all. Real story: the second night i bought this, used it, and put it away, my home's power went out. I panicked until my fiance told me to reach for the candles, my first instinct was to find a lighter and regular lighter, then she yelled the LEDs. These came in super handy as i was able to place them in different locations. Way more effective for emergency use than using a single source of light, plus they are compact. I didnt think i was going to use it for this reason and was about to return this product, after this incident i cancled my return and am keepin it","Awesome product, its brighter than it looks",Verified Purchase,,5,9,6106003,Public
leea,/gp/profile/amzn1.account.AFSYZJ3APR5KYN4MEEQEH7KB4K4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 26, 2019",0,0,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=15,5.0 out of 5 stars,"Bought these for a romantic effect while on vacation! I wanted to set the mood in the hotel room but didn’t want to use real candles they were great and lasted the whole weekend!One night I left them on & outside while it was raining, in the morning they were still working. Its been two months and they’re still working with the same battery!",Great for setting the mood battery life A++,Verified Purchase,,210,46,91545,Public
Jon S.,/gp/profile/amzn1.account.AFOS72UG32C7D4NRKE5X7IYHONOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 27, 2019",0,0,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=15,5.0 out of 5 stars,Wasn't expecting much for the price but these will do just fine for my wedding decorations. I was expecting more flicker but its actually more realistic to an actual flame that would be indoors. i like them.,Really nice for a cheap buy.,Verified Purchase,One person found this helpful,7,30,1942959,Public
