author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,ranking
Jimtowner,/gp/profile/amzn1.account.AFEUZDLK4GOWXOZMT6BHRCY3FGQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 7, 2020",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=8,1.0 out of 5 stars,"Our ac intake vent started making a whistling sound. The filters had become seriously bowed/warped which affected the cardboard seal and thus the whistling. This was after just three weeks. The filter looked good, no noticeable clogging. I think the filtration is so high that it restricts the airflow enough to cause the warping. Way to expensive for three weeks not to mention the inconvenience of frequently installing them in a ceiling vent.",Lasted 3 weeks not 3 months,Size: 20x20x1Style: Without Air PurifierVerified Purchase,One person found this helpful,1005514
deejaytee,/gp/profile/amzn1.account.AGBIT33ZVHDTR5OYAZKC3BSFCUWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 15, 2020",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=8,5.0 out of 5 stars,"We had our central air unit checked and cleaned in May 2020 and the HVAC Tech recommended these to replace our permanent air filter.  He said that there's no reason to pay $40 a filter when these work just as well.  They did!  We replaced the filter every month during the summer and now in the Fall (when we still have to run our AC every now and then), we're replacing it every other month.  We're happy with our purchase!",Great value!,Size: 24x24x1Style: Without Air PurifierVerified Purchase,One person found this helpful,4475245
Jason in Wichita,/gp/profile/amzn1.account.AGBCX6YQQ52L5Q7YEAP6RZQCGBUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 16, 2020",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=8,5.0 out of 5 stars,"We get this six-pack because this very filters is often sold out, and we change filters frequently.Not really any cheaper than getting them at Walmart or Kroger, but a lot more convenient, since we always try to have at least a couple replacements on hand.So: five stars for good quality filters and the convenience, but not so much the price.Note: we had an entirely new HVAC system installed in 2011.  The technicians told us that using high MPR filters is ultimately hard on the motor, which makes sense.  Better to use a good quality low MPR filter (like a 300) and change it more frequently, which helps extend the life of the unit.",A most convenient way to get filters,Size: 16x25x1Style: Without Air PurifierVerified Purchase,,64903
Jojo015,/gp/profile/amzn1.account.AE6CXUANR3JP6VEFPX7CMNJAYNXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 16, 2020",1,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=8,1.0 out of 5 stars,"I bought these figuring the name was a good brand..well i have been very disappointed to say thd least. Nothing but a problem nit realizing this was the issue . My a/c froze up , I researched no sir flow but said it can't be that the filters are new! WRONG..i took them out ran just fan defrosted my coils put system back on without filters..what do you know. My house was cool again I felt good air coming out of my registers.  Don't waste your money and possible hvac call and repair! Now I can cancel my hvac appointment..unreal they should pull these off the market..horrible",almost ruined my air conditioner,Size: 14x24x1Style: Without Air PurifierVerified Purchase,One person found this helpful,6223229
Kristin,/gp/profile/amzn1.account.AE4RRNTXRACSAKENB7ECX2SP53XQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 27, 2019",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=8,5.0 out of 5 stars,These are great filters for the price. They filter out some stuff without restricting air flow to a point the furnace suffers. I have a cat so fur is a definite issue in my house. I don't want to use the cheapest filter on the market because it would not trap any of the fur floating in the air. At the same time I don't want the most restrictive filter because of the limited air flow and it would clog immediately.  These filters are a happy medium!!,Happy medium,Size: 20x24x1Style: Without Air PurifierVerified Purchase,2 people found this helpful,51992
Rocky,/gp/profile/amzn1.account.AFHISVRI3JNIXFBE7OCEUVF6SDTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 21, 2020",4,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=8,1.0 out of 5 stars,The air flow arrow is pointing the wrong way! The filter doesn't fit and buckled when I tried to insert it. In my opinion these are a knockoff. I've ordered Filtrete filters before and the airflow arrow pointed in the opposite (correct) direction and the filter fit perfectly. I wasted my money!!,Knock off? Air flow Arrow pointing wrong direction!,Size: 14x24x1Style: Without Air PurifierVerified Purchase,2 people found this helpful,78900941
"""uri-els_legion""",/gp/profile/amzn1.account.AEKQUZNRLOWEVYE4X65H6OQ2BUHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 25, 2020",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=8,1.0 out of 5 stars,"My furnaceman (37 years in the business), discovered that my 3M filters were designated backwards -yes, the arrow on the side for airflow alignment upon insertion, was going the opposite way.. ~No factory callback? ~No one else has caught this? Unbelievable to have my heating system at risk with overexertion as I could barely keep the house warm this winter (yes, I have children). Filters were coming out severely deformed after less than a month's use.",3M cares not..,Size: 18x24x1Style: Without Air PurifierVerified Purchase,2 people found this helpful,5086657
terandjen,/gp/profile/amzn1.account.AEL6L2JI65HSOZ5HOSAJZ2PIIMNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 11, 2018",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=8,3.0 out of 5 stars,"CUrrently using. We had been using a higher level of filcrete filters and was concerned about pressure on the fan. These are pretty flimsy and bent easily while going into furnace.  I trust the name and will update review as needed. Been in the furnace for about 20 days, definitely capturing dust and particles.",Reserving judgement,Size: 16x25x1Style: Without Air PurifierVerified Purchase,4 people found this helpful,149668
Rockytop,/gp/profile/amzn1.account.AFD2SDNZZCYQ5PMU7LTEGX7ATGFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 20, 2020",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=8,2.0 out of 5 stars,"So, I made a mistake.  The filters I usually buy were out of stock, I saw the Filtrete name and ordered these.  Turns out Filtrete is only a brand name, not a product line and these filters are only good for the large particles.  These are the type landlords install in low-income apartment buildings.  And now I have 6 of them.  I will be placing an order with a different retailer for a more appropriate product.Shipping was fine, the filters are not individually wrapped in plastic, and that was disappointing.  Again, my mistake.  If I had scrolled down, I would have seen the chart comparing the different types of filters.",These are garbage,Size: 20x20x1Style: Without Air PurifierVerified Purchase,,29605
Jasmine Norris-Dixson,/gp/profile/amzn1.account.AFO6YGAUWH2H6K7Z2SAOSOUISSYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 30, 2020",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=8,5.0 out of 5 stars,"I love buying these in bulk so I will always have some on hand when it's time to change the filter every month.  These are easy to install, hold up well, and capture lots of stuff.  We were always told by our HVAC installers to not use the allergy blocking filters because they will restrict airflow and cause your HVAC system to overwork and not perform as well.  It's hard to find basic filters in the stores so these are great!",Good Filter!,Size: 18x24x1Style: Without Air PurifierVerified Purchase,One person found this helpful,22913
Sherlonda,/gp/profile/amzn1.account.AFJGSIY4LOHCYGCLYGDKWMQS6ZOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 26, 2019",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=9,3.0 out of 5 stars,"Honestly, I believe Filtrete is a household name.  Although, the quality of the air filter appeared no different then any others that Ive purchased except the extremely cheap filters.  The packaging of the item I believe could have been more supportive.  If a relatively heavy package were to fall on this item it would bend, consequently making it difficult to install; in order to install, it has to be straight.The installation process is as simple as any other filter that you are replacing. For that purpose, it is unremarkable.  I, do recommend that you follow the advice on the back of the packaging as for how long before replacing.  Trust me, if not, you will accumulate a pretty hefty bill because debris passed through the filter and caused stress on your A/C unit, therefore needing a HVAC specialist.",It does what it is supposed to do.,Size: 24x24x1Style: Without Air PurifierVerified Purchase,,26717661
Baylen Alexander,/gp/profile/amzn1.account.AEBEPY27SZULKUOETRT2D22MKM3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 13, 2020",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=9,4.0 out of 5 stars,"Ok people I brought these because I was tight on cash and I couldn’t buy my usual brand, the price for this brand is great but that’s it they are poorly made and only last in your unit about ten hours before they are totally filthy and need replacing. Now do to the fact that I have 6 dogs and my house is very dusty I can’t put all of the blame on the product so I’ll say for a low maintenance, low traffic home these may be great but a high traffic house like mine don’t waste your money!",Not for high traffic homes!,Size: 16x20x1Style: Without Air PurifierVerified Purchase,One person found this helpful,3486938
Waitingformyshepherd,/gp/profile/amzn1.account.AEI7QYJPODOMMPKUGQGP6O2IMDHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 5, 2019",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=9,5.0 out of 5 stars,I use these filters in our ac/heater because they last and we’re recommended by our ac person.  I change them every month and they are literally gray with dust when I change.  the price here is less than at our stores locally and having them delivered is wonderful!  Love and will continue to order and use.,cheaper here than at the store and great filters!,Size: 20x25x1Style: Without Air PurifierVerified Purchase,4 people found this helpful,4870
GamePlayer,/gp/profile/amzn1.account.AFDSN5I5IIM2QE7EEKMZAZAQPRNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 19, 2020",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=9,5.0 out of 5 stars,"These are more expensive than ""regular"" filters, but they really work well. They are much finer filtering and ""fluffier"" than the normal air filters, but they fit right. I have allergies and sinus problems so these filter out a LOT of allergens and I can really tell the difference in my home. Plus, they last about 3 months between changes so they are more cost efficient in the long run.  I give these filters my highest rating for value and working as you'd expect them to work.",Best filter for the money.,Size: 16x20x1Style: Without Air PurifierVerified Purchase,One person found this helpful,92932
John Puterbaugh,/gp/profile/amzn1.account.AEDXQTMGGNBQTAEMRTENFPK662TA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 3, 2019",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=9,5.0 out of 5 stars,"I've always thought having to run to the hardware store for air filter refills was an inconvenience. Not sure why I didn't think to look online sooner, but I'm glad I finally have. I looked at a couple other companies that appear to specialize in automatic mail-order air filter service, but I couldn't find as much information on the brand and specifications for the filters as I'd like. Instead, I found exactly the type of filters I wanted on Amazon, and am very pleased with the cost, quality and overall purchase. Can't see myself buying filters in the store again, and whether I stick with these ones or not, they delivered as promised.","Good value, delivered as expected",Size: 14x20x1Style: Without Air PurifierVerified Purchase,One person found this helpful,537235
Jp0,/gp/profile/amzn1.account.AFTXRZEMPAW34G5KMDZSI4IK6KBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 1, 2020",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=9,5.0 out of 5 stars,"Each filter is individually wrapped. I wouldn’t say they are the sturdiest I’ve ever used but they are thick enough and work. I probably would not purchase again as I feel like I have to change my filters twice as often now. They do seem a bit dirty when changing them out so they do work. Just for the value of what you are getting it doesn’t make sense for me personally. That being said we have 8 dogs, 4 cats and kids so we probably aren’t the typical user of these and just require something a bit stronger.",They are ok for a typical non pet family,Size: 20x20x1Style: Without Air PurifierVerified Purchase,One person found this helpful,2512
OSCAR,/gp/profile/amzn1.account.AGZU4CT7WENP56RRPLWLEU5VVMFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 1, 2020",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=9,2.0 out of 5 stars,"The filters I received today are different than the filters displayed on the product page. Note the product pictures, the filter pleats show an aluminum looking structure within the pleats. I purchased the Filtrete MPR 300 20x30x1, Clean Living Basic Dust filter. If you go to the Filtrete web site the pictured filter is not the same as the ones I received. This makes me very Leary of the received product, could this be a counterfeit filter?",Caution on 3M Filters,Size: 20 x 30 x 1Style: Without Air PurifierVerified Purchase,One person found this helpful,185135
Amazon Customer,/gp/profile/amzn1.account.AGC7DEXHGBIH3L3EE7BZHX6MWFJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 5, 2019",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=9,5.0 out of 5 stars,"Good quality filters. I have 2 dogs and a cat in a house that has to intake flow locations. Although I check monthly, I’m only changing them every 3-4 months.",Good quality,Size: 20x25x1Style: Without Air PurifierVerified Purchase,5 people found this helpful,360551
AJ,/gp/profile/amzn1.account.AGXI3ICYNYS2YUBJGEN23K7LUHCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 2, 2020",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=9,5.0 out of 5 stars,"We have a 100+ year old house with an old furnace and we are currently doing construction in the house which adds to the already very dust, dirty vents. In the meantime, we've been using these and switching them out as frequently as needed. It's made a huge difference for all of us in terms of sneezing and even some asthmatic issues for one family member. The value pack is a great deal, and they are easy to swap in and out. Highly recommended!","Great for old, dusty houses",Size: 16x25x1Style: Without Air PurifierVerified Purchase,One person found this helpful,54920
Bill P,/gp/profile/amzn1.account.AHP6F63VTUOX76FTB73ST2GDFN2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 10, 2020",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=9,5.0 out of 5 stars,"After a couple of service visits, my furnace service company recommended that I reduce the level of filtration from the highest filtration level as my furnace was building up too much heat in the heat exchanger and periodically shutting down early.  This filter made by the same company, 3M, filtered somewhat less, but never triggered the automatic shut down the previous filter triggered.  If you have this problem, but still need a good filter, this one worked just fine.  It also increased the amount of air coming out of my registers.  I'm saving my remaining high MERV filters for the summer when the air conditioner is on and heat buildup is not a problem.",Furnace overheating shutdown from too much filtration,Size: 20x25x1Style: Without Air PurifierVerified Purchase,,2157945
WAYNE S. SCHOONMAKER,/gp/profile/amzn1.account.AG4SQDZQ5GQ5JZQUFLPG6YB5RC5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 10, 2020",0,0,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=10,5.0 out of 5 stars,"My heat/ac guy informed me this past winter that the company no longer supplies the furnace filters! (been with them over 40 years, can't give me a couple filters twice a year?!) Anyway, Home Depot & Loews are getting $25 for just 2 decent filters! So, for about $10 more, I get 6, that I now have ready to go! Seem like good filters, I can update after 6 months! My new thermostat has a great feature that let's yo know when it's time to change the filters! I live in CT, where the humidity is terrible during the summer, so my AC is VERY important to my family!Again, seems like a very good product, very good price, would recommend to everyone!",Fits the need perfect!,Size: 16x25x1Style: Without Air PurifierVerified Purchase,,312830
Mike S.,/gp/profile/amzn1.account.AHCKL4T4OM63G4T3MSCQ5H4G2WYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 29, 2020",0,0,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=10,5.0 out of 5 stars,"I have an older furnace (about 20 years old, give or take) that cannot handle one of the heavy-duty filters. These are perfect as basic filters that I can replace every month or two and are not prohibitively expensive. It is great to have as a subscribe and save item because I almost always forget that I need filters when I am in a store that has them.","Good, especially if you have an older furnace",Size: 16x25x1Style: Without Air PurifierVerified Purchase,One person found this helpful,746
Deb,/gp/profile/amzn1.account.AF2QFSJZWTPTTKNH7XJXLA7XCZUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 16, 2020",0,1,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=10,2.0 out of 5 stars,"Earlier this year, I installed one of these filters, and used the arrow printed on the filter frame to ensure I correctly installed the filter in relationship to the furnace blower. My HVAC technician arrived today to service the furnace and noted the the filter was installed with the materials facing the wrong direction. The arrow on the frame is incorrect. Potentially, the blower could have sucked in the filter material and it would have severely damaged the blower. The metal screen, which is located on one side of the frame, is meant to prevent such an occurrence; the directional arrow lead me to an incorrect installation. Do not buy this product unless you understand how to correctly install a furnace filter absent directions.",Incorrect installation directions! Yikes!,Size: 16x25x1Style: Without Air PurifierVerified Purchase,One person found this helpful,13223386
Techno Geek,/gp/profile/amzn1.account.AF4E5RUGWTLEUJXDDTWOE5W3O43A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 18, 2020",0,1,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=10,2.0 out of 5 stars,"Very disappointed that 3M would put out such a cheap product. And I don’t mean inexpensive. Filter material is very thin and the surface area is very minimal in comparison to other comparable filters on the market. The more folds in the filter material, the greater the surface area. The thicker the material, the better filtration.  I will have to replace this filter in 1/3 the time I would need to on better filters. So while I thought I was getting a good deal on the filters… I will end up paying a whole lot more per filter. Caveat emptor…",Don’t let the great price fool you,Size: 20x25x1Style: Without Air PurifierVerified Purchase,,78953720
SteveTCook,/gp/profile/amzn1.account.AHIG6ODB65TPZL255IXGHDSEKFWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 21, 2018",0,0,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=10,5.0 out of 5 stars,"These do the job well. I don't have particular needs with allergies or anything, but these fit well and let my heating system do it's job well.",These do the job well.,Size: 16x20x1Style: Without Air PurifierVerified Purchase,5 people found this helpful,59484
L.S.,/gp/profile/amzn1.account.AFUPLMSG7STZU2UD5PGOG3OIHSYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 29, 2019",0,0,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=10,5.0 out of 5 stars,"Here is the truth about HVAC air filters. If you change them monthly the cheap filters are the best filters. They remove the dust, dander, etc and offer very little restriction of the airflow into your HVAC system. Your system doesn't have to work so hard and it save you $$$ on electricity. Change the filters monthly and there is no reason to waste $$$ on pricy filters.",You can't go wrong with these filters,Size: 20x25x1Style: Without Air PurifierVerified Purchase,2 people found this helpful,306168
tamostk,/gp/profile/amzn1.account.AF732BEJ5OHCTKCCM4LDOHDLN6BQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 2, 2019",0,0,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=10,5.0 out of 5 stars,They make better ones that filter out more but these work for me.  Just change them a little more often  And the price is right.,Good product great price,Size: 16x20x1Style: Without Air PurifierVerified Purchase,5 people found this helpful,512687
M. Popp,/gp/profile/amzn1.account.AEUIDZKZ42Z6CPTWVMBTN2RTONCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 17, 2020",0,0,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=10,2.0 out of 5 stars,"The first 2 of these I used worked great. However, a week after switching to the third, my air return started producing a whistling noise, which grew louder over time. After inspecting, it looks like the filter is bowing 4-5"" in at the center, causing distortion of the frame, allowing air to slip around the filter, creating the sound. These filters don't have ANY structural support in the center. They have a ""mesh"" on the downstream side, which apparently does nothing. I replaced the filter again, only to have the same thing happen. I'm going to use these, because I paid for them and am halfway through the box, but I won't be buying them again.",Bowing and whistling,Size: 20x25x1Style: Without Air PurifierVerified Purchase,,1050351
Stephen D.,/gp/profile/amzn1.account.AGJ22AVVWXPQ4AGLYZNCKYO64K3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 3, 2019",0,0,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=10,5.0 out of 5 stars,My HVAC service tech told me I need filters that aren't too heavy. He said the so-called allergy filters are so thick they harm your system and the super thin filters don't catch anything. I couldn't find this size at Wal-Mart of Lowes so I got these off of Amazon. They are just the right heaviness to filter the air without bogging down the system. Going to subscribe to auto delivery.,Had trouble finding this size at the big box stores. Perfect,Size: 14x24x1Style: Without Air PurifierVerified Purchase,2 people found this helpful,899481
Kay Tres,/gp/profile/amzn1.account.AHELBTAN5Q2ZPIEJRN4NG4S4ZL4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 3, 2020",2,1,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=10,3.0 out of 5 stars,"These arrived quickly, were well packaged and well-priced, but are single layer and paper thin. Think “dryer sheet on wire frame”. I compared it to another 3M filter I had in stock which had 2 dryer sheet layers, cotton batting in the middle and 2 wire layers on the outside. I imagine that catches more dust and dander than single-ply...however, they fit perfectly and work well enough! They will likely need to be replaced more quickly than a thicker filter. It’s a good thing we bought a case of them!",Very thin but work well enough!,Size: 16x20x1Style: Without Air PurifierVerified Purchase,,1082485
Hanhan2008,/gp/profile/amzn1.account.AH34POERNNBDG3THHK7AIEI75IMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 4, 2019",0,1,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=11,1.0 out of 5 stars,"Very flimsy! This was the first time air filters surprised me with such poor quality. As a result, I could not insert one easily into the right place in the HVAC system. Will not buy again.",Flimsy,Size: 14x25x1Style: Without Air PurifierVerified Purchase,3 people found this helpful,1697634
Ben P.,/gp/profile/amzn1.account.AFPRV7G7BGMXGBGG66GW5P3IGRIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 10, 2020",0,1,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=11,2.0 out of 5 stars,"These filters bend inside our furnace intake, so much that I was afraid that it would ruin our blower fan. It's because they aren't well supported in the middle and suck right in when the furnace starts.A month after I installed this filter, our blower fan struggled to start and smelt like plastic chemicals. It was having to work too hard and blew out.If you have a new furnace, great. If you have one that requires a low merf rating, then I'd look around elsewhere. It's just not worth the $5 I saved, but now have to fork over $800 to install a new fan and capacitor.",You get what you pay for,Size: 20x20x1Style: Without Air PurifierVerified Purchase,,686267
Mari.S,/gp/profile/amzn1.account.AGZASFTD4MRUIGDVVWCQCKDY5J7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 24, 2020",0,1,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=11,2.0 out of 5 stars,"I live in the south, so my filter goes on the ceiling.  I have recently been noticing a lot, I mean a lot of extra dust in my house.  Went to change filter (has been approximately 3 months as I forgot about it and figured that was my issue), and it should have been filthy.  Well, it wasn't that dirty at all, compared to my previous heavier filter, so I know these filters are not trapping what they should be, and are letting dirt flow through.  Also was bowed in the center due to being flimsy.  I will regretfully use these until they are gone, but will seek another brand/type next time around.",Not that great...,Size: 20x24x1Style: Without Air PurifierVerified Purchase,,205006
