author,author_profile_url,date_of_review,image_num,num_of_comments,rating,review_content,title,verified,votes_helpful,,helpful_votes,total_review,visibility_status,ranking
Jill M Hungerford,/gp/profile/amzn1.account.AFMHSVAFS7PR7WCVJQ2JE22YY6WA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 19, 2021",0,,5.0 out of 5 stars,Grabbed me in the first chapter and I couldn’t put it down!  Looking forward to reading more of this authors books.,Great Read!,Verified Purchase,One person found this helpful,,1,13,Public,11191220
Erin L.,/gp/profile/amzn1.account.AFRC2K3BGOJ3BF225VMPW5KJVPMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 16, 2021",0,,3.0 out of 5 stars,"I really loved this page turning book but it was incredibly distracting how many times the author messed up on cities, landmarks and distances. If she’s a best-selling author, can’t she afford a researcher?",If the author wants to name drop cities-consult a map.,Verified Purchase,,,8,21,Public,6050235
Amazon Customer,/gp/profile/amzn1.account.AFDKP5ZNMI6MJDRQIOL7I6UPW7WQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 19, 2021",0,,5.0 out of 5 stars,I was hooked from the start and couldn’t put it down if I tried.  A definite page turner and did not want the story to end.  It’s a must read!,Page turner,Verified Purchase,One person found this helpful,,2,10,Public,38782991
Nancy J. Lieb,/gp/profile/amzn1.account.AFJGOF6BNMX5R6K2DME3W6OEFT6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 5, 2021",0,,5.0 out of 5 stars,A thriller to the end.Characters are real and the fast moving plot kept my attention throughout.Did not want it to end.,A thriller to the end,Verified Purchase,,,19,53,Public,1266150
Richard H.,/gp/profile/amzn1.account.AF73RH2U67A6NTGJB6QLJXAATQSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 9, 2021",0,,5.0 out of 5 stars,Could not put it down! First book in a while that captivated me from page 1! A must read.,"Great, quick read",Verified Purchase,One person found this helpful,,6,15,Public,5544844
P. Howard,/gp/profile/amzn1.account.AEEXO7DDZVA6A2AJTLGWHXCJ5MYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 22, 2021",0,,4.0 out of 5 stars,"This is a very engaging quick read. Strangely, there were 2 typos in the first 17 pages. But I enjoyed the story.",Enjoyable,Verified Purchase,,,152,97,Public,278048
Caffeinated Reefer,/gp/profile/amzn1.account.AEC7FIZV7Z74GN4FYKXVSJKMVTZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 8, 2021",0,,5.0 out of 5 stars,A honest to goodness page turner.  One of those that just keeps going and going and you don’t want it to end.,"Wow, what a book!",Verified Purchase,,,66,84,Public,2338808
Amazon Customer,/gp/profile/amzn1.account.AGPOKATRJW6QVQQXOJOQWLOCVPKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 3, 2021",0,,4.0 out of 5 stars,I was waiting for the rest of the story to be told. The book ended without that happening. That being said it was an interesting story of a woman caught between two protagonists. The book was easy and enjoyable to read. The book was ended without either of the protagonists winning.,The last page I turned,Verified Purchase,,,0,10,Public,23561663
Susan E. Revall,/gp/profile/amzn1.account.AH62TD3OXJHVRW34CRAN4B55ACWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 24, 2021",0,,5.0 out of 5 stars,"Best read this year, you want to be sad, happy, hopeful.It all comes down to choices, good or bad, the decisions we choose, define us.",Riveting,Verified Purchase,One person found this helpful,,2,8,Public,10020695
Sandy L,/gp/profile/amzn1.account.AE2QTVKENE67OO65PL54TTQ4PQFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 4, 2021",0,,3.0 out of 5 stars,Somewhat predictable but an enjoyable read. Liked the characters & suspense. A good change from a heavy dramatic novel that I typically read.,Enjoyed,Verified Purchase,,,11,27,Public,6156504
Ashley C,/gp/profile/amzn1.account.AEDWAYIPTKWZEVE42XGRWJCVO5UA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 18, 2021",0,,5.0 out of 5 stars,"This was a great read! I loved the twists and character development but, for me, the ending was a bit abrupt.",Excellent!,Verified Purchase,One person found this helpful,,2,11,Public,18075795
alberta hogan,/gp/profile/amzn1.account.AGJ2XOND6E45G3LVCTNMHSNGXP3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,5.0 out of 5 stars,A really good read - twists & turns not expected.  What one won’t do for the love of family!,Excellent Read!,Verified Purchase,,,18,116,Public,2365671
Gaelyn,/gp/profile/amzn1.account.AHLIE3D6DKHK4XX6TZJCZPRPUGYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 18, 2021",0,,5.0 out of 5 stars,"I loved that I didn’t figure out what was happening before the story told us. I wish there was more closure though, I’d love a follow on!","Twists and turns, left me wanting more!",Verified Purchase,One person found this helpful,,27,7,Public,27394608
sasy in georgia,/gp/profile/amzn1.account.AG3RECYTPKK74JX25M7H3OP2FKCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 30, 2021",0,,5.0 out of 5 stars,Easy read.  Hooks you from the beginning.  Loved the characters. Makes you wonder how many people are in protective custody?,Did not see this coming,Verified Purchase,One person found this helpful,,3,8,Public,31783340
Patrice,/gp/profile/amzn1.account.AHVNWLTSS5X7V5DVB34OCJWVDLTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 29, 2021",0,,3.0 out of 5 stars,"Well written, and I liked main character, but didn't feel much for the others.  Parts were good, but then fell flat. Not enough information",Didn't love this one,Verified Purchase,,,1,25,Public,9261366
Jennifer Lester,/gp/profile/amzn1.account.AECXY3USKBKUBXM4LKKPEG7GIZ4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 9, 2021",0,,5.0 out of 5 stars,"Could not put it down. Very well written, did not see the ending coming! Characters are very well written. This author is a fantastic writer.",Excellent book,Verified Purchase,3 people found this helpful,,14,29,Public,3725461
Katherine A.,/gp/profile/amzn1.account.AHPXUKWUVK7BRDXJYR5RADJ3ZEWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 13, 2021",0,,5.0 out of 5 stars,"Suspenseful but not scary, easy to read and get lost in. Devoured in 3 sittings, so sad when I finished!",Suspenseful and heartwarming,Verified Purchase,3 people found this helpful,,29,55,Public,1159030
Kim,/gp/profile/amzn1.account.AE43SAN3Q6YI7KUBOZWEOHO7YXLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 12, 2021",0,,5.0 out of 5 stars,"I loved this book from start to finish, it was fast-paced and there was nice character development.",so good,Verified Purchase,3 people found this helpful,,382,848,Public,684441
Ana,/gp/profile/amzn1.account.AGUVYJB43JQNAHNTYD5P5GR3RURA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 30, 2021",0,,5.0 out of 5 stars,"This is a great novel that will keep you turning pages all night.  One of those books you will continue to think about long after you finish it.  It’s a love story, a mystery, a family drama but at its essence it is about what motherhood is all about.",The essence of a mother,Verified Purchase,2 people found this helpful,,15,40,Public,2852446
C. Ellen Connally,/gp/profile/amzn1.account.AGSHXKWDLGBOLVFEQ3ZSMO2ZOWYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 23, 2021",0,,4.0 out of 5 stars,"The Last Thing He Told Me grabs you at the beginning.  You get caught up in the plot, but somewhere along the final quarter the the book it gets kind of contrived.  Maybe I'm more suspicious than most people, but I find it kind of hard for Hanna to have married someone with no past.  There are also some holes in the story, but it's worth the read.",Good but not great,Verified Purchase,One person found this helpful,,3346,547,Public,62293703
Anonymous,/gp/profile/amzn1.account.AHUNFMTYTS6FJQ3L5DLYP2UESCFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 31, 2021",0,,5.0 out of 5 stars,"I am an admittedly addicted reader, but have struggled to find authors who navigate light with intriguing. This book manages that effortlessly.",Worth the read!,Verified Purchase,3 people found this helpful,,13,15,Public,70887
Coton-Enthusiast,/gp/profile/amzn1.account.AEVMWIUX4J5J77Y34H3WX7264IRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 26, 2021",0,,5.0 out of 5 stars,"I loved this book all the way through but even if that weren’t the case, the last line cemented it for me. Powerful ending. Looking forward to the next book from this amazing author.",Wow,Verified Purchase,2 people found this helpful,,2071,729,Public,82823250
DebC,/gp/profile/amzn1.account.AHZJLSDWLON4OTPBPWFRZYZWEDGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 29, 2021",0,,5.0 out of 5 stars,"This novel warmed my heart and yet still had me on edge, not knowing what could possibly come next.  The characters were so easy to get to know.  Truly brilliant writing!","Great characters, fascinating story",Verified Purchase,2 people found this helpful,,43,90,Public,24818152
Mr. August,/gp/profile/amzn1.account.AE27NHMO2VWDSCCEP4A53GTX7YJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 4, 2021",0,,4.0 out of 5 stars,"When I read that Julia Roberts is starring in Laura Dave’s first crack at a thriller, I knew this novel could read like a screenplay.  It does but it is not overdone; instead there are enough twists and surprises to keep me turning the pages.It’s about Hannah Hill, a young woman who is a woodturner.  I was not completely sure of the definition. It is a person who shapes wood with a lathe.  Hannah creates rustic, beautiful pieces of furniture and other products.  She learned it from her grandfather who raised her; her mother abandoned Hannah.  The reader is introduced to her discipline, artistry and love for a grandparent.Hannah meets Owen when he visits her workshop.  He is a sharp, clever man who pursues and charms her and they marry.  He has one daughter, Bailey, that he adores and his purpose in life is to protect her.  Hannah works hard to endear Bailey to her; it is not easy.And then all trouble breaks loose.  Bailey finds a satchel in her school locker filled with money but her father is gone.  Hannah and Bailey are devastated.  The plot comes alive with the introduction of a cadre of people, some good, some bad, who are looking for Owen.  Neither Hannah or Bailey know where he is, which does protect them to a point. Although Hannah’s heart is breaking, she is determined to help sixteen-year-old Bailey and find her husband. The two are both sorrowful and frantic as they search, I’m not sure if they felt they were also victims.  It is a circumspect mystery with many secondary characters.  Some are extraneous and others drive the plot.The plot became somewhat complicated and I didn’t believe some pieces of the novel were connected.  There was high emotion in almost every scene and stimulating the story was a company called The Shop, that is accused of fraud and larceny. There were many accusations but Hannah and Bailey always felt that Owen loved them.  Despite the deep tragedies in this novel., superb characterization of the stepmother and stepdaughter is Dave’s strongest technique. The dialogue is finely tuned, Hannah is depicted as an overwrought stepmother trying very hard, and Bailey is a tough, beautiful, angry teen-ager that loves and misses her father.My gratitude to NetGalley and Simon & Schuster for pre-published copy.  All opinions expressed are my own.",Where is Owen?,,20 people found this helpful,,5147,962,Public,437133
Catherine D. Carignan,/gp/profile/amzn1.account.AEDJ4FABCAOMCTBUE6YLV2O4OICA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 30, 2021",0,,5.0 out of 5 stars,This novel asks the reader to think about how well you really know the people in your life. Does a lie about one's past mean you can't know the essence of who that person is? Dave created realistic characters in Hannah and Bailey. And I think I may have had a book crush on Owen. She weaves their story in a thrilling plot with unbearable choices for her characters.,A story of true love and sacrifice,Verified Purchase,2 people found this helpful,,6,5,Public,2980497
CLEO N. BREEZE Customer,/gp/profile/amzn1.account.AHDWLBM5TLWKZ5W3U227MWX2BLAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 31, 2021",0,,5.0 out of 5 stars,"Another women as main chapter who is able to survive myriad experiences throughout a meaningful relationship.With little information  and a husband underground she is able to shelter his daughter,fight off gangsters and make unique  decisions so the two of them can survive.",Remembering,Verified Purchase,One person found this helpful,,14,45,Public,621921
J. Roose,/gp/profile/amzn1.account.AF473YQAL7DJV3Q4EUFZ57RBK7BA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 23, 2021",0,,1.0 out of 5 stars,"I had the feeling, as I was reading this novel that it was written hoping it might be optioned for a movie deal.",Summer read,Verified Purchase,2 people found this helpful,,277,94,Public,210782
Ray-Donee Little,/gp/profile/amzn1.account.AFX3O3SSVJBKLTLHJWKFR2PMPC6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 2, 2021",0,,5.0 out of 5 stars,I was hooked on this one from the moment I started. What a ride of a story!! I wanted to know about Owen and his past so bad that every time I put it down I picked it right back up. Awesome awesome book!!!!!,Looooooooooooooved it!!!,Verified Purchase,One person found this helpful,,11,41,Public,5638
KAITLYN TINSLEY,/gp/profile/amzn1.account.AHWPEX4PRPGKP44ZNSKZQD6AJBLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 5, 2021",0,,1.0 out of 5 stars,"This book was boring and predictable- the author built up a story and then let it completely flop halfway through. No real plot or climax, no cliff hangers... an easy set down at any moment",The reviews are wrong,Verified Purchase,One person found this helpful,,269,146,Public,698351
Amazon Customer,/gp/profile/amzn1.account.AFO7JWRSRJ273M3V2KHOMH7QQX5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 17, 2021",0,,1.0 out of 5 stars,Maybe I like happy endings!  Not the world I care to imagine!Truly I would not recommend! Historical sad books have meaning in our lives but this bookwas in my opinion a waste of time!,Left hanging!,Verified Purchase,2 people found this helpful,,8,47,Public,912
Gigi Eisenberg,/gp/profile/amzn1.account.AHLTOYNQMZTHCMH7CQOF7NMLOLZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 26, 2021",0,,3.0 out of 5 stars,The first third of this book nothing happens. But then it does pick up. It’s a unique story but definitely has many flaws and is pretty hard to believe. Could definitely skip it.,Just ok,Verified Purchase,One person found this helpful,,16,55,Public,19692704
Amazon Customer,/gp/profile/amzn1.account.AH3MOJP446OFQKVLOAWTZ3BHNNFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 22, 2021",0,,3.0 out of 5 stars,"This book was a Reese Weatherspoon book suggestion…honestly, the entire story took forever to actually build a story…character develop was mehhh, and I  wanted it to just be over 1/2 way through…the last 2 chapters do get better to create some sort of conclusion…but seemed like the author was drawing out the story to create pages…I also love Austin and much of the story’s takes place there./enjoyed those references etc…but big time disappointing.",I  wanted  to love this book but was disappointed!!,Verified Purchase,One person found this helpful,,1,3,Public,968993
Karen,/gp/profile/amzn1.account.AHSAMWL6C6UEKB5PYXDBTCTSVHJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 28, 2021",0,,5.0 out of 5 stars,I couldn't put this book down for a minute.  The characters were so likeable and real that I never wanted the story to end.,Incredible!,Verified Purchase,One person found this helpful,,336,265,Public,286818
Haley T.,/gp/profile/amzn1.account.AFQLNFMN7RF7OPTHAXFIOEWUBQ6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 30, 2021",0,,5.0 out of 5 stars,Great mystery that keeps you guessing from the first page to the very last pages!! Not predictable and I couldn’t put it down! Perfect beach read! Author is currently adapting it for a mini series!!,Hooks you quickly!!,Verified Purchase,2 people found this helpful,,6,5,Public,4163320
Amazon Customer,/gp/profile/amzn1.account.AEMCJUTKENZJQUIFBVNV4DEZSKKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 29, 2021",0,,5.0 out of 5 stars,"This is such a great book!  I literally could not stop reading it. I finished it in one day because I was hooked immediately. I had to know, I just had to.  The character development has you feeling as if you know them and are experiencing right along with them. Well written and one of the first times I can say I am satisfied with an ending. Highly recommend.",The first thing—-,Verified Purchase,One person found this helpful,,1,5,Public,66847
LadyLuck,/gp/profile/amzn1.account.AGFV5B2OUGKSRFWB57WIQI2BGIZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 6, 2021",0,,4.0 out of 5 stars,"I really liked the book , and did not want to put it down. The 4 stars is because you were let in on the fact Owen had something to hide all along. The only questions became  ""what was it "", and ""how bad"".  The story development  and relationships were believable.",Fast paced.,Verified Purchase,,,90,88,Public,4173423
AvidBookReader,/gp/profile/amzn1.account.AHEEUXDIPMEGXKZVZ6SRCQZCH5JQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 26, 2021",0,,5.0 out of 5 stars,"Couldn't put it down. What a fantastic love story, and not the conventional kind. You won't regret reading this book.",So good!,Verified Purchase,One person found this helpful,,25,53,Public,12966
honeyb,/gp/profile/amzn1.account.AHQRHTIF2SNNM5UVKETMUDMVLMUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 1, 2021",0,,5.0 out of 5 stars,I really enjoyed this book. It is one of the books you just can’t put down. Definitely will recommend it,Wow,Verified Purchase,One person found this helpful,,118,327,Public,83184280
Suzy Blazak,/gp/profile/amzn1.account.AE2IOXNQCO4HBQJXWBIOEQETFTRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 31, 2021",0,,5.0 out of 5 stars,Half way through it and just bought it yesterday! I can hardly wait to see what ending reads like!,Can’t put it down!,Verified Purchase,One person found this helpful,,,,,2490920
Andrea,/gp/profile/amzn1.account.AGCGZJ4A6QJDQHAZE2K4YOINNORA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 14, 2021",0,,4.0 out of 5 stars,"This book was very basic and predictable but had a lot of feel good moments.  The plot was minimal and the emotional drama was maximum. The characters were appealing and emotionally thought provoking.  I enjoyed the atmospheric descriptions of Sausalito, CA and Austin, TX.  The locations felt like characters in the story.  I recommend this for a relaxing read when you want to destress.",A nice happy book,Verified Purchase,,,138,113,Public,6335415
Angela Faust,/gp/profile/amzn1.account.AGEVUHOQVT6SBV6SXJSMA6NIIJ4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 5, 2021",0,,5.0 out of 5 stars,"I wasn’t sure, at first, if I’d like it or not. The writing starts off choppy and if not for the quick moving storyline, I may not have finished it. I’m glad I did. The story pulls you in and keeps you wanting more. The relationships are well defined and grow throughout the book. Well worth the read.",Worth the read,Verified Purchase,,,9,20,Public,18639740
nancyrk,/gp/profile/amzn1.account.AEPJVQEITUOIQAO6HOC7K5S42TQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 26, 2021",0,,5.0 out of 5 stars,I I enjoyed this book from beginning to end> such a wonderfully mysterious story about life unraveling to heal once more.,The las thing,Verified Purchase,One person found this helpful,,8,27,Public,5200576
Nancy J. Ellis,/gp/profile/amzn1.account.AF34QIUJFGF3NI4PDKE7OAQK32UA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 28, 2021",0,,5.0 out of 5 stars,A page turner. It pulls you in from the first page. A very enjoyable read.,"A quick, enjoyable read",Verified Purchase,One person found this helpful,,278,36,Public,2827256
alyssa miller,/gp/profile/amzn1.account.AFBNOOLC3COJ2KSYNBTQ5BF2R6BQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 25, 2021",0,,4.0 out of 5 stars,"This was a great and engrossing read. I only wish the ending could have been crafted into a cliched happier one, it wouldn't have been realistic and then I probably would be criticized it as such lol.",Excellent story,Verified Purchase,,,165,108,Public,87037
Anne,/gp/profile/amzn1.account.AFNCQPBAXXB7XHIOEUUI42A6XZGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 26, 2021",0,,5.0 out of 5 stars,"I couldn’t put this book down... literally! I read it in the bathroom, making lunch, folding laundry!! This book captivates you right from the start!!! Brilliant read!!! Perfect ending. Everything about this book is perfect.",Absolutely Amazing,Verified Purchase,One person found this helpful,,1,9,Public,12184347
Kindle Customer,/gp/profile/amzn1.account.AH6FH5EDQOGQYFQRN6CUEO2I5B7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 30, 2021",0,,5.0 out of 5 stars,This story is about making difficult choices and putting someone else’s needs before your own.I am hoping that this author wrote other stories.I had a hard time not reading it straight through.I highly recommend this book.,Amazing!,Verified Purchase,One person found this helpful,,6,6,Public,11285466
Amazon Customer,/gp/profile/amzn1.account.AEQVND25WLYDQH3SWHDS473HIDNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 31, 2021",0,,5.0 out of 5 stars,I loved every minute of this book. I couldn’t put it down. As a stepmom myself I could totally relate to Hannah. Such a brilliant story.,Excellent read,Verified Purchase,One person found this helpful,,12,15,Public,4116525
Deb Reynolds,/gp/profile/amzn1.account.AHBJNGMGOSDAQYJGFJYSOI5CNITA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 13, 2021",0,,5.0 out of 5 stars,This was a great book with a fascinating premise.  My only issue is the extent the to which the main character sacrifices essentially her life and happiness for a fairly idealized “greater good”.  But it’s nonetheless a exciting and provocative read.,Great book!,Verified Purchase,One person found this helpful,,9,5,Public,15671811
book reader,/gp/profile/amzn1.account.AF7D627JFFXJEGRVOOVLAYFNNP6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 8, 2021",0,,3.0 out of 5 stars,"I liked the idea of the story but for me, the end portion of the storyline would have made the book more interesting if it was more incorporated into the overall story.",Good Idea but ......,Verified Purchase,,,69,83,Public,426069
Monica,/gp/profile/amzn1.account.AEANJ52ZXRQRAD5CHD6XBCYXQCWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 14, 2021",0,,5.0 out of 5 stars,Just read it. That’s all I have to say right now because I am too struck after just having finished it.,Just read this book,Verified Purchase,One person found this helpful,,23,16,Public,38662331
Nellie Cruz,/gp/profile/amzn1.account.AHYC6C7D462PGKE252DCUSEFK3SA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 30, 2021",0,,5.0 out of 5 stars,Love it,Great book!,Verified Purchase,One person found this helpful,,6,168,Public,2136855
Sierra,/gp/profile/amzn1.account.AEU5J66Z32QAAZKYL3YCCJXTTRIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 30, 2021",0,,5.0 out of 5 stars,"Laura Dave put together a book that set up a compelling theme, walked it forward and kept me engaged until the end.  I love books like this, keeping my mind working to figure it out.","A straight on read, couldn’t put it down",Verified Purchase,One person found this helpful,,4,8,Public,53019585
LD,/gp/profile/amzn1.account.AH6T7544A3YYS4ASOTA6HOAJ262A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 29, 2021",0,,5.0 out of 5 stars,The twists and turns in this story kept me engaged until the last page! The ending wasn’t what I expected.,Totally absorbing story!,Verified Purchase,One person found this helpful,,2,13,Public,41606100
caufeegal,/gp/profile/amzn1.account.AF4RULTYM3ZHO2VBNLJNA2UNHVAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,5.0 out of 5 stars,The story flows easily. And the reader is drawn in. It seems like a basic story. New marriage. Stepdaughter. But it’s not.,What a wonderful book!,Verified Purchase,,,214,115,Public,414410
P. Lu nd,/gp/profile/amzn1.account.AEPYYNIL3EO3OXO4OZRVS4LWBZBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 2, 2021",0,,2.0 out of 5 stars,"Not a good pick. So sorry too. Needed ""good"" right now.  Will keep trying.  Lifetime movie stuff maybe, still..... Nope.",Nope,Verified Purchase,,,152,151,Public,1932370
Scott Ross,/gp/profile/amzn1.account.AERBT6NGX3Y6P66UBDHC6RXPY2YA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 25, 2021",0,,5.0 out of 5 stars,I really do challenge you to begin reading this and then set it down. Betcha can't do it.  I read it in one sitting.,"Compelling, at the very least",Verified Purchase,One person found this helpful,,5,10,Public,5512314
Denise Smith,/gp/profile/amzn1.account.AGOB2BLYWEO6MWCCL75FZO6Q4WJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 5, 2021",0,,5.0 out of 5 stars,I could not put this book down. I had to find out what was about to happen. Would love to see it made into a movie!,Read this book in one day,Verified Purchase,,,13,39,Public,1425959
Michelle,/gp/profile/amzn1.account.AG2ALA3B6U54HG2QYVZ2XBCZYNEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 20, 2021",0,,5.0 out of 5 stars,Never boring. Kept me interested. I would definitely recommend this book!First book I've read of Laura Dave and will be reading others by her.,Great book!,Verified Purchase,One person found this helpful,,1,8,Public,22803981
Kindle Customer,/gp/profile/amzn1.account.AF6XIWTEKCULFFN24T6E7XLE55CA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 13, 2021",0,,4.0 out of 5 stars,Definitely kept my interest.  Likable characters.  Maybe could have had a little more depth but I liked the pace. Read it!,Good book, quick read,Verified Purchase,,1,34,Public,7441714
Debra Humphrey,/gp/profile/amzn1.account.AELEEYDSG3J26Z6GZSWKQGG25FOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 17, 2021",0,,5.0 out of 5 stars,"I couldn’t put his down until I finished it, and I was crying when I did. Trust me, just pick it up and start reading.",Surprisingly different from the usual bestseller thriller (although I love those too).,Verified Purchase,One person found this helpful,,18,8,Public,41250424
Terri Ball,/gp/profile/amzn1.account.AGLSGFELHNYNUDFZEOGK7NKIPC5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 1, 2021",0,,5.0 out of 5 stars,I read this book in a short time because I was so intrigued.  It was so well written and I could not wait to find out what happened.  I loved it and will definitely explore more books by this author.,I could not put it down!,Verified Purchase,One person found this helpful,,1,2,Public,69140351
Michelle Rankin,/gp/profile/amzn1.account.AHFZRJETHZ5H5YC6MPZIC6XJ43PQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,4.0 out of 5 stars,"Kept me intrigued. Enjoyed it, but I felt the book ended just as it was getting started... like, surprisingly abrupt ending! I would have anticipated several more chapters. So much more I wanted to know which I hope means that there will be a follow up.",Wanted more,Verified Purchase,,,3,9,Public,17553271
Vickie Ferguson,/gp/profile/amzn1.account.AHRM2H5XNYCBSN7MDVTW6VRD26WQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 9, 2021",0,,5.0 out of 5 stars,Great book. Couldn't put it down.,Great!!,Verified Purchase,One person found this helpful,,1,17,Public,9116408
Melissa Albrecht,/gp/profile/amzn1.account.AETRGAJ6QC7R3WMDVCPYL7TBKP3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 21, 2021",0,,5.0 out of 5 stars,This is my first Reese’s book club pick and I was hooked from the first page. I will definitely look for more books by this author as they come,Love this book!,Verified Purchase,One person found this helpful,,1,5,Public,17856443
Christy Hollister,/gp/profile/amzn1.account.AFD6GJC5N7DTEIOCUP63PNXYAIXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 15, 2021",0,,5.0 out of 5 stars,Like a rollercoaster ride in a book! I read it in two days it was such a thrill ride. I was disappointed when it ended. What do I read next?,Could not put it down...,Verified Purchase,One person found this helpful,,1,5,Public,
