author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,ranking,total_review,visibility_status
FLR,/gp/profile/amzn1.account.AFEMNPC3J4OHOTP226LQV7DXC2SA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 16, 2020",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=26,1.0 out of 5 stars,"Wow, I powered through this book to try to get it over with, only to discover that my copy was missing 40 pages at the end. Thought it was odd that this book ended in the middle of a sentence, but I did some research and sounds like there were entire chapters missing from my book. So dumb.",Wow.,Verified Purchase,One person found this helpful,145,160205,70,Public
lyssa reyome,/gp/profile/amzn1.account.AFQWJ7QFYLZ27G2NRBEA3MXUMMMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 13, 2016",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=27,5.0 out of 5 stars,"I started this book knowing nothing about it except that it was written by Colleen and that I've never been disappointed by any of her work. Now finished with it, I have still yet to be disappointed.  This is a book that is now one of my all time favorites, a re-read for sure. I see so much of myself in Lily. She was just much stronger than me. Although I'm no longer in that situation, it took me a lot longer to come to that decision than it did it Lily. I'm so proud of Lily, and I'm so proud of all the other women who have found the strength and courage to leave a situation like that. To better their own lives,  to protect their children, to give their children better lives, and to understand that your life is worth so much more than that, that you deserve so much better. People really don't understand how hard it is to leave a situation like that, and I love that this portrays the real struggle, the real pain.Colleen, I've read over and over how hard this book was for you to finish. But I'm so glad you did. I truly believe that this book, that you, will help so many women find the strength and courage to end the cycle, to realize that they need to get their limit back in sight, to become Brave and Bold.",Brave and Bold,Verified Purchase,,2,15633575,17,Public
Carole P. Roman,/gp/profile/amzn1.account.AE3GRCJPL7IXD22AJODJBC6OGZDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 31, 2017",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=27,4.0 out of 5 stars,"""Cycles exist because they are excruciating to break.""  Heart-wrenching story of domestic abuse, the victims and the cycle it creates. Lily Bloom is the daughter of a successful businessman with a secret. Her father was an abusive husband. Lily is conflicted, she recognizes that she loved her father but hated him for beating her mother. The night of her father's funeral, she meets  the perfect man. Handsome, rich, educated and despite the fact he doesn't want to marry- they end up falling in love and are wed. The bliss of marriage is short-lived, and Lily must decide how much she loves Ryle. She must wrestle with some harsh truths and make hard decisions. A good read.",she recognizes that she loved her father but hated him for beating her mother,Verified Purchase,,2917,5223,914,Public
prashanta,/gp/profile/amzn1.account.AGJ43SJNDAO5F2NBXP6IUIPOBT2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 28, 2020",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=27,5.0 out of 5 stars,"I loved every bit of this! I laughed, I cried, I got angry, I got sad and I loved every bit of it. I loved Ryle and I hated him and then I kinda liked him again just a bit. And Lily...wow...I rooted for and I was disappointed and then I loved her. And Atlas? I wished there was more of him but I understand why there wasn’t. This was a roller coaster and I’m a sucker for roller coasters.",There are no words...,Verified Purchase,,33,15135550,37,Public
Amber's Final Thoughts,/gp/profile/amzn1.account.AE2D2YNL7IZGZI5OFWZ342CXEJIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 7, 2016",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=27,5.0 out of 5 stars,"I can’t put into words what this book has done to me.  I am so glad that I stayed away from spoilers and I urge you to do the same.The characters in this book are so real and they come to life right off of the page.  Every emotion they feel you will also feel in your heart. From the moment you open the book to page one to well after the last page this book will not let you go.When I opened this book it mimicked my own life growing up in so many ways, but I am thankful to Colleen Hoover for forcing me to see things in a different light.By the end of this book, you will have a new book boyfriend, I just pray that we get a novella based on him.I have read all 12 of Colleen Hoover’s books and I still do not know which one I love the most, but this is at the top of my life.Pick this book up it is beyond a six-star​ book.",Beyond a Six Star Book!!!! Coleen Hoover does it again!,Verified Purchase,,79,2984845,59,Public
Julia,/gp/profile/amzn1.account.AHKNF7HGPPJXAGGLZAOTWLX73KEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 29, 2020",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=27,5.0 out of 5 stars,"This is the first time I have EVER written a review for a book, but I simply had to get my thoughts down. I just finished this book and I don't even know how to express what I'm feeling. The emotions I am feeling are so overwhelming. I bought this book AND finished it in less than 10 hours. This story was beautiful, heart-wrenching, raw, aggravating, but most of all real. Reading this book I felt like I was Lily, experiencing all of her emotions, the good and the bad, that is how into this book I was. Lily is strong and powerful and I loved that about her, but this was not some happy ending love story (the ending was beautiful though), it was a real story about love. I don't want to spoil anything, so I do not want to say too much, but as all the other 5-star reviews have said, READ. THIS. BOOK.This is my 3rd Collen Hoover book I have read and after this book, I will not stop reading her books.",I will NEVER forget this book,Verified Purchase,,0,25140244,3,Public
serenakbelieves,/gp/profile/amzn1.account.AGHK5RHDNB5D5W2UNITMNR7CDF7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 1, 2016",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=28,5.0 out of 5 stars,"Lily Bloom.Ryle Kincaid.Atlas Corrigan.How the hell do I describe my feelings for this book?Number one, I tried to figure out the twist, me being an author myself. I tried to see the hidden things and I got some of them, but the twist halfway through the story… holy s***.I don’t even know how I could love the two guys the same time in similar and different ways. I didn’t think we’d see Atlas again, or maybe just a cameo, but boy was I wrong.Lily is a strong woman, raised with an abusive father. But not only do we see her strength, we see her weaknesses too.This is a story of abuse. A story of friendship. A story of kindness.A story of love that comes in different forms.Hoover tells her personal touch to this story and it’s heartbreaking and emotional. Makes me admire her that much more.This is one I definitely could not put down!!This gets 5 PIGGIES!","Turns, twists, and FEELS!",Verified Purchase,,68,1624682,85,Public
Crystal Phillipson,/gp/profile/amzn1.account.AE4DYZLDE6AN5DWNKR2EBZHU2FSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 5, 2016",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=28,5.0 out of 5 stars,"I love this author and was surprised to find there was no description of the book's contents on the kindle version, but as I mentioned I love the author, so I just purchased the book and hoped for the best.It wasn't until I was half way through the book that I discovered this is not your typical book from this author and contains a subject that you don't typically find in a romance nove.  But, by that time I was hooked and had fallen in love with the characters.  I laughed, I cried and I just felt for the main characters.When it was done I felt like not only had a gone through an emotional roller-coaster ride, but I had found a profound new insight on a subject I hadn't really thought I needed to know more about.  Notice, I don't state the subject as it was really good I didn't know it going in, because I don't think I would have read the book and that would have been a mistake.You will love this book (when you are done) and you will want to ensure you read the Note from the author at the end.  It not only gives you insight on the reason the author wrote on this specific subject, but helps to give better understanding of the characters from the book.","Not your typical read from this author, but so worth it.",Verified Purchase,,3,16958949,18,Public
Hknirk,/gp/profile/amzn1.account.AGCXZVOE4L4RHXQLY7OW5A37ADHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 4, 2016",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=28,5.0 out of 5 stars,"I'm a huge Colleen Hoover fan, this isn't a big secret. I keep waiting for a book to disappoint, especially as more books come out im waiting for the moment the hype doesn't match up. It doesn't happen. I've read a LOT of books and Hopeless has always been my favorite...until now. I used to unintentionally measure how great a book was by how quickly I could finish it. Then I started this book. There were so many times I had to turn my phone off and take a ""chapter break."" It was entirely too much to handle. It hit me personally as if I knew these characters. I wanted to reach through and hug Lily when she needed it. I wanted to reach through and slap both men and her too! What a ride. CoHo is going to have a hard time ever topping this one.",Blown away,Verified Purchase,,39,3870729,71,Public
blubbph,/gp/profile/amzn1.account.AFYWBUTX6WSS4VQMNPHPYP4CWNOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 19, 2017",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=28,5.0 out of 5 stars,"This is the third Colleen Hoover novel I've read, and going in I already expected myself to turn into water works since her other two novels (Hopeless and Ugly Love) made me cry. I turned into a liquid mess of tears reading this book as expected, but what I did not expect was how much this novel would touch my being. This is more than your average romance novel. It leaves an impact that reverberates your soul. While I love Hopeless and Ugly Love, Colleen Hoover has outdone herself with It Ends with Us. Her writing immerses readers to experience the moments lived by the characters seamlessly and takes readers on a journey along with the characters as they grow. Most importantly, it imparts a lesson that I personally agree and champion: don't be quick to judge other people's pains and decisions because you don't live their lives and can't possibly know their pain threshold. I'm incredibly proud that Colleen Hoover wove this message so skillfully in this beautifully rendered story.To Colleen Hoover: When I grow up, I want to be you.",While I love Hopeless and Ugly Love,Verified Purchase,,10,45117620,13,Public
Shelly Bowe,/gp/profile/amzn1.account.AEUXVIONPX2YLPDXHE52Z6E7WWRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 24, 2017",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=28,5.0 out of 5 stars,"Wow,what a poignant story!! This is my first book by this author, and I am hooked and cannot wait to explore her other work. This book was so what life is about, the joy, pain, anger, disappointments, sacrifices,  love, and then more joy, pain, anger,, disappointments, sacrifices, and love the greatest of them all. I laughed, cried, bit my nails, screamed, meditated,  but could not put this book down. I  could not figure out what would happen next. I encourage you please, please, read this book you will not be disappointed. In the end I truly understood,  respected and loved the outcome of such a poignant dilemma........sorry no spoilers here, read,read, read you will be enlightened.",What an emotional rollercoaster!,Verified Purchase,,17,6711251,39,Public
Booklover,/gp/profile/amzn1.account.AFLNCDVO6QQMGDHYMFOFHCSXCLRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 29, 2020",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=29,5.0 out of 5 stars,"Another great book by Colleen Hoover, she is fast becoming one of my favorite writers.  She has such a flair for writing books that contain emotional situations that include Love, Heartbreak, Betrayal, Depression, etc.  She gets to the heart of things and  takes you on a fabulous ride.  I strongly recommend any of her novels for unbeatable entertainment.",Sometimes  The Heart Is Smarter Than We Are,Verified Purchase,,829,24933,355,Public
Julie jewelz,/gp/profile/amzn1.account.AFA2URSS6OIKCOZ6UL4P4QF7OUTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 5, 2016",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=29,5.0 out of 5 stars,"Without giving away too much about the book, I work in family law court and find myself wondering every day why people do the things they do and, my God, did you open my eyes! I completely fell in love with Ryle. I was completely floored the way this story was free falling and landing. This book was mind blowing to me and really did offer me a completely different perspective on how --and I know I shouldn't be one to judge because I'm not in their shoes but I'm still human, so yes, I silently judge-- love could engulf you and either take you down completely or lift you as high as your heart will allow. You made me open my eyes and now I see love at its finest and purest, and I also see it at its most vulnerable and destructible it could be. Thank you! Thank you for writing this because I was right there in the book with you. I now feel like my blindfold has been lifted and no longer will I pretend to understand what someone is going through and cast doubt or blame on them. Best. Writer. Ever.",Wow,Verified Purchase,,91,3968532,34,Public
rosalie13,/gp/profile/amzn1.account.AHOTSIP2FUL63ISHN6FBKBB4B3WA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 5, 2016",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=29,5.0 out of 5 stars,"Holy hell, this book. A friend introduced me to Colleen Hoover a little over a year ago, and I devoured everything she had written in a month or two. To say that I anticipated this book would be an understatement. But I was woefully unprepared.How beautiful, how exquisite. Colleen takes the reader to an ugly place in this book, but threads hope throughout. I cried, I laughed out loud, and most importantly, I felt the fire of hope in my belly being stoked as I read. I have lead a similar life to the main character in the book, yet I often wonder if Love will ever set me right again, or if it will just pass me by. This book is resoundingly impressive, and is a must-read for both males and females that have ever been in a situation with their significant others where they wonder ""Did I just go too far? Did I cross that line? Did I just ruin everything?"" I will feel the echoes of this story for a long time, yet.I am desperately hoping that there is a sequel to this book, because I am craving more hope. More light and love. This book has it, but I need to see the healing process walked out, even if it is a work of fiction. Because for those of us that swim between the lines of the authors we read, that take to heart the stories we invite into our spirits, healing penned at the hand of the writers we share our lives with can be Grace in her purest form.","How beautiful, how exquisite",Verified Purchase,,4,51139494,12,Public
Julie Lavalle,/gp/profile/amzn1.account.AE3XLK6CE7YEMIIHSAZ6A5VM6JSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 4, 2016",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=29,5.0 out of 5 stars,"I don't know what to say at this moment other then I am completely and utterly drained and feel a bit lost from this book. It brought back many childhood memories of growing up in an abusive household. I am so torn with the turns that this took. There were so many times reading this book I was chanting silently in my head  ""damn I hate Colleen Hoover - why am I reading this book?"" I know why - I know what I am going to get reading a book by Colleen - it's going to be a rollercoaster ride of emotions like no other and that is why I continue to come back. You want a book that will touch you in every way possible this will definitely do that. We are not bad people we are people who do bad things. We all have a little bit of both in everyone of us and this book truly told that story!!!",You are going to need an entire box of tissues!!,Verified Purchase,,227,339499,414,Public
Amber,/gp/profile/amzn1.account.AEBMLXRMMMJAKN7FC4CEHVY7NY3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 13, 2021",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=29,5.0 out of 5 stars,"Wow. I read this book in a day— I just simply could not put it down. It was an emotional rollercoaster. It made me laugh, it made me want to cry, it made me angry, and it made me rethink previous beliefs of mine and try to see things from a new perspective about serious and not too uncommon issues. I felt love for all of these characters. If you are debating reading this, I encourage you to do so. This was such a well written, riveting tale, and it will stay with me.",An absolute gem,Verified Purchase,,38,4147465,17,Public
J. Thigpen,/gp/profile/amzn1.account.AFZ6EPRZZGHRNT5GMQA473I7J2UA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 3, 2019",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=23,5.0 out of 5 stars,"This book evokes so many powerful emotions. I could feel the pain,anguish, and love of these characters. While I hoped some of these things never happen to anyone, I can only imagine how frequently it occurs in reality. The author captured what I can only imagine the true emotions in the situations told in this story. It was a well written and developed story that I couldn’t put down. However once it was over, I found myself missing the characters and their development. This was more than 5 stars worthy.",Words can’t describe how good this book is,Verified Purchase,,27,1252799,59,Public
Pchamp,/gp/profile/amzn1.account.AFEMEB6RBRYFJW3J5QN5QJUXBAOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 27, 2016",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=24,4.0 out of 5 stars,"I read this book super fast. Which is to say that I thought it was incredibly good; however this isn't necessarily what I would say. This book was OK. I found much of the story line to be incredibly cheesy, out of place, and not at all possible in the ""real world"" I had to remind myself numerous times that this is a work of fiction; so it's ok if these things would never play out like this in real life. Regardless the story line (especially in part one) was hard to relate to. Part two the book got tremendously better- however I was seriously disappointed at how rushed part two was. I needed more detail, more story, more Atlas, more everything- and then it was done. I finished the book feeling unsatisfied, frustrated etc., two days after finishing it I'm still imagining how much better that book should have been.",OK- not great,Verified Purchase,,30,6310674,45,Public
Kindle Cousins,/gp/profile/amzn1.account.AECG7YNTCPY672PYOHXW7ZFY3QLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 10, 2016",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=24,4.0 out of 5 stars,"CoHo is back with a bang. I’m not a die hard CoHo fan. I don’t love everything she writes, but I loved this. Yes, it had some cheesy moments but the plot shined through. This story reiterated life long lessons through authentic characters. I really enjoyed the writing and the effortless flow of the story. I loved it, but of course I have to complain. I NEED MORE ATLAS!!!!!!!!! Just a novella or extended epilogue. PLEASE?!!!!!!!!!!!!!!4 starsNatashaOk, Colleen has been a bit cheesy for my tastes lately, so I really didn’t know what to expect with this one. I was pleasantly surprised that this was deeper and surpassed my expectations. This has been the year of strong heroines and Lily definitely fits the bill. I really enjoyed this book, but need more ATLAS!!! I want to know what happens next!4 starsJasmine",CoHo is back,Verified Purchase,,73,942903,185,Public
Amy Everetts,/gp/profile/amzn1.account.AEBIUR2KSVCVUUQWSIZQA5WF3MQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 19, 2016",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=24,5.0 out of 5 stars,"If I could give this book more than 5 stars, I would. This book may possibly be my favorite CoHo book and it's definitely one of the best books I've ever read. This book talked about some serious issues that a lot of people face. I appreciate that it was talked about in a real, true fashion. It wasn't glamorized, or hyped up for ratings.I could really feel for Lily and for Ryle. I felt I was right there, trying to make these difficult decisions. It gave me a completely different view and opened my eyes to the behind the door struggles people face. Things aren't always black and white. What may be a clear choice from the outside, tends to have a touch of gray when faced with difficult decisions.Thank you Colleen for writing this very important book. You took a very difficult, and personal subject and brought to life the real struggles people face every single day!",A Deeply Personal and Moving Story,Verified Purchase,,73,595781,158,Public
Britney Wolfe,/gp/profile/amzn1.account.AEEC5M5AVUFFD4UPX2YFVPYWBFYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 2, 2016",1,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=24,5.0 out of 5 stars,"One of the benefits of participating with the bookstagram hashtag on Instagram is learning about new books. A few weeks ago, I saw a post that was talking about this upcoming release, and though I can't remember whose account it was, I do remember what she said about It Ends With Us.This story is important.And after devouring and absorbing the story this morning, I full-heartedly agree. It's a story about love. It's a story about relationships. And most importantly it's a story about women who suffer from domestic abuse.The book begins with Lily meeting Ryle, a successful neurosurgeon, and the romance that sparks between them. Ryle is against long term relationships, but Lily finds herself falling for him anyway. Everything is perfect... for a while.It starts as nothing really. An accidental push, a hot temper. A few stitches and an apology later, all is forgiven. Lily is confident that this is nothing like how her dad treated her mother. Ryle is not her father. Ryle is sorry. This is different.When Atlas, the first boy she ever loved comes back into her life, Lily finds herself trying to defend Ryle, trying to justify his actions. But Atlas seems to know the situation even better than Lily herself. The story follow Lily as she eventually realizes her situation for what it is until she is able to admit it to herself, and can finally pick up the pieces.Lily's story is important. I won't pretend that I know a lot about domestic abuse, because I don't. However, I do know that exists, and now because of this book, I know that not every case of domestic violence is the same. Not every woman hates her abuser, in fact she may still love him so much that she sacrifices her own safety and mental health. This story makes the powerful statement that the cycle needs to stop somewhere, that violence is never okay, that sometimes love means letting go and leaving the situation. The vicious cycle of domestic violence? It ends with us.Note: This book does contain sexual content, though not a lot, as well as f-words and other language. Though I think the book would have been better without this content, especially the language, I believe the message of the story itself is more important and is worth the read.",An Important Story,Verified Purchase,One person found this helpful,22,11558438,14,Public
JazePantz,/gp/profile/amzn1.account.AE5VRAQI4EPTO3HKKN3V5OKSW7GQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 11, 2020",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=25,5.0 out of 5 stars,"When I started this book I had a heart, it was complete and happy. By the time I finished this book my heart was broken because I could whole heartedly relate to this story and know how hard it can be to say ""it ends with me"".I am now on a Colleen Hoover binge...Verity blew my mind and It Ends With Us was a heart breaker. I don't know what to expect next from this author.",Oh the tears,Verified Purchase,,35,716563,187,Public
Kindle Customer,/gp/profile/amzn1.account.AGDNTVEQTPB2JATQ7ETX7YPRDF4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 8, 2016",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=25,5.0 out of 5 stars,"I was so excited to read this book. But when I received it in the mail I thought, be patient. I saw a preview to a show or a movie the other day and a character said, ""I can tell you but I can't untell you"". That statement stuck with me but I use it for reading this book. I can read it but I can't unread it or read it for the first time again. Does any of that make sense?Hoover seems to know where to hit my emotions. Every one of her books have smacked my emotions but this one is squeezing me. This one was too close to a reality I was apart of. It was very emotional and I had to stop a few times, to have a breather. It wasn't what I thought it would be but it exceeded anything I thought it would be. I will always recommend this book, always.This book will always stick with me Colleen, thank you.CF",It will move you♡,Verified Purchase,,15,15436444,37,Public
georgina crino,/gp/profile/amzn1.account.AG3SUIRYO4AYI537ND227SHB55JQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 9, 2021",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=25,5.0 out of 5 stars,This is the first novel I read by Colleen Hoover and I will definitely be reading more of hers again. I am not a reader! I haven’t read a book in so long but I could not manage to put this book down. I read it in 3 days and was crushed when I finished it. Bittersweet and a great story. It’s very raw and makes you feel a lot throughout the whole story. I was always eager to see what happened next.Highly recommend.,Couldn’t put it down!,Verified Purchase,,2,11571917,31,Public
Brittany O,/gp/profile/amzn1.account.AHLFKQOWJQPWDYUW5AQLFCT5DZUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 11, 2016",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=25,5.0 out of 5 stars,"This book is amazing! You will be drawn in and want to read the book straight through. Without giving too much away there is some domestic violence that appears in the novel. However, as someone who has been personally affected I still recommend the book. It will be an emotional journey but in the end you will be glad you read it. This book has a terrific message for those who have judged women in abusive relationships, been in a relationship themselves, or watched a loved one be abused. Colleen Hoover is a phenomenal writer! Like the rest of her books, this book is completely unpredictable but not in the annoying drama just for the sake of drama (like a soap opera). Love, love, love! This is the type of book that will stay with you for years to come.",Powerful and beautiful!,Verified Purchase,,30,4875262,66,Public
theresa Sederholt,/gp/profile/amzn1.account.AEQILWOD3XLLRP2JBV3VJME2HWRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 13, 2016",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=26,5.0 out of 5 stars,"Having never read a Colleen Hoover book, I had no idea what I was in for. I picked up her latest book, It Ends With Us and decided to jump right in. I held it together through the entire book. Trust me when I tell you this was not easy. I might have laughed out loud a little and even held back the urge to yell and cry. I have a newfound appreciation for all things Ellen DeGeneres. Anyway, back to the book. This is not a typical book; this is a journey through life. Ms. Hoover makes the reader feel every emotion from the viewpoint of a fifteen-year-old to a twenty-five-year-old. She also makes the reader think. What would I do if I were in that situation? Would I be so quick to judge? Would I be willing to help?It’s hard to say anything more without giving away the story. Like I said I held it together through the entire story. I finally lost it completely when I got to the Authors Note. This book is like an onion and when you peel back the layers, it makes you want to be more understanding of different situations and the people trying to make it through life. This story makes  you want to be a better person.",This story makes you want to be a better person.,Verified Purchase,,17,8076439,31,Public
Rachel RM,/gp/profile/amzn1.account.AFMAK6LMNOFA5AVDLW3CFPHLNG6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 5, 2016",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=26,5.0 out of 5 stars,"*possible spoilerColleen, this is such a beautiful book in so many ways! I commend you for your courage to speak the ""naked truth."" As an author we can hide those naked truths in our work in hopes that others see them, but that they don't really know whether or not those things are true or are based in the fiction our works embody. I can only imagine how scary it was writing those truths knowing that people would eventually know for sure that they are based on a reality that you endured. Thank you for sharing yourself in this way. I know that there are people out there that you will help by sharing your naked truths. By showing women that there is another way. Thank you Colleen for another beautiful story, that's not based on a beautiful topic, but has a beautiful outcome.",Wow...just wow,Verified Purchase,,69,739255,105,Public
Kara,/gp/profile/amzn1.account.AF3DR5M5KFCRSVWOSPQ744WYRJSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 13, 2016",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=26,5.0 out of 5 stars,"Okay so I know I say this a lot, but this is probably the best book I have read all year. Where do I start? I don't want to give anything away, but Lilly's story is just...amazing. You will find yourself laughing, crying, and laughing again. I went through so many emotions in this book. Atlas, poor Atlas, what a great relationship Lily and he had. Then he leaves, and she meets Ryle. Ryle, oh he's just the perfect man - or so it seemed. He didn't want anything but a one-night-stand with Lily, but it ended up being so much more. Then, Atlas is back..Gahh. This isn't a typical love story. It's a reality that happens more than we realize. Colleen is such an amazing writer and this book is by far my favorite of hers! Go! Read it now!!",Oh Colleen. My heart aches...,Verified Purchase,,45,13453984,61,Public
